Coral Tag # ,Coral Tag # All,Sample Type,Year,Tube Label,Coral Species,Site,Run
4,4,coral,2014,KI14FSYM004,Favites pentagona,35,Run_1
4,4,coral,2015 Jan,KI15aFSYM002,Favites pentagona,35,Run_1
4,4,coral,2015 Jan,KI15aFSYM081,Favites pentagona,35,Run_1
4,4,coral,2015 May,KI15bFSYM002,Favites pentagona,35,Run_1
4,4,coral,2015 July,KI15cFSYM003,Favites pentagona,35,Run_1
11,11_633,coral,2014,KI14FSYM011,Favia matthaii,35,Run_6
11,11_633,coral,2015 Jan,KI15aFSYM088,Favia matthaii,35,Run_6
11,11_633,coral,2015 May,KI15bFSYM008,Favia matthaii,35,Run_6
11,11_633,coral,2015 July,KI15cFSYM006,Favia matthaii,35,Run_6
17,17,coral,2014,KI14FSYM017,Favia matthaii,38,Run_6
17,17,coral,2015 July,KI15cFSYM184,Favia matthaii,38,Run_6
19,19,coral,2014,KI14FSYM019,Platygyra sp,38,Run_1
24,24,coral,2014,KI14FSYM024,Favia matthaii,38,Run_6
24,24,coral,2015 July,KI15cFSYM186,Favia matthaii,38,Run_6
29,29,coral,2014,KI14FSYM029,Favites halicora,38,Run_1
29,29,coral,2015 July,KI15cFSYM190,Favites halicora,38,Run_1
29,29,coral,2016 March,KI16aFSYM190,Favites halicora,38,Run_1
34,34,coral,2014,KI14FSYM034,Favites halicora,38,Run_6
34,34,coral,2015 July,KI15cFSYM194,Favites halicora,38,Run_6
51,51,coral,2014,KI14FSYM051,Favia matthaii,8,Run_6
51,51,coral,2015 Jan,KI15aFSYM112,Favia matthaii,8,Run_6
51,51,coral,2015 May,KI15bFSYM163,Favia matthaii,8,Run_6
51,51,coral,2015 July,KI15cFSYM364,Favia matthaii,8,Run_6
53,53,coral,2014,KI14FSYM053,Hydnophora microconos,8,Run_5
56,56,coral,2014,KI14FSYM056,Favia matthaii,8,Run_5
61,61_1085,coral,2014,KI14FSYM061,Favia matthaii,8,Run_6
61,61_1085,coral,2015 Jan,KI15aFSYM115,Favia matthaii,8,Run_6
61,61_1085,coral,2015 May,KI15bFSYM166,Favia matthaii,8,Run_6
61,61_1085,coral,2015 July,KI15cFSYM371,Favia matthaii,8,Run_6
62,62,coral,2014,KI14FSYM062,Platygyra sp,8,Run_1
62,62,coral,2015 Jan,KI15aFSYM116,Platygyra sp,8,Run_1
62,62,coral,2015 May,KI15bFSYM167,Platygyra sp,8,Run_1
62,62,coral,2015 July,KI15cFSYM372,Platygyra sp,8,Run_1
62,62,coral,2016 March,KI16aFSYM001,Platygyra sp,8,Run_1
62,62,coral,2016 Nov,KI16bFSYM158,Platygyra sp,8,Run_3
62,62,coral,2017,KI17FSYM101,Platygyra sp,8,Run_4
62,62_1260,coral,2017,KI17FQ101,Platygyra sp,8,Run_4
64,64,coral,2014,KI14FSYM064,Hydnophora microconos,8,Run_5
72,72,coral,2014,KI14FSYM072,Favia matthaii,8,Run_6
72,72,coral,2015 Jan,KI15aFSYM119,Favia matthaii,8,Run_6
72,72,coral,2015 May,KI15bFSYM171,Favia matthaii,8,Run_6
72,72,coral,2015 July,KI15cFSYM377,Favia matthaii,8,Run_6
88,788_1279,coral,2017,KI17FSYM17,Platygyra sp,5,Run_4
89,89,coral,2014,KI14FSYM089,Favia matthaii,35,Run_1
89,89,coral,2015 Jan,KI15aFSYM015,Favia matthaii,35,Run_1
89,89,coral,2015 Jan,KI15aFSYM096,Favia matthaii,35,Run_1
89,89,coral,2015 May,KI15bFSYM019,Favia matthaii,35,Run_1
89,89,coral,2015 July,KI15cFSYM014,Favia matthaii,35,Run_1
89,89,coral,2016 March,KI16aFSYM044,Favia matthaii,35,Run_1
89,89,coral,2016 Nov,KI16bFSYM004,Favia matthaii,35,Run_3
91,91,coral,2014,KI14FF067,Hydnophora microconos,35,Run_5
93,93,coral,2015 Jan,KI15aFSYM021,Favia matthaii,35,Run_5
95,95,coral,2014,KI14FSYM095,Favia matthaii,35,Run_6
95,95,coral,2015 Jan,KI15aFSYM104,Favia matthaii,35,Run_6
95,95,coral,2015 Jan,KI15aFSYM023,Favia matthaii,35,Run_6
95,95,coral,2015 May,KI15bFSYM022,Favia matthaii,35,Run_6
95,95,coral,2015 July,KI15cFSYM017,Favia matthaii,35,Run_6
96,96,coral,2014,KI14FF071,Hydnophora microconos,35,Run_5
99,99,coral,2014,KI14FSYM099,Platygyra sp,35,Run_1
99,99,coral,2015 Jan,KI15aFSYM103,Platygyra sp,35,Run_1
99,99,coral,2015 May,KI15bFSYM023,Platygyra sp,35,Run_1
99,99,coral,2015 July,KI15cFSYM018,Platygyra sp,35,Run_1
99,99,coral,2016 March,KI16aFSYM049,Platygyra sp,35,Run_1
99,99,coral,2016 Nov,KI16bFSYM002,Platygyra sp,35,Run_3
99,99,coral,2017,KI17FSYM10,Platygyra sp,35,Run_4
99,99_1312,coral,2017,KI17FQ10,Platygyra sp,35,Run_4
100,100_638,coral,2014,KI14FSYM100,Favia matthaii,35,Run_1
100,100_638,coral,2015 Jan,KI15aFSYM105,Favia matthaii,35,Run_1
100,100_638,coral,2015 May,KI15bFSYM026,Favia matthaii,35,Run_1
100,100_638,coral,2015 July,KI15cFSYM225,Favia matthaii,35,Run_1
100,100_638,coral,2016 March,KI16aFSYM048,Favia matthaii,35,Run_1
100,100_638,coral,2017,KI17FSYM9,Favia matthaii,35,Run_4
101,101,coral,2014,KI14FSYM101,Hydnophora microconos,35,Run_5
103,103,coral,2014,KI14FSYM103,Favia matthaii,35,Run_5
108,108,coral,2014,KI14FSYM108,Favia matthaii,35,Run_5
111,111,coral,2014,KI14FSYM111,Hydnophora microconos,35,Run_5
113,113,coral,2014,KI14FSYM113,Favia matthaii,35,Run_6
