"","Coral_Tag","Coral_Tag_All","SampleType","Coral_Species","Site","Tube_label.2014","Tube_label.2015Jan","Tube_label.2015May","Tube_label.2015July","Tube_label.2016March","Tube_label.2016Nov","Tube_label.2017","status","before","during","after","recovery"
"1","4","4","coral","Favites pentagona",35,"KI14FSYM004","KI15aFSYM002","KI15bFSYM002","KI15cFSYM003",NA,NA,NA,"gone_after","Yes","Yes","No","No"
"6","11","11_633","coral","Favia matthaii",35,"KI14FSYM011","KI15aFSYM088","KI15bFSYM008","KI15cFSYM006",NA,NA,NA,"dead","Yes","Yes","No","No"
"10","17","17","coral","Favia matthaii",38,"KI14FSYM017",NA,NA,"KI15cFSYM184",NA,NA,NA,"dead","Yes","Yes","No","No"
"12","19","19","coral","Platygyra sp",38,"KI14FSYM019",NA,NA,NA,NA,NA,NA,"UK","Yes","No","No","No"
"13","24","24","coral","Favia matthaii",38,"KI14FSYM024",NA,NA,"KI15cFSYM186",NA,NA,NA,"alive","Yes","Yes","No","No"
"15","29","29","coral","Favites halicora",38,"KI14FSYM029",NA,NA,"KI15cFSYM190","KI16aFSYM190",NA,NA,"alive","Yes","Yes","Yes","No"
"18","34","34","coral","Favites halicora",38,"KI14FSYM034",NA,NA,"KI15cFSYM194",NA,NA,NA,"UK","Yes","Yes","No","No"
"20","51","51","coral","Favia matthaii",8,"KI14FSYM051","KI15aFSYM112","KI15bFSYM163","KI15cFSYM364",NA,NA,NA,"dead","Yes","Yes","No","No"
"24","53","53","coral","Hydnophora microconos",8,"KI14FSYM053",NA,NA,NA,NA,NA,NA,"gone_before","Yes","No","No","No"
"25","56","56","coral","Favia matthaii",8,"KI14FSYM056",NA,NA,NA,NA,NA,NA,"UK","Yes","No","No","No"
"26","61","61_1085","coral","Favia matthaii",8,"KI14FSYM061","KI15aFSYM115","KI15bFSYM166","KI15cFSYM371",NA,NA,NA,"alive","Yes","Yes","No","No"
"30","62","62","coral","Platygyra sp",8,"KI14FSYM062","KI15aFSYM116","KI15bFSYM167","KI15cFSYM372","KI16aFSYM001","KI16bFSYM158","KI17FSYM101_KI17FQ101","alive","Yes","Yes","Yes","Yes"
"38","64","64","coral","Hydnophora microconos",8,"KI14FSYM064",NA,NA,NA,NA,NA,NA,"dead","Yes","No","No","No"
"39","72","72","coral","Favia matthaii",8,"KI14FSYM072","KI15aFSYM119","KI15bFSYM171","KI15cFSYM377",NA,NA,NA,"dead","Yes","Yes","No","No"
"43","88","788_1279","coral","Platygyra sp",5,NA,NA,NA,NA,NA,NA,"KI17FSYM17","dead","No","No","No","Yes"
"44","89","89","coral","Favia matthaii",35,"KI14FSYM089","KI15aFSYM015","KI15bFSYM019","KI15cFSYM014","KI16aFSYM044","KI16bFSYM004",NA,"alive","Yes","Yes","Yes","Yes"
"51","91","91","coral","Hydnophora microconos",35,"KI14FF067",NA,NA,NA,NA,NA,NA,"gone_before","Yes","No","No","No"
"52","93","93","coral","Favia matthaii",35,NA,"KI15aFSYM021",NA,NA,NA,NA,NA,"UK","Yes","No","No","No"
"53","95","95","coral","Favia matthaii",35,"KI14FSYM095","KI15aFSYM104","KI15bFSYM022","KI15cFSYM017",NA,NA,NA,"alive","Yes","Yes","No","No"
