"","field_season","site","coral_tag","species","tagcompare_year","partialmortality","living_tissue_status","notes_partialmortality"
"1","KI2016a","8","911","fpenta","new","1","h",""
"2","KI2016a","14","285","fpenta","2014","1","h",""
"3","KI2016a","15","588","fpenta","2015c","1","h","small bleachy spots (level 1)"
"4","KI2016a","15","592","fpenta","2015c","1","b","still pale"
"5","KI2016a","15","597","fpenta","2015c","4","h",""
"6","KI2016a","15","583b","fpenta","new","1","h","small bleachy spots (level 1)"
"7","KI2016a","27","937","fpenta","new","1","h","small bleachy spots (level 1)"
"8","KI2016a","30","386","fpenta","2015c","1","h","small bleachy spots (level 1)"
"9","KI2016a","30","439","fpenta","2015c","1","h","small bleachy spots (level 1)"
"10","KI2016a","32","770","fpenta","2015c","5","h","uh it healed; but also small bleachy spots (level 1)"
"11","KI2016a","32","902","fpenta","new","1","h",""
"12","KI2016a","32","482_897","fpenta","2015c","1","h","small bleachy spots (level 1)"
"13","KI2016a","32","497_745","fpenta","2015c","1","h","small bleachy spots (level 1)"
"14","KI2016a","34","786","fpenta","2015c","3","h",""
"15","KI2016a","34","844","fpenta","2015c","2","h",""
"16","KI2016a","35","929","fpenta","new","4","h","small bleachy spots (level 1)"
"17","KI2016a","37","1009","fpenta","new","1","b","still pale"
"18","KI2016a","37","1032","fpenta","new","1","b","still pale"
"19","KI2016a","38","205","fpenta","2015c","4","h","small bleachy spots (level 1)"
"20","KI2016a ","27","729","fpenta","2015c","0","h","small bleachy spots (level 1)"
"21","KI2016a ","40","1033","fpenta","new","0","h",""
"22","KI2016a ","40","1034","fpenta","new","1","h",""
"23","KI2016a ","40","1037","fpenta","new","0","h","small bleachy spots (level 1)"
"24","KI2016a ","40","1050","fpenta","new","0","h","small bleachy spots (level 1)"
"25","KI2016a ","40","1056","fpenta","new","0","h","small bleachy spots (level 1)"
