# Constructed from biom file
#OTU ID	KI14FSYM099	KI15aFSYM103	KI15cFSYM018	KI15bFSYM023	KI16aFSYM049
denovo27	4.0	1.0	0.0	0.0	0.0
denovo34	22960.0	4811.0	2161.0	9116.0	17.0
denovo68	16.0	5.0	0.0	6.0	0.0
denovo71	23.0	1.0	18.0	79.0	0.0
denovo78	820.0	213.0	79.0	385.0	0.0
denovo117	5.0	1.0	2.0	1.0	0.0
denovo126	0.0	0.0	0.0	0.0	1.0
denovo135	1.0	0.0	0.0	0.0	0.0
denovo136	143.0	0.0	0.0	0.0	0.0
denovo147	8.0	0.0	0.0	0.0	0.0
denovo150	9.0	1.0	4.0	3.0	0.0
denovo158	0.0	0.0	0.0	1.0	0.0
denovo163	80.0	2.0	11.0	12.0	711.0
denovo182	1.0	0.0	0.0	0.0	3.0
denovo185	30.0	3.0	3.0	5.0	0.0
denovo198	16.0	5.0	0.0	3.0	0.0
denovo206	55.0	10.0	8.0	20.0	0.0
denovo211	1.0	0.0	0.0	0.0	0.0
denovo226	123.0	16.0	10.0	48.0	0.0
denovo233	3.0	2.0	0.0	0.0	0.0
