"","denovo118","denovo714","denovo594","denovo409","denovo596","denovo344","denovo1012","denovo786","denovo724","denovo404","denovo981","denovo741","denovo578","denovo532","denovo843","denovo655","denovo727","denovo569","denovo957","denovo974","denovo131","denovo743","denovo475","denovo708","denovo106","denovo5","denovo976","denovo343","denovo726","denovo821","denovo427","denovo485","denovo104","denovo952","denovo441","denovo535","denovo40","denovo488","denovo646","denovo120","denovo629","denovo935","denovo492","denovo652","denovo942","denovo732","denovo551","denovo782","denovo0","denovo1009","denovo684","denovo276","denovo465","denovo140","denovo810","denovo967","denovo334","denovo763","denovo512","denovo579","denovo504","denovo444","denovo285","denovo388","denovo812"
"denovo118",0,0.0266666666666667,0.0366666666666667,0.0166666666666667,0.0233333333333333,0.0410958904109589,0.0305084745762712,0.0338983050847458,0.0687285223367698,0.0376712328767123,0.0166666666666667,0.02,0.0233333333333333,0.05,0.0166666666666667,0.0333333333333333,0.0301003344481605,0.0266666666666667,0.01,0.0166666666666667,0.00333333333333333,0.02,0.02,0.01,0.0243055555555556,0.04,0.0166666666666667,0.01,0.03,0.0166666666666667,0.02,0.0266666666666667,0.0166666666666667,0.0338983050847458,0.0433333333333333,0.0233333333333333,0.0233333333333333,0.0266666666666667,0.03,0.0333333333333333,0.0338983050847458,0.0204778156996587,0.04,0.0333333333333333,0.03,0.0266666666666667,0.03,0.0433333333333333,0.00666666666666667,0.0333333333333333,0.02,0.0266666666666667,0.0245614035087719,0.04,0.0338983050847458,0.01,0.01,0.0233333333333333,0.0333333333333333,0.02,0.0366666666666667,0.0233333333333333,0.0166666666666667,0.0233333333333333,0.0233333333333333
"denovo714",0.0266666666666667,0,0.0233333333333333,0.0366666666666667,0.01,0.0342465753424658,0.023728813559322,0.0271186440677966,0.0652920962199313,0.0308219178082192,0.0366666666666667,0.04,0.0433333333333333,0.0366666666666667,0.0333333333333333,0.0266666666666667,0.0100334448160535,0.00666666666666667,0.0366666666666667,0.0366666666666667,0.0233333333333333,0.0466666666666667,0.04,0.0366666666666667,0.0173611111111111,0.0266666666666667,0.01,0.0366666666666667,0.0133333333333333,0.0366666666666667,0.0133333333333333,0.00666666666666667,0.0366666666666667,0.0271186440677966,0.03,0.0433333333333333,0.02,0.0133333333333333,0.01,0.02,0.0271186440677966,0.0136518771331058,0.0266666666666667,0.02,0.0233333333333333,0.00666666666666667,0.0166666666666667,0.0366666666666667,0.0266666666666667,0.02,0.00666666666666667,0.0466666666666667,0.0175438596491228,0.0266666666666667,0.0271186440677966,0.0366666666666667,0.03,0.00333333333333333,0.02,0.00666666666666667,0.0233333333333333,0.0166666666666667,0.0366666666666667,0.0166666666666667,0.0166666666666667
"denovo594",0.0366666666666667,0.0233333333333333,0,0.0466666666666667,0.0266666666666667,0.0445205479452055,0.0338983050847458,0.0372881355932203,0.0721649484536082,0.0410958904109589,0.0466666666666667,0.05,0.0533333333333333,0.02,0.0433333333333333,0.0366666666666667,0.0267558528428094,0.0233333333333333,0.0466666666666667,0.0466666666666667,0.0333333333333333,0.0566666666666667,0.05,0.0466666666666667,0.0277777777777778,0.01,0.02,0.0466666666666667,0.03,0.0466666666666667,0.0166666666666667,0.0233333333333333,0.0466666666666667,0.0372881355932203,0.0133333333333333,0.0533333333333333,0.0233333333333333,0.03,0.0266666666666667,0.0366666666666667,0.0372881355932203,0.0204778156996587,0.01,0.0166666666666667,0.0333333333333333,0.0233333333333333,0.00666666666666667,0.0466666666666667,0.0366666666666667,0.0166666666666667,0.0166666666666667,0.0566666666666667,0.0245614035087719,0.00333333333333333,0.0372881355932203,0.0466666666666667,0.0466666666666667,0.02,0.00333333333333333,0.0233333333333333,0.00666666666666667,0.0133333333333333,0.0466666666666667,0.0266666666666667,0.02
"denovo409",0.0166666666666667,0.0366666666666667,0.0466666666666667,0,0.0333333333333333,0.0513698630136986,0.0406779661016949,0.0440677966101695,0.0790378006872852,0.0479452054794521,0.0266666666666667,0.03,0.03,0.06,0.0132013201320132,0.0433333333333333,0.0334448160535117,0.0366666666666667,0.0266666666666667,0.0266666666666667,0.0133333333333333,0.0366666666666667,0.03,0.0266666666666667,0.03125,0.05,0.0266666666666667,0.0233333333333333,0.0433333333333333,0.0266666666666667,0.03,0.0366666666666667,0.0266666666666667,0.0440677966101695,0.0533333333333333,0.0333333333333333,0.0366666666666667,0.0366666666666667,0.04,0.0433333333333333,0.0440677966101695,0.0307167235494881,0.05,0.0433333333333333,0.04,0.0366666666666667,0.04,0.0533333333333333,0.0166666666666667,0.0433333333333333,0.03,0.0366666666666667,0.0350877192982456,0.05,0.0440677966101695,0.02,0.02,0.0333333333333333,0.0433333333333333,0.03,0.0466666666666667,0.0333333333333333,0.0266666666666667,0.0333333333333333,0.0333333333333333
"denovo596",0.0233333333333333,0.01,0.0266666666666667,0.0333333333333333,0,0.0308219178082192,0.0203389830508475,0.023728813559322,0.0618556701030928,0.0273972602739726,0.0333333333333333,0.0366666666666667,0.04,0.04,0.0333333333333333,0.0233333333333333,0.0133779264214047,0.01,0.0333333333333333,0.0333333333333333,0.02,0.0433333333333333,0.0366666666666667,0.0333333333333333,0.0138888888888889,0.03,0.00666666666666667,0.0333333333333333,0.0166666666666667,0.0333333333333333,0.01,0.01,0.0333333333333333,0.023728813559322,0.0333333333333333,0.04,0.0166666666666667,0.00333333333333333,0.0133333333333333,0.0166666666666667,0.023728813559322,0.0102389078498294,0.03,0.0233333333333333,0.02,0.01,0.02,0.0333333333333333,0.0233333333333333,0.0233333333333333,0.01,0.0433333333333333,0.0140350877192982,0.03,0.023728813559322,0.0333333333333333,0.0333333333333333,0.00666666666666667,0.0233333333333333,0.00333333333333333,0.0266666666666667,0.0133333333333333,0.0333333333333333,0.0133333333333333,0.0133333333333333
"denovo344",0.0410958904109589,0.0342465753424658,0.0445205479452055,0.0513698630136986,0.0308219178082192,0,0.0383275261324042,0.0418118466898955,0.0812720848056537,0.00342465753424657,0.0513698630136986,0.0547945205479452,0.0513698630136986,0.0582191780821918,0.0513698630136986,0.0136986301369863,0.0378006872852234,0.0342465753424658,0.0410958904109589,0.0513698630136986,0.0376712328767123,0.0616438356164384,0.0547945205479452,0.0513698630136986,0.0249110320284698,0.0445205479452055,0.023972602739726,0.0513698630136986,0.0410958904109589,0.0513698630136986,0.0273972602739726,0.0342465753424658,0.0445205479452055,0.0418118466898955,0.0479452054794521,0.0582191780821918,0.0308219178082192,0.0342465753424658,0.0376712328767123,0.0376712328767123,0.0418118466898955,0.0280701754385965,0.0479452054794521,0.0410958904109589,0.0102739726027397,0.0308219178082192,0.0376712328767123,0.0513698630136986,0.0410958904109589,0.0342465753424658,0.0273972602739726,0.0616438356164384,0.0324909747292419,0.0479452054794521,0.0418118466898955,0.0513698630136986,0.0513698630136986,0.0308219178082192,0.0410958904109589,0.0273972602739726,0.0445205479452055,0.0308219178082192,0.0513698630136986,0.0171232876712329,0.023972602739726
"denovo1012",0.0305084745762712,0.023728813559322,0.0338983050847458,0.0406779661016949,0.0203389830508475,0.0383275261324042,0,0.00336700336700337,0.0618556701030928,0.0348432055749129,0.0406779661016949,0.0440677966101695,0.0474576271186441,0.0440677966101695,0.0406779661016949,0.0305084745762712,0.0272108843537415,0.023728813559322,0.0406779661016949,0.0406779661016949,0.0271186440677966,0.0508474576271186,0.0440677966101695,0.0406779661016949,0.0212014134275618,0.0372881355932203,0.0135593220338983,0.0406779661016949,0.0305084745762712,0.0406779661016949,0.0169491525423729,0.023728813559322,0.0338983050847458,0.00336700336700337,0.0406779661016949,0.0474576271186441,0.023728813559322,0.023728813559322,0.0271186440677966,0.0305084745762712,0.00336700336700337,0.0102389078498294,0.0338983050847458,0.0305084745762712,0.0271186440677966,0.023728813559322,0.0271186440677966,0.0406779661016949,0.0305084745762712,0.0305084745762712,0.0169491525423729,0.0508474576271186,0.0214285714285714,0.0372881355932203,0.00336700336700337,0.0406779661016949,0.0406779661016949,0.0203389830508475,0.0305084745762712,0.0169491525423729,0.0305084745762712,0.0203389830508475,0.0406779661016949,0.0203389830508475,0.0203389830508475
"denovo786",0.0338983050847458,0.0271186440677966,0.0372881355932203,0.0440677966101695,0.023728813559322,0.0418118466898955,0.00336700336700337,0,0.0652920962199313,0.0383275261324042,0.0440677966101695,0.0474576271186441,0.0440677966101695,0.0474576271186441,0.0440677966101695,0.0338983050847458,0.0306122448979592,0.0271186440677966,0.0440677966101695,0.0440677966101695,0.0305084745762712,0.0542372881355932,0.0474576271186441,0.0440677966101695,0.0247349823321555,0.0406779661016949,0.0169491525423729,0.0440677966101695,0.0338983050847458,0.0440677966101695,0.0203389830508475,0.0271186440677966,0.0372881355932203,0.00673400673400673,0.0440677966101695,0.0508474576271186,0.0271186440677966,0.0271186440677966,0.0305084745762712,0.0338983050847458,0.00673400673400673,0.0136518771331058,0.0372881355932203,0.0338983050847458,0.0305084745762712,0.0271186440677966,0.0305084745762712,0.0372881355932203,0.0338983050847458,0.0338983050847458,0.0203389830508475,0.0542372881355932,0.025,0.0406779661016949,0.00673400673400673,0.0440677966101695,0.0440677966101695,0.023728813559322,0.0338983050847458,0.0203389830508475,0.0338983050847458,0.023728813559322,0.0440677966101695,0.023728813559322,0.023728813559322
"denovo724",0.0687285223367698,0.0652920962199313,0.0721649484536082,0.0790378006872852,0.0618556701030928,0.0812720848056537,0.0618556701030928,0.0652920962199313,0,0.0777385159010601,0.0790378006872852,0.0824742268041237,0.0859106529209622,0.0824742268041237,0.0790378006872852,0.0721649484536082,0.0689655172413793,0.0652920962199313,0.0790378006872852,0.0790378006872852,0.0652920962199313,0.0893470790378007,0.0824742268041237,0.0790378006872852,0.0645161290322581,0.0756013745704467,0.0549828178694158,0.0790378006872852,0.0721649484536082,0.0790378006872852,0.0584192439862543,0.0652920962199313,0.0756013745704467,0.0652920962199313,0.0790378006872852,0.0824742268041237,0.0652920962199313,0.0652920962199313,0.0687285223367698,0.0687285223367698,0.0652920962199313,0.0584192439862543,0.0721649484536082,0.0721649484536082,0.0687285223367698,0.0652920962199313,0.0687285223367698,0.0790378006872852,0.0687285223367698,0.0721649484536082,0.0584192439862543,0.0893470790378007,0.0652173913043478,0.0756013745704467,0.0652920962199313,0.0756013745704467,0.0790378006872852,0.0618556701030928,0.0687285223367698,0.0584192439862543,0.0687285223367698,0.0618556701030928,0.0790378006872852,0.0618556701030928,0.0618556701030928
"denovo404",0.0376712328767123,0.0308219178082192,0.0410958904109589,0.0479452054794521,0.0273972602739726,0.00342465753424657,0.0348432055749129,0.0383275261324042,0.0777385159010601,0,0.0479452054794521,0.0513698630136986,0.0479452054794521,0.0547945205479452,0.0479452054794521,0.0102739726027397,0.0343642611683849,0.0308219178082192,0.0376712328767123,0.0479452054794521,0.0342465753424658,0.0582191780821918,0.0513698630136986,0.0479452054794521,0.0213523131672598,0.0410958904109589,0.0205479452054795,0.0479452054794521,0.0376712328767123,0.0479452054794521,0.023972602739726,0.0308219178082192,0.0410958904109589,0.0383275261324042,0.0445205479452055,0.0547945205479452,0.0308219178082192,0.0308219178082192,0.0342465753424658,0.0342465753424658,0.0383275261324042,0.0245614035087719,0.0445205479452055,0.0376712328767123,0.00684931506849315,0.0273972602739726,0.0342465753424658,0.0479452054794521,0.0376712328767123,0.0308219178082192,0.023972602739726,0.0582191780821918,0.0288808664259928,0.0445205479452055,0.0383275261324042,0.0479452054794521,0.0479452054794521,0.0273972602739726,0.0376712328767123,0.023972602739726,0.0410958904109589,0.0273972602739726,0.0479452054794521,0.0136986301369863,0.0205479452054795
