site,species,photo,bleaching.proportion,cut.off.y.n,status_notes,photo_notes
BayofWrecks_Loggers,Platygyra sp.,IMG_9379,0,n,Looks healthy but super shaded by other corals,
8,Platygyra sp.,2015-11-13 09.18.07,0,n,,
8,Platygyra sp.,2015-11-13 09.18.07,0,n,,
8,Platygyra sp.,2015-11-13 09.18.07,0,n,,
8,Platygyra sp.,2015-11-13 09.18.07,0,n,,
8,Platygyra sp.,2015-11-13 09.18.07,0,y,,
8,Platygyra sp.,2015-11-13 09.18.12,1,y,,
8,Platygyra sp.,2015-11-13 09.22.57,0,n,healthy ,
8,Platygyra sp.,2015-11-13 09.22.57,0,y,edge of the photo but what I can see looks healthy,
8,Platygyra sp.,2015-11-13 09.22.57,0,n,healthy ,
8,Platygyra sp.,2015-11-13 09.27.03,0,n,mostly healthy but one side is being grown over but no bleaching or signs of competition,
8,Platygyra sp.,2015-11-13 09.27.38,0,n,healthy ,
8,Platygyra sp.,2015-11-13 09.27.38,0,y,in the corner of the photo but what I can se there are dead parts and they healthy parts but no bleaching,
8,Platygyra sp.,2015-11-13 09.27.38,0,n,healthy ,
8,Platygyra sp.,2015-11-13 09.28.24,0,y,cut off but what I can see is healthy,
8,Platygyra sp.,2015-11-13 09.28.24,1,n,2 small bleached spots otherwise healthy,
8,Platygyra sp.,2015-11-13 09.28.24,3,n,40% dead 55% bleached 5% healthy,
8,Platygyra sp.,2015-11-13 09.28.24,0,n,healthy ,
8,Platygyra sp.,2015-11-13 09.37.49,0,n,3 smallish dead spots otherwise healthy,
8,Platygyra sp.,2015-11-13 09.39.59,0,n,45% dead 55% healthy,
8,Platygyra sp.,2015-11-13 09.39.59,0,n,it is a p contorta and not a p.r. but it is healthy,
8,Platygyra sp.,2015-11-13 09.40.36,3,n,one small dead spot otherwise bleached,
8,Platygyra sp.,2015-11-13 09.40.36,0,n,healthy ,might be a good example photo
8,Platygyra sp.,2015-11-13 09.43.36,0,n,healthy , 
8,Platygyra sp.,2015-11-13 09.43.36,0,y,cut off but what I can see is healthy,
8,Platygyra sp.,2015-11-13 09.44.12,0,y,cut off but what I can see is healthy,
8,Platygyra sp.,2015-11-13 09.44.12,0,y,cut off but what I can see is mostly healthy with a little bit of dead on the sides,
8,Platygyra sp.,2015-11-13 09.44.12,0,n,healthy ,maybe a good example photo
8,Platygyra sp.,2015-11-13 09.44.12,0,n,healthy ,
8,Platygyra sp.,2015-11-13 09.44.12,0,n,1/2 dead 1/2 alive,
