"","denovo413","denovo3845","denovo3975","denovo2476","denovo1578","denovo3446","denovo3171","denovo2975","denovo4060","denovo2864","denovo3196","denovo5461","denovo2677","denovo4420","denovo145","denovo1562","denovo144","denovo2921","denovo1573","denovo1358","denovo5728","denovo1825","denovo2251","denovo4520","denovo149","denovo2049","denovo1037","denovo1283","denovo2863","denovo2616","denovo3099","denovo5808","denovo5228","denovo2962","denovo6057","denovo4335","denovo2966","denovo4457","denovo1458","denovo4848","denovo5803","denovo3632","denovo900","denovo4057","denovo6179","denovo3283","denovo5569","denovo2765","denovo4218","denovo4297","denovo3127","denovo3545"
"denovo413",0,0.365942028985507,0.372759856630824,0.438405797101449,0.505338078291815,0.36996336996337,0.315602836879433,0.479087452471483,0.564,0.37037037037037,0.385159010600707,0.365019011406844,0.352727272727273,0.380434782608696,0.467625899280576,0.379432624113475,0.374074074074074,0.333333333333333,0.358156028368794,0.591111111111111,0.424028268551237,0.347826086956522,0.325842696629214,0.353383458646617,0.307116104868914,0.358974358974359,0.32319391634981,0.402930402930403,0.419230769230769,0.343396226415094,0.532188841201717,0.348920863309353,0.358490566037736,0.352727272727273,0.526748971193416,0.402826855123675,0.407142857142857,0.365942028985507,0.4106463878327,0.517985611510791,0.346153846153846,0.359712230215827,0.364285714285714,0.212686567164179,0.322463768115942,0.609195402298851,0.533864541832669,0.523131672597865,0.429090909090909,0.401408450704225,0.49438202247191,0.515625
"denovo3845",0.365942028985507,0,0.317725752508361,0.410958904109589,0.5,0.40418118466899,0.376623376623377,0.389105058365759,0.590038314176245,0.399305555555556,0.402640264026403,0.359430604982206,0.324137931034483,0.313333333333333,0.45,0.41156462585034,0.357638888888889,0.345514950166113,0.368600682593857,0.568376068376068,0.456081081081081,0.363321799307958,0.343971631205674,0.355400696864111,0.380622837370242,0.400673400673401,0.376306620209059,0.376344086021505,0.410714285714286,0.378947368421053,0.55984555984556,0.311258278145695,0.36101083032491,0.351535836177474,0.513409961685824,0.401315789473684,0.377162629757785,0.351170568561873,0.476534296028881,0.498220640569395,0.351351351351351,0.362989323843416,0.375426621160409,0.339285714285714,0.327759197324415,0.592857142857143,0.531380753138075,0.492957746478873,0.409774436090226,0.377483443708609,0.503759398496241,0.484126984126984
"denovo3975",0.372759856630824,0.317725752508361,0,0.450847457627119,0.496551724137931,0.387755102040816,0.373770491803279,0.445283018867925,0.581132075471698,0.401360544217687,0.380645161290323,0.402826855123675,0.370242214532872,0.380794701986755,0.473684210526316,0.383050847457627,0.397923875432526,0.382059800664452,0.400673400673401,0.576923076923077,0.439344262295082,0.412969283276451,0.347517730496454,0.389078498293515,0.349315068493151,0.396666666666667,0.367697594501718,0.355871886120996,0.414285714285714,0.342560553633218,0.519685039370079,0.359223300970874,0.363309352517986,0.326599326599327,0.534615384615384,0.452145214521452,0.393103448275862,0.383333333333333,0.461267605633803,0.484320557491289,0.395348837209302,0.413194444444444,0.415540540540541,0.347368421052632,0.369127516778524,0.583038869257951,0.5,0.520689655172414,0.411764705882353,0.39344262295082,0.539325842696629,0.492
"denovo2476",0.438405797101449,0.410958904109589,0.450847457627119,0,0.545762711864407,0.484536082474227,0.413907284768212,0.477611940298508,0.551724137931034,0.48,0.487012987012987,0.452296819787986,0.392982456140351,0.426621160409556,0.486111111111111,0.451388888888889,0.4,0.409556313993174,0.43859649122807,0.583333333333333,0.498349834983498,0.431578947368421,0.372262773722628,0.438162544169611,0.433898305084746,0.458471760797342,0.460481099656357,0.452631578947368,0.476190476190476,0.453900709219858,0.592156862745098,0.387622149837134,0.4375,0.424561403508772,0.558139534883721,0.464882943143813,0.440273037542662,0.408163265306123,0.5,0.561643835616438,0.431034482758621,0.48494983277592,0.444827586206897,0.471428571428571,0.380622837370242,0.655052264808362,0.514644351464435,0.538983050847458,0.456928838951311,0.448844884488449,0.430711610486891,0.526717557251908
"denovo1578",0.505338078291815,0.5,0.496551724137931,0.545762711864407,0,0.542857142857143,0.496598639455782,0.512915129151292,0.643382352941177,0.580536912751678,0.582236842105263,0.530465949820789,0.507142857142857,0.527972027972028,0.553571428571429,0.532646048109966,0.518382352941177,0.512110726643599,0.552816901408451,0.641255605381166,0.614617940199335,0.572438162544169,0.507246376811594,0.534296028880866,0.506666666666667,0.553054662379421,0.514950166112957,0.579124579124579,0.507462686567164,0.490842490842491,0.577868852459016,0.517799352750809,0.548042704626335,0.494623655913978,0.661417322834646,0.484848484848485,0.552816901408451,0.547368421052632,0.602040816326531,0.129230769230769,0.536585365853659,0.581168831168831,0.564459930313589,0.51865671641791,0.517482517482518,0.654545454545455,0.585365853658537,0.189024390243902,0.487084870848709,0.532423208191126,0.591078066914498,0.490494296577947
"denovo3446",0.36996336996337,0.40418118466899,0.387755102040816,0.484536082474227,0.542857142857143,0,0.40133779264214,0.48,0.535849056603774,0.310104529616725,0.298013245033113,0.362989323843416,0.390845070422535,0.412162162162162,0.473309608540925,0.235915492957746,0.431034482758621,0.393103448275862,0.359861591695502,0.594142259414226,0.386440677966102,0.350877192982456,0.390070921985816,0.391752577319588,0.352112676056338,0.388316151202749,0.362989323843416,0.276363636363636,0.42910447761194,0.420875420875421,0.549618320610687,0.397306397306397,0.202247191011236,0.411764705882353,0.533834586466165,0.425675675675676,0.39,0.419463087248322,0.382142857142857,0.530685920577617,0.357388316151203,0.359712230215827,0.371527777777778,0.462068965517241,0.402097902097902,0.607017543859649,0.538152610441767,0.528571428571429,0.457875457875458,0.402640264026403,0.52,0.497959183673469
"denovo3171",0.315602836879433,0.376623376623377,0.373770491803279,0.413907284768212,0.496598639455782,0.40133779264214,0,0.417910447761194,0.551851851851852,0.438538205980066,0.424050632911392,0.379661016949152,0.253333333333333,0.241157556270096,0.462328767123288,0.403973509933775,0.27891156462585,0.249190938511327,0.356902356902357,0.55421686746988,0.471760797342193,0.379194630872483,0.255892255892256,0.32996632996633,0.351973684210526,0.376205787781351,0.317880794701987,0.427118644067797,0.435714285714286,0.36026936026936,0.540740740740741,0.370253164556962,0.397212543554007,0.347826086956522,0.554347826086957,0.409937888198758,0.35016835016835,0.269230769230769,0.437931034482759,0.481099656357388,0.364238410596026,0.375,0.370860927152318,0.388111888111888,0.237785016286645,0.588235294117647,0.514285714285714,0.5,0.397111913357401,0.351437699680511,0.492857142857143,0.46484375
"denovo2975",0.479087452471483,0.389105058365759,0.445283018867925,0.477611940298508,0.512915129151292,0.48,0.417910447761194,0,0.609958506224066,0.484615384615385,0.456204379562044,0.472222222222222,0.392156862745098,0.424242424242424,0.496153846153846,0.467680608365019,0.453488372093023,0.39922480620155,0.455598455598456,0.666666666666667,0.492592592592593,0.48828125,0.405405405405405,0.451737451737452,0.424124513618677,0.401515151515152,0.405511811023622,0.465384615384615,0.443983402489627,0.407547169811321,0.586206896551724,0.462962962962963,0.471544715447154,0.407843137254902,0.597510373443983,0.440298507462687,0.456204379562044,0.426966292134831,0.525490196078431,0.51685393258427,0.446564885496183,0.444866920152091,0.496153846153846,0.467181467181467,0.401574803149606,0.664150943396226,0.559322033898305,0.514814814814815,0.419847328244275,0.40590405904059,0.527675276752767,0.512195121951219
"denovo4060",0.564,0.590038314176245,0.581132075471698,0.551724137931034,0.643382352941177,0.535849056603774,0.551851851851852,0.609958506224066,0,0.590733590733591,0.600746268656716,0.540983606557377,0.592307692307692,0.559386973180077,0.546938775510204,0.55,0.555133079847909,0.546153846153846,0.56420233463035,0.628,0.587591240875912,0.571428571428571,0.539923954372624,0.52734375,0.596551724137931,0.612244897959184,0.582191780821918,0.569288389513109,0.567901234567901,0.576923076923077,0.689655172413793,0.607773851590106,0.552941176470588,0.58203125,0.619230769230769,0.597864768683274,0.592465753424658,0.55893536121673,0.564705882352941,0.628676470588235,0.565384615384615,0.583941605839416,0.564885496183206,0.57088122605364,0.544061302681992,0.745583038869258,0.66,0.628676470588235,0.53469387755102,0.584558823529412,0.588235294117647,0.625
"denovo2864",0.37037037037037,0.399305555555556,0.401360544217687,0.48,0.580536912751678,0.310104529616725,0.438538205980066,0.484615384615385,0.590733590733591,0,0.357366771159875,0.411149825783972,0.381118881118881,0.433447098976109,0.436823104693141,0.292253521126761,0.391304347826087,0.394557823129252,0.393728222996516,0.579646017699115,0.411371237458194,0.375438596491228,0.358974358974359,0.37809187279152,0.448387096774193,0.455696202531646,0.450980392156863,0.327464788732394,0.454887218045113,0.425,0.566801619433199,0.411003236245955,0.295373665480427,0.387323943661972,0.53968253968254,0.439739413680782,0.42756183745583,0.399317406143345,0.413907284768212,0.567656765676568,0.381443298969072,0.419463087248322,0.391003460207612,0.41304347826087,0.405498281786942,0.60948905109489,0.534188034188034,0.560402684563758,0.461832061068702,0.423333333333333,0.524904214559387,0.52755905511811
