"","Site","mean.p.cover.before","sd.p.cover.before","n.quadrat.before","mean.p.cover.after","sd.p.cover.after","n.quadrat.after","percent.change"
"1","site14",1.02523659305994,1.44990349454655,34,0,NA,30,100
"2","site15",1.03966832426315,1.55505602177128,58,0.356511573618972,0.0746215025090978,30,65.7091049809906
"3","site19",0.0520291363163372,NA,20,0.0784313725490196,NA,26,-50.7450980392157
"4","site25",0.950598777897421,0.0847262681989518,49,0.180288461538462,NA,17,81.0342211950628
"5","site27",0.00916086478563576,0.0183217295712715,63,0,0,44,100
"6","site3",1.0991227327861,0.983937759609951,56,0.561797752808989,NA,29,48.8867133714065
"7","site30",0.988292658653673,0.29127890406682,75,0.574176130730152,0.142896827294384,33,41.9022163422383
"8","site32",0.134695598462618,0.0486414452097014,60,0.050442928671711,0.0238961626700885,31,62.5504253684204
"9","site34",0.216473013754826,0.0528911175098375,56,0,0,31,100
"10","site35",0.696718009485823,0.951508087482378,61,0.245813015209567,0.109549008608592,30,64.7184353120172
"11","site5",0.544959128065395,NA,30,0.0171115674195756,0.0241994107182254,37,96.8600273785079
"12","site8",0.578031445892344,0.353199572626341,67,0.0692411124286459,0.0460430129199476,30,88.0212204853745
