"","Site","mean.p.cover.before","sd.p.cover.before","n.quadrat.before","mean.p.cover.after","sd.p.cover.after","n.quadrat.after","percent.change"
"1","site14",0.206084606044335,0.154676507303954,34,0.167897918065816,NA,30,-18.5296168944826
"2","site15",0.0544588574778241,0.0478911229893834,58,0.0339279950678652,0.000252319652899437,30,-37.6997670550087
"3","site19",0,NA,20,0,NA,26,NA
"4","site25",1.29482651969143,0.573574387064414,49,0,NA,17,-100
"5","site27",0.0586742154197792,0.0963245471119793,63,0.0168293503870751,0.0238002955633304,44,-71.3172979533326
"6","site3",0.964271106597839,0.222772245137718,56,0.842696629213483,NA,29,-12.6079145742838
"7","site30",0.611108775054643,0.246360586042907,75,0.0337780866987246,2.42033921569028e-05,33,-94.4726555929909
"8","site32",0.234804288867052,0.140759579941158,60,0,0,31,-100
"9","site34",1.61889358377885,0.232172759781227,56,0.60348176379914,0.00422459376116517,31,-62.7225798010466
"10","site35",2.4496541100339,0.170560781484965,61,1.18302275629862,0.0540818056550142,30,-51.7065388353032
"11","site5",1.22615803814714,NA,30,1.57281870489656,0.340835992513089,37,28.2721032660087
"12","site8",1.14517779196806,0.597928391677572,67,0.556679872165658,0.268477151612357,30,-51.3892186811477
