"","Site","mean.p.cover.before","sd.p.cover.before","n.quadrat.before","mean.p.cover.after","sd.p.cover.after","n.quadrat.after","percent.change"
"1","site14",25.8276943541055,12.6593121361376,34,0.671591672263264,NA,30,97.3997227044136
"2","site15",60.9531911944549,2.80612735478893,58,3.47753028598739,0.00187204903764105,30,94.2947527145982
"3","site19",58.8969823100936,NA,20,1.13725490196078,NA,26,98.0690778078016
"4","site25",47.2078523527275,1.54784547109596,49,5.94951923076923,NA,17,87.3971830230368
"5","site27",1.72709521386873,0.337894614041632,63,0.0853069926654035,0.022159467387307,44,95.0606664890053
"6","site3",45.6212095568531,2.32899842896526,56,6.88202247191011,NA,29,84.9148618838487
"7","site30",32.6454130232492,3.12382130609443,75,10.0484588041975,1.44976705460401,33,69.2193852868662
"8","site32",3.5145737064649,0.194845605063385,60,0.335954874700262,0.0941789940527015,31,90.4410917864011
"9","site34",43.0502737076458,6.24532879017207,56,4.86263580630695,1.01601479956023,31,88.7047505450741
"10","site35",47.3829253726176,6.242361309058,61,5.5367975734355,1.07409339447478,30,88.3147831631451
"11","site5",56.8801089918256,NA,30,5.21312886963642,0.322935058557141,37,90.8348824184117
"12","site8",35.3982374089844,12.4827356242059,67,3.76515431214354,1.53758665607855,30,89.3634412678754
