field_season,coral_tag,frozen_sample,sds_SampleID
KI2014,4,no,
KI2015a_Pre,4,no,
KI2015a_Post,4,no,
KI2015b,4,500,
KI2015c,4,600,
KI2014,19,no,KI14FQ019
KI2014,62,no,KI14FQ037
KI2015a_Post,62,no,KI15aFQ116
KI2015b,62,no,KI15bFQ167
KI2015c,62,300,KI15cFQ372
KI2016a,62,some,KI16aFQ001
KI2014,99,no,KI14FQ072
KI2015a_Post,99,no,KI15aFQ103
KI2015b,99,600,KI15bFQ023
KI2015c,99,700,KI15cFQ018
KI2016a,99,some,KI16aFQ049
KI2014,148,no,KI14FQ098
KI2014,157,no,KI14FQ104
KI2015c,157,300,KI15cFQ161
KI2014,161,no,KI14FQ107
KI2015c,161,100,KI15cFQ159
KI2014,164,no,KI14FQ109
KI2014,192,no,
KI2015c,192,600,
KI2014,205,no,
KI2015c,205,200,
KI2016a,205,some,
KI2014,213,250,
KI2015c,213,500,
KI2014,223,no,KI14FQ148
KI2015c,223,1500,KI15cFQ171
KI2014,231,no,
KI2015c,231,300,
KI2014,234,no,KI14FQ157
KI2015c,234,500,KI15cFQ180
KI2014,242,no,KI14FQ164
KI2014,245,no,
KI2014,248,no,KI14FQ171
KI2014,249,wasn’t on the EMP datasheet,
KI2014,253,wasn’t on the EMP datasheet,
KI2015a_Post,253,no,KI15aFQ113
KI2015b,253,no,KI15bFQ164
KI2015c,253,900,KI15cFQ365
KI2014,258,no,KI14FQ176
KI2014,266,no,KI14FQ183
KI2014,271,no,
KI2015a_Post,271,no,
KI2015b,271,100,
KI2015c,271,500,
KI2014,273,no,
KI2014,278,no,KI14FQ192
KI2014,285,no,
KI2016a,285,some,
KI2014,289,no,KI14FQ201
KI2016a,289,some,KI16aFQ108
KI2014,298,wasn’t on the EMP datasheet,
KI2014,299,wasn’t on the EMP datasheet,
KI2014,306,no,KI14FQ211
KI2014,311,no,KI14FQ214
KI2014,328,no,KI14FQ221
KI2015b,328,200,KI15bFQ255
KI2015c,328,1600,KI15cFQ488
KI2016a,328,some,KI16aFQ116
KI2014,334,no,
KI2014,338,no,KI14FQ229
KI2014,341,no,
KI2015c,341,900,
KI2015c,341.2,1500,
KI2014,351,no,KI14FQ241
KI2014,352,no,
KI2014,353,no,KI14FQ243
KI2015b,353,500,KI15bFQ263
KI2015c,353,1000,KI15cFQ496
KI2014,371,no,KI14FQ248
KI2014,373,no,
KI2015c,373,1000,
KI2014,379,no,KI14FQ254
KI2015c,379,1000,KI15cFQ404
KI2014,386,no,
KI2015a_Post,386,no,
KI2015b,386,no,
KI2015c,386,1000,
KI2016a,386,some,
KI2014,389,no,KI14FQ277
KI2015b,389,200,KI15bFQ131
KI2014,400,no,
KI2015c,400,1100,
KI2014,402,no,KI14FQ266
KI2015c,402,400,KI15cFQ415
KI2014,410,no,KI14FQ271
KI2014,412,no,
KI2014,435,no,
KI2015b,435,200,
KI2015c,435,500,
KI2014,439,no,
KI2015b,439,200,
KI2015c,439,700,
KI2016a,439,some,
KI2014,442,no,KI14FQ284
KI2015b,442,no,KI15bFQ069
KI2015c,442,500,KI15cFQ348
KI2014,447,no,KI14FQ286
KI2014,449,no,
KI2014,454,no,
KI2014,455,no,KI14FQ292
KI2015a_Post,455,no,KI15aFQ160
KI2014,461,no,KI14FQ297
KI2014,466,no,KI14FQ300
KI2015a_Post,466,no,KI15aFQ156
KI2015b,466,1200,KI15bFQ140
KI2015c,466,1100,KI15cFQ064
KI2014,470,no,KI14FQ301
KI2015a_Post,470,no,KI15aFQ150
KI2015b,470,800,KI15bFQ138
KI2015c,470,250,KI15cFQ072
KI2014,473,no,
KI2014,479,no,KI14FQ305
KI2014,482,no,
KI2015b,482,200,
KI2015c,482,700,
KI2016a,482,some,
KI2014,486,no,KI14FQ310
KI2015b,486,600,KI15bFQ188
KI2014,487,no,
KI2015b,487,500,
KI2015c,487,1000,
KI2014,492,no,
KI2015b,492,200,
KI2015c,492,400,
KI2014,504,100,KI14FQ323
KI2015a_Pre,583,no,
KI2015b,583,800,
KI2015c,583,600,
KI2016a,583,some,
KI2015a_Pre,588,no,
KI2015b,588,1100,
KI2015c,588,350,
KI2016a,588,some,
KI2015a_Pre,592,no,
KI2015b,592,1000,
KI2015c,592,500,
KI2016a,592,some,
KI2015a_Pre,594,no,KI15aFQ043
KI2015c,594,100,KI15cFQ114
KI2016a,594,some,KI16aFQ158
KI2015a_Pre,597,no,
KI2015b,597,1400,
KI2015c,597,1000,
KI2016a,597,some,
KI2015a_Pre,605,no,
KI2015c,605,800,
KI2015a_Pre,612,no,KI15aFQ052
KI2015c,612,1500,KI15cFQ126
KI2016a,612,some,KI16aFQ164
KI2015a_Pre,618,no,KI15aFQ067
KI2015c,618,500,KI15cFQ129
KI2016a,618,some,KI16aFQ160
KI2015a_Pre,623,no,
KI2015c,623,1200,
KI2015a_Pre,628,no,
KI2015c,628,400,
KI2015c,631,700,
KI2015a_Post,637,no,KI15aFQ097
KI2015b,637,1100,KI15bFQ020
KI2016a,637,some,KI16aFQ047
KI2015b,656,600,
KI2015c,656,900,
KI2015b,685,no,
KI2015b,696,wasn’t on the EMP datasheet,KI15bFQ179
KI2015c,696,800,KI15cFQ385
KI2016a,696,some,KI16aFQ004
KI2015b,719,600,
KI2015c,719,300,
KI2015b,722,100,
KI2015c,722,700,
KI2015b,726,no,
KI2015c,726,1300,
KI2015b,727,1000,KI15bFQ205
KI2015c,727,1200,KI15cFQ083
KI2015b,729,100,
KI2015c,729,800,
KI2016a,729,some,
KI2015b,735,no,KI15bFQ213
KI2015c,735,600,KI15cFQ065
KI2015b,736,300,
KI2015c,736,600,
KI2015b,742,300,KI15bFQ219
KI2015c,742,1300,KI15cFQ436
KI2015b,754,200,KI15bFQ231
KI2015c,754,500,KI15cFQ468
KI2015b,762,100,KI15bFQ239
KI2015c,762,400,KI15cFQ474
KI2015b,766,no,KI15bFQ243
KI2015c,766,400,KI15cFQ472
KI2015b,768,1100,KI15bFQ245
KI2015c,768,600,KI15cFQ460
KI2015b,770,500,
KI2015c,770,400,
KI2016a,770,some,
KI2015b,772,100,
KI2015c,772,1000,
KI2015b,781,300,
KI2015c,781,1300,
KI2015b,783,no,KI15bFQ279
KI2016a,783,some,KI16aFQ118
KI2015b,786,500,
KI2015c,786,600,
KI2016a,786,some,
KI2015b,788,no,KI15bFQ284
KI2015c,788,900,KI15cFQ253
KI2016a,788,some,KI16aFQ088
KI2015b,792,600,KI15bFQ288
KI2015c,792,600,KI15cFQ254
KI2016a,792,some,KI16aFQ089
KI2015b,797,400,KI15bFQ293
KI2015c,797,400,KI15cFQ261
KI2016a,797,some,KI16aFQ091
KI2015b,800,50,
KI2015c,800,200,
KI2015b,807,1000,none
KI2015c,807,150,KI15cFQ273
KI2016a,807,some,KI16aFQ104
KI2015b,810,900,
KI2015c,810,1000,
KI2015b,813,900,none
KI2015c,813,500,KI15cFQ277
KI2016a,813,some,KI16aFQ095
KI2015b,820,800,none
KI2015c,820,1300,KI15cFQ278
KI2016a,820,some,KI16aFQ096
KI2015b,824,1200,none
KI2015c,824,600,KI15cFQ283
KI2016a,824,some,KI16aFQ101
KI2015b,844,1000,
KI2015c,844,700,
KI2016a,844,some,
KI2015b,850,1300,none
KI2015c,850,700,KI15cFQ506
KI2016a,850,some,KI16aFQ120
KI2015b,856,500,
KI2015c,856,1300,
KI2015b,857,600,none
KI2015c,857,1000,KI15cFQ504
