"","ref","SampleID","coral_tag","SampleType","field_season","Coral_Species","site","Status","field_season","site","coral_tag","before.after","annotator","date_annotated","colony_width1","colony_width2","colony_area","binary_tissue_loss","binary_disease","cyanobacteria_contact","binary_algal_contact","turf_contact","binary_macroalgae_contact","type_of_macroalgae","binary_CCA_contact","sediment_contact","binary_coral_contact","binary_bleaching","bleaching_proportion","notes_bleaching","notes","Year_Pre_Post","Sample.Name","File.Name","C.CT.mean","D.CT.mean","PaxC.CT.mean","Pax-C.CT.mean","C.CT.sd","D.CT.sd","PaxC.CT.sd","Pax-C.CT.sd","C.reps","D.reps","PaxC.reps","Pax-C.reps","C.PaxC","D.PaxC","fail","S.H","Tag","field_season","Sample.Num","Pre.Post","S.H"
"6","KI2014.tag19","KI14FSYM019","19","coral","KI2014","Platygyra_sp",38,"UK","KI2014","38","19","","JL","15-01-2016","18.055","15.778","206.726","n","n","n","y","y","n","NONE","n","y","n","y","2","a large portion of the coral is bleaching, some areas almost completely bleached, some areas just  the tops of ridges (Platygyra)","","KI2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","KI2014.tag62","KI14FSYM062","62","coral","KI2014","Platygyra_sp",8,"alive","KI2014","8","62","","JL","1/2/2016","20.296","19.056","295.796","n","n","n","y","y","n","NONE","y","n","y","y","1","there is a large patch where the tops of ridges are bleaching but not completely white (Platygyra) ","","KI2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","KI2015a_Post.tag62","KI15aFSYM116","62","coral","KI2015a_Post","Platygyra_sp",8,"alive","KI2015a","8","62","_Post","HD","23-03-2016","20.762","18.507","301.936","n","n","n","y","y","n","NONE","n","y","y","n","NONE","","","KI2015a_Post",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","KI2015b.tag62","KI15bFSYM167","62","coral","KI2015b","Platygyra_sp",8,"alive","KI2015b","8","62","","JL","5/4/2016","26.558","24.144","469.616","n","n","n","y","y","n","NONE","y","y","y","y","1","bleaching around algal patch","","KI2015b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","KI2015c.tag62","KI15cFSYM372","62","coral","KI2015c","Platygyra_sp",8,"alive","KI2015c","8","62","","HD","7/10/2015","25.475","24.216","514.923","y","y","n","y","y","n","NONE","y","n","y","y","2","Large patches (harder to tell because of shadow)","","KI2015c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","KI2016a.tag62","KI16aFSYM001","62","coral","KI2016a","Platygyra_sp",8,"alive","KI2016a","8","62","","HD","24-06-2016","33.62","32.466","847.208","n","n","n","y","y","n","NONE","y","y","y","y","2","top of coral bleaching","","KI2016a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","KI2014.tag99","KI14FSYM099","99","coral","KI2014","Platygyra_sp",35,"alive","KI2014","35","99","","JL","18-02-2016","15.898","16.27","198.536","n","n","n","y","y","n","NONE","y","y","y","y","1","a few bleached spots on the top surface around algal spots ","","KI2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","KI2015a_Post.tag99","KI15aFSYM103","99","coral","KI2015a_Post","Platygyra_sp",35,"alive","KI2015a","35","99","_Post","JL","22-03-2016","17.156","16.572","214.561","n","n","n","y","y","n","NONE","y","y","y","y","1","bleaching around algal patches; patches where ridges are starting to bleach ","","KI2015a_Post",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","KI2015b.tag99","KI15bFSYM023","99","coral","KI2015b","Platygyra_sp",35,"alive","KI2015b","35","99","","HD","5/8/2016","19.694","18.238","292.203","n","n","n","y","y","n","NONE","y","y","y","n","NONE","","","KI2015b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","KI2015c.tag99","KI15cFSYM018","99","coral","KI2015c","Platygyra_sp",35,"alive","KI2015c","35","99","","HD","2/11/2015","15.334","14.777","177.033","n","y","n","y","y","n","NONE","y","n","y","y","2","One large patch","","KI2015c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
