SampleID	coral_tag	SampleType	field_season	Coral_Species	site	Status	ref	Year_Pre_Post	colony_width1	colony_width2	colony_area	binary_tissue_loss	binary_disease	cyanobacteria_contact	binary_algal_contact	turf_contact	binary_macroalgae_contact	type_of_macroalgae	binary_CCA_contact	sediment_contact	binary_coral_contact	binary_bleaching	bleaching_proportion	notes_bleaching
1	KI14FSYM004	4	coral	KI2014	Favites_pentagona	35	gone	2014.tag.4	2014	30.54	21.662	417.829	n	n	n	y	y	n	NONE	y	y	n	y	1	areas of the coral are paling, a few bleached spots, middle spots still dark (Favia)
2	KI15aFSYM002	4	coral	KI2015a	Favites_pentagona	35	gone	2015Jan_Pre.tag.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	KI15aFSYM081	4	coral	KI2015a	Favites_pentagona	35	gone	2015Jan_Post.tag.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	KI15bFSYM002	4	coral	KI2015b	Favites_pentagona	35	gone	2015May.tag.4	2015May	39.676	28.848	721.407	n	n	n	n	n	n	NONE	y	y	y	y	1	a few small areas bleached 
5	KI15cFSYM003	4	coral	KI2015c	Favites_pentagona	35	gone	2015July.tag.4	2015July	21.756	20.461	400.986	n	y	n	y	y	y	Peysson_red, Peysson_yellow	y	n	y	y	1	A few small patches
6	KI14FSYM019	19	coral	KI2014	Platygyra_sp	38	UK	2014.tag.19	2014	18.055	15.778	206.726	n	n	n	y	y	n	NONE	n	y	n	y	2	a large portion of the coral is bleaching, some areas almost completely bleached, some areas just  the tops of ridges (Platygyra)
7	KI14FSYM062	62	coral	KI2014	Platygyra_sp	8	alive	2014.tag.62	2014	20.296	19.056	295.796	n	n	n	y	y	n	NONE	y	n	y	y	1	there is a large patch where the tops of ridges are bleaching but not completely white (Platygyra) 
8	KI15aFSYM116	62	coral	KI2015a	Platygyra_sp	8	alive	2015Jan_Post.tag.62	2015Jan_Post	20.762	18.507	301.936	n	n	n	y	y	n	NONE	n	y	y	n	NONE	
9	KI15bFSYM167	62	coral	KI2015b	Platygyra_sp	8	alive	2015May.tag.62	2015May	26.558	24.144	469.616	n	n	n	y	y	n	NONE	y	y	y	y	1	bleaching around algal patch
10	KI15cFSYM372	62	coral	KI2015c	Platygyra_sp	8	alive	2015July.tag.62	2015July	25.475	24.216	514.923	y	y	n	y	y	n	NONE	y	n	y	y	2	Large patches (harder to tell because of shadow)
11	KI16aFSYM001	62	coral	KI2016a	Platygyra_sp	8	alive	2016March.tag.62	2016March	33.62	32.466	847.208	n	n	n	y	y	n	NONE	y	y	y	y	2	top of coral bleaching
12	KI14FSYM099	99	coral	KI2014	Platygyra_sp	35	alive	2014.tag.99	2014	15.898	16.27	198.536	n	n	n	y	y	n	NONE	y	y	y	y	1	a few bleached spots on the top surface around algal spots 
13	KI15aFSYM103	99	coral	KI2015a	Platygyra_sp	35	alive	2015Jan_Post.tag.99	2015Jan_Post	17.156	16.572	214.561	n	n	n	y	y	n	NONE	y	y	y	y	1	bleaching around algal patches; patches where ridges are starting to bleach 
14	KI15bFSYM023	99	coral	KI2015b	Platygyra_sp	35	alive	2015May.tag.99	2015May	19.694	18.238	292.203	n	n	n	y	y	n	NONE	y	y	y	n	NONE	
