"","SampleID","field_season","coral_tag","frozen_sample","sds_SampleID","X","Biomass","field_season_key"
"34","KI14FQ323","before","504","100","KI14FQ323","","High","KI2014"
"45","KI15bFQ020","before","637","1100","KI15bFQ020","","High","KI2015b"
"46","KI15bFQ023","before","99","600","KI15bFQ023","","High","KI2015b"
"48","KI15bFQ131","before","389","200","KI15bFQ131","","High","KI2015b"
"49","KI15bFQ138","before","470","800","KI15bFQ138","","High","KI2015b"
"50","KI15bFQ140","before","466","1200","KI15bFQ140","","High","KI2015b"
"53","KI15bFQ188","before","486","600","KI15bFQ188","","Low","KI2015b"
"54","KI15bFQ205","before","727","1000","KI15bFQ205","","Low","KI2015b"
"56","KI15bFQ219","before","742","300","KI15bFQ219","","Low","KI2015b"
"57","KI15bFQ231","before","754","200","KI15bFQ231","","Low","KI2015b"
"58","KI15bFQ239","before","762","100","KI15bFQ239","","High","KI2015b"
"60","KI15bFQ245","before","768","1100","KI15bFQ245","","High","KI2015b"
"61","KI15bFQ255","before","328","200","KI15bFQ255","","Low","KI2015b"
"62","KI15bFQ263","before","353","500","KI15bFQ263","","High","KI2015b"
"65","KI15bFQ288","before","792","600","KI15bFQ288","","Low","KI2015b"
"66","KI15bFQ293","before","797","400","KI15bFQ293","","Low","KI2015b"
"67","KI15cFQ018","during","99","700","KI15cFQ018","","Low","KI2015c"
"68","KI15cFQ064","during","466","1100","KI15cFQ064","","Low","KI2015c"
"69","KI15cFQ065","during","735","600","KI15cFQ065","","High","KI2015c"
"70","KI15cFQ072","during","470","250","KI15cFQ072","","Low","KI2015c"
"71","KI15cFQ083","during","727","1200","KI15cFQ083","","Low","KI2015c"
"72","KI15cFQ114","during","594","100","KI15cFQ114","","Low","KI2015c"
"73","KI15cFQ126","during","612","1500","KI15cFQ126","","Low","KI2015c"
"74","KI15cFQ129","during","618","500","KI15cFQ129","","Low","KI2015c"
"75","KI15cFQ159","during","161","100","KI15cFQ159","","Low","KI2015c"
"76","KI15cFQ161","during","157","300","KI15cFQ161","","Low","KI2015c"
"77","KI15cFQ171","during","223","1500","KI15cFQ171","","Low","KI2015c"
"78","KI15cFQ180","during","234","500","KI15cFQ180","","High","KI2015c"
