SampleID	InputFileName	coral_tag	SampleType	Year	TubeNumber	Coral_Species	Site	Status	Year_Pre_Post
KI16bFMD158	NA	62	coral	2016Nov	NA	Platygyra_sp	8	alive	2016Nov
KI16bFMD002	NA	99	coral	2016Nov	NA	Platygyra_sp	35	alive	2016Nov
KI16bFMD180	NA	328	coral	2016Nov	NA	Platygyra_sp	34	alive	2016Nov
KI16bFMD109	NA	594	coral	2016Nov	NA	Platygyra_sp	15	alive	2016Nov
KI16bFMD106	NA	612	coral	2016Nov	NA	Platygyra_sp	15	alive	2016Nov
KI16bFMD104	NA	618	coral	2016Nov	NA	Platygyra_sp	15	alive	2016Nov
KI16bFMD025	NA	754_899_1060	coral	2016Nov	NA	Platygyra_sp	32	alive	2016Nov
KI16bFMD176	NA	783	coral	2016Nov	NA	Platygyra_sp	34	alive	2016Nov
KI16bFMD031	NA	788	coral	2016Nov	NA	Platygyra_sp	5	alive	2016Nov
KI16bFMD032	NA	792	coral	2016Nov	NA	Platygyra_sp	5	alive	2016Nov
KI16bFMD034	NA	797	coral	2016Nov	NA	Platygyra_sp	5	alive	2016Nov
KI16bFMD039	NA	807	coral	2016Nov	NA	Platygyra_sp	5	alive	2016Nov
KI16bFMD068	NA	820	coral	2016Nov	NA	Platygyra_sp	5	alive	2016Nov
KI16bFMD038	NA	824	coral	2016Nov	NA	Platygyra_sp	5	alive	2016Nov
KI16bFMD182	NA	850	coral	2016Nov	NA	Platygyra_sp	34	alive	2016Nov
KI16bFMD178	NA	857	coral	2016Nov	NA	Platygyra_sp	34	alive	2016Nov
KI16bFMD160	NA	906	coral	2016Nov	NA	Platygyra_sp	8	alive	2016Nov
KI16bFMD165	NA	909	coral	2016Nov	NA	Platygyra_sp	8	alive	2016Nov
KI16bFMD156	NA	919	coral	2016Nov	NA	Platygyra_sp	8	alive	2016Nov
KI16bFMD003	NA	925	coral	2016Nov	NA	Platygyra_sp	35	alive	2016Nov
KI16bFMD006	NA	933	coral	2016Nov	NA	Platygyra_sp	35	alive	2016Nov
KI16bFMD074	NA	1005	coral	2016Nov	NA	Platygyra_sp	37	alive	2016Nov
