"","denovo631","denovo1561","denovo1558","denovo919","denovo4598","denovo2048","denovo3864","denovo1550","denovo4021","denovo3444","denovo5029","denovo1353","denovo1080","denovo5256","denovo6056","denovo4515","denovo5012"
"denovo631",0,0.538461538461538,0.538116591928251,0.32807570977918,0.169278996865204,0.404761904761905,0.501661129568106,0.464646464646465,0.447457627118644,0.427586206896552,0.383386581469649,0.401515151515152,0.40133779264214,0.311728395061728,0.414383561643836,0.482014388489209,0.373417721518987
"denovo1561",0.538461538461538,0,0.549295774647887,0.574561403508772,0.568965517241379,0.556485355648536,0.654166666666667,0.564102564102564,0.541125541125541,0.639484978540773,0.557017543859649,0.547511312217195,0.619433198380567,0.590163934426229,0.609442060085837,0.615384615384615,0.547826086956522
"denovo1558",0.538116591928251,0.549295774647887,0,0.569506726457399,0.54054054054054,0.543103448275862,0.665178571428571,0.560538116591928,0.559090909090909,0.567567567567568,0.532407407407407,0.538095238095238,0.584745762711865,0.611607142857143,0.539823008849557,0.5678391959799,0.567567567567568
"denovo919",0.32807570977918,0.574561403508772,0.569506726457399,0,0.250793650793651,0.458620689655172,0.525252525252525,0.471186440677966,0.47098976109215,0.494773519163763,0.429032258064516,0.417624521072797,0.486577181208054,0.347962382445141,0.439446366782007,0.503676470588235,0.352564102564103
"denovo4598",0.169278996865204,0.568965517241379,0.54054054054054,0.250793650793651,0,0.422297297297297,0.518272425249169,0.434782608695652,0.434343434343434,0.482758620689655,0.39297124600639,0.420454545454545,0.411371237458194,0.307453416149068,0.399317406143345,0.467625899280576,0.322784810126582
"denovo2048",0.404761904761905,0.556485355648536,0.543103448275862,0.458620689655172,0.422297297297297,0,0.541095890410959,0.389655172413793,0.408304498269896,0.451048951048951,0.224137931034483,0.308270676691729,0.358803986710963,0.439597315436242,0.356643356643357,0.496350364963504,0.47972972972973
"denovo3864",0.501661129568106,0.654166666666667,0.665178571428571,0.525252525252525,0.518272425249169,0.541095890410959,0,0.555921052631579,0.546052631578947,0.545454545454545,0.544262295081967,0.526717557251908,0.52,0.562691131498471,0.498293515358362,0.541958041958042,0.57
"denovo1550",0.464646464646465,0.564102564102564,0.560538116591928,0.471186440677966,0.434782608695652,0.389655172413793,0.555921052631579,0,0.159744408945687,0.45819397993311,0.417218543046358,0.402255639097744,0.423333333333333,0.445859872611465,0.395348837209302,0.505415162454874,0.511864406779661
"denovo4021",0.447457627118644,0.541125541125541,0.559090909090909,0.47098976109215,0.434343434343434,0.408304498269896,0.546052631578947,0.159744408945687,0,0.473154362416107,0.428571428571428,0.392452830188679,0.411371237458194,0.449044585987261,0.37037037037037,0.510869565217391,0.515358361774744
"denovo3444",0.427586206896552,0.639484978540773,0.567567567567568,0.494773519163763,0.482758620689655,0.451048951048951,0.545454545454545,0.45819397993311,0.473154362416107,0,0.43421052631579,0.397637795275591,0.385382059800665,0.5,0.451505016722408,0.505535055350554,0.482758620689655
"denovo5029",0.383386581469649,0.557017543859649,0.532407407407407,0.429032258064516,0.39297124600639,0.224137931034483,0.544262295081967,0.417218543046358,0.428571428571428,0.43421052631579,0,0.312977099236641,0.35,0.429012345679012,0.36271186440678,0.492753623188406,0.441935483870968
"denovo1353",0.401515151515152,0.547511312217195,0.538095238095238,0.417624521072797,0.420454545454545,0.308270676691729,0.526717557251908,0.402255639097744,0.392452830188679,0.397637795275591,0.312977099236641,0,0.315589353612167,0.411320754716981,0.365384615384615,0.410569105691057,0.434615384615385
"denovo1080",0.40133779264214,0.619433198380567,0.584745762711865,0.486577181208054,0.411371237458194,0.358803986710963,0.52,0.423333333333333,0.411371237458194,0.385382059800665,0.35,0.315589353612167,0,0.433656957928803,0.383838383838384,0.511111111111111,0.476973684210526
"denovo5256",0.311728395061728,0.590163934426229,0.611607142857143,0.347962382445141,0.307453416149068,0.439597315436242,0.562691131498471,0.445859872611465,0.449044585987261,0.5,0.429012345679012,0.411320754716981,0.433656957928803,0,0.42156862745098,0.498293515358362,0.403125
"denovo6056",0.414383561643836,0.609442060085837,0.539823008849557,0.439446366782007,0.399317406143345,0.356643356643357,0.498293515358362,0.395348837209302,0.37037037037037,0.451505016722408,0.36271186440678,0.365384615384615,0.383838383838384,0.42156862745098,0,0.496268656716418,0.429553264604811
"denovo4515",0.482014388489209,0.615384615384615,0.5678391959799,0.503676470588235,0.467625899280576,0.496350364963504,0.541958041958042,0.505415162454874,0.510869565217391,0.505535055350554,0.492753623188406,0.410569105691057,0.511111111111111,0.498293515358362,0.496268656716418,0,0.490842490842491
"denovo5012",0.373417721518987,0.547826086956522,0.567567567567568,0.352564102564103,0.322784810126582,0.47972972972973,0.57,0.511864406779661,0.515358361774744,0.482758620689655,0.441935483870968,0.434615384615385,0.476973684210526,0.403125,0.429553264604811,0.490842490842491,0
