Coral_Species,Coral_Tag,order,Seq_ID(s),Site,Disturbance_Level,Disturbance_rank,2014,2015a,2015b,2015c,2016a,2016b,2017,Legend,Legend2,,,,,,
Favites,729,1,,27,Very High,1,0,0,0,3,3,3,3,0,Not found/sampled,,,,,,
Favites,271,2,"P163, G197, OR271",27,VeryHigh,1,3,3,3,0,4,0,0,1,Alive but not sampled,,,,,,
Favites,386,3,"BL82, P145, BG336, OR386",30,VeryHigh,1,3,3,0,3,3,3,9,2,Cladocopium-dominated,,,,,,
Favites,435,4,"2014-435, G65, BG345",30,VeryHigh,1,2,0,2,9,5,0,0,3,Durusdinium-dominated,,,,,,
Favites,439,5,"BL86, BG350, G68, 2014-439",30,VeryHigh,1,3,0,3,3,3,3,0,4,Dead,,,,,,
Favites,449,6,2014-449,27,VeryHigh,1,3,0,0,0,0,0,0,5,Gone,,,,,,
Favites,454,7,OR454,27,VeryHigh,1,3,0,0,0,0,0,0,6,Dead or gone,,,,,,
Favites,473,8,2014-473,27,VeryHigh,1,3,0,0,5,0,0,0,7,Symbiodinium,,,,,,
Favites,487,9,"BG434, G187",32,VeryHigh,1,0,0,3,3,0,4,0,8,Mixed - A and D,,,,,,
Favites,492,10,"BG439, G191",32,VeryHigh,1,0,0,3,3,4,0,0,9,Mixed - C and D,,,,,,
Favites,685,11,2015b-147,27,VeryHigh,1,0,0,3,0,0,0,0,10,Mixed C and A,,,,,,
Favites,722,12,"G200, BG77",27,VeryHigh,1,0,0,3,3,5,0,0,,,,,,,,
Favites,726,13,"2015b-204, BG82",27,VeryHigh,1,0,0,3,3,5,0,0,,,,,,,,
Favites,729,14,"BG94, BL66",27,VeryHigh,1,0,0,0,3,3,0,3,,,,,,,,
Favites,736,15,G214,27,VeryHigh,1,0,0,3,3,5,0,0,,,,,,,,
Favites,770,16,"BL13, BG461, G247",32,VeryHigh,1,0,0,3,3,3,3,0,,,,,,,,
Favites,772,17,"G249, BG448",32,VeryHigh,1,0,0,3,3,4,0,0,,,,,,,,
Favites,937,18,BL70,27,VeryHigh,1,0,0,0,0,3,3,3,,,,,,,,
Favites,482_897,19,,32,VeryHigh,1,0,0,0,3,0,0,0,,,,,,,,
Favites,482_897,19,"BL10, BG432, OR482",32,VeryHigh,1,3,0,0,0,3,3,0,,,,,,,,
Favites,497_745,20,"G194, BL6, 2014-497",32,VeryHigh,1,3,0,3,0,3,3,0,,,,,,,,
Favites,500,21,"208, c-231, OR500, BG455, BL11",32,VeryHigh,1,2,0,2,0,3,3,3,,,,,,,,
Favites,902,22,"c-232, BL20",32,VeryHigh,1,0,0,0,0,3,3,0,,,,,,,,
Favites,373,23,"OR373, BG399",25,High,2,2,0,0,2,0,0,0,,,,,,,,
Favites,400,24,BG411,25,High,2,0,0,0,2,0,0,3,,,,,,,,
Favites,1033,25,BL256,40,High,2,0,0,0,0,3,3,3,,,,,,,,
Favites,1034,26,BL259,40,High,2,0,0,0,0,3,3,3,,,,,,,,
Favites,1037,27,BL262,40,High,2,0,0,0,0,3,3,3,,,,,,,,
Favites,1050,28,BL266,40,High,2,0,0,0,0,3,3,0,,,,,,,,
Favites,412_892,29,"2014-412, 2015c-427",25,High,2,2,0,0,2,0,0,0,,,,,,,,
Favites,4,30,"2015b-002, BG3, OR4",35,Medium,3,2,0,2,2,5,0,0,,,,,,,,
Favites,245,31,2014-245,8,Medium,3,2,0,0,0,0,0,0,,,,,,,,
Favites,249,32,OR249,8,Medium,3,2,0,0,0,0,5,0,,,,,,,,
Favites,285,33,"2014-285, BL107",14,Medium,3,2,0,0,0,9,0,0,,,,,,,,
Favites,298,34,OR298,14,Medium,3,2,0,0,0,4,0,0,,,,,,,,
Favites,341,35,"BG509, OR341, BG494",34,Medium,3,2,0,0,2,5,0,0,,,,,,,,
Favites,352,36,OR352,34,Medium,3,2,0,0,0,0,0,0,,,,,,,,
Favites,719,37,"BG373, G184",8,Medium,3,0,0,2,2,4,0,0,,,,,,,,
Favites,781,38,"K15b-277, BG499",34,Medium,3,0,0,2,2,1,4,0,,,,,,,,
Favites,786,39,"BG502, BL282, BL119",34,Medium,3,0,0,2,2,3,3,3,,,,,,,,
Favites,844,40,"KI15b-340, BG519",34,Medium,3,0,0,2,2,0,9,3,,,,,,,,
Favites,856,41,"BG503, BL352",34,Medium,3,0,0,2,2,4,0,0,,,,,,,,
Favites,911,42,BL29,8,Medium,3,0,0,0,0,3,3,3,,,,,,,,
Favites,929,43,BL58,35,Medium,3,0,0,0,0,3,0,0,,,,,,,,
Favites,192,44,"2015c-200, 2014-192",38,Low,4,2,0,0,2,4,0,0,,,,,,,,
Favites,205,45,"BG209, 2014-205, BL196",38,Low,4,2,0,0,2,3,0,0,,,,,,,,
Favites,213,46,"BG216, 2014-213",38,Low,4,2,0,0,2,0,0,3,,,,,,,,
Favites,231,47,"OR231, 2015c-178",3,Low,4,2,0,0,2,0,0,9,,,,,,,,
Favites,583,48,"P32, BG101",15,VeryLow,5,0,2,0,2,0,1,4,,,,,,,,
Favites,588,49,"G84, BL153, P37",15,VeryLow,5,0,2,2,1,3,9,3,,,,,,,,
Favites,592,50,"BG112, P41",15,VeryLow,5,0,2,0,2,3,3,3,,,,,,,,
Favites,597,51,"P46, BL159",15,VeryLow,5,0,2,0,0,3,3,3,,,,,,,,
Favites,605,52,P57,15,VeryLow,5,0,2,0,0,0,3,3,,,,,,,,
Favites,623,53,"BG145, P72",15,VeryLow,5,0,2,0,2,0,0,0,,,,,,,,
Favites,628,54,"P77, BG142",15,VeryLow,5,0,2,0,9,0,0,9,,,,,,,,
Favites,656,55,"BG25, G102",19,VeryLow,5,0,0,2,2,0,0,0,,,,,,,,
Favites,800,56,"G296, BG265",5,VeryLow,5,0,0,2,2,5,0,0,,,,,,,,
Favites,810,57,"2015b-306, BG275",5,VeryLow,5,0,0,2,2,4,0,0,,,,,,,,
Favites,1009,58,BL221,37,VeryLow,5,0,0,0,0,3,3,3,,,,,,,,
Favites,1032,59,BL239,37,VeryLow,5,0,0,0,0,3,3,3,,,,,,,,
Favites,631b,60,BG144,15,VeryLow,5,0,0,0,2,0,0,0,,,,,,,,
Platygyra,389,2,"OR389, G102",30,Very High,1,3,0,2,0,0,0,0,,,,,,,,
Platygyra,148,1,OR148,30,VeryHigh,1,3,0,0,0,0,0,0,,,,,,,,
Platygyra,258,3,OR258,27,VeryHigh,1,3,0,0,0,0,0,0,,,,,,,,
Platygyra,266,4,OR266,27,VeryHigh,1,9,0,0,0,0,0,0,,,,,,,,
Platygyra,442,6,"2014-442, G69, BG348",30,VeryHigh,1,3,0,3,3,5,0,0,,,,,,,,
Platygyra,447,7,OR447,27,VeryHigh,1,2,0,0,0,0,0,0,,,,,,,,
Platygyra,455,8,"OR455, P160",27,VeryHigh,1,3,3,0,0,0,0,0,,,,,,,,
Platygyra,461,9,OR461,27,VeryHigh,1,3,0,0,0,0,0,0,,,,,,,,
Platygyra,466,10,"OR466, P156, G140, BG64",27,VeryHigh,1,3,3,3,3,5,0,0,,,,,,,,
Platygyra,470,11,"OR470, P150, 2015b-138, BG72",27,VeryHigh,1,3,3,3,3,5,0,0,,,,,,,,
Platygyra,479,12,2014-479,32,VeryHigh,1,3,0,0,0,0,0,0,,,,,,,,
Platygyra,727,13,"G205, 2015c-083 [fixed]",27,VeryHigh,1,0,0,2,2,5,0,0,,,,,,,,
Platygyra,735,14,"G213, BG65",27,VeryHigh,1,0,0,3,0,5,0,0,,,,,,,,
Platygyra,742,15,"2015b-219, BG436",32,VeryHigh,1,0,0,3,3,4,0,0,,,,,,,,
Platygyra,762,16,"G239, BG474",32,VeryHigh,1,0,0,3,3,4,0,0,,,,,,,,
Platygyra,766,17,"G243, BG472",32,VeryHigh,1,0,0,3,3,4,0,0,,,,,,,,
Platygyra,768,18,"G245, BG460",32,VeryHigh,1,0,0,3,3,4,0,0,,,,,,,,
Platygyra,486_740,19,"OR486, G188",32,VeryHigh,1,3,0,3,0,0,0,0,,,,,,,,
Platygyra,754_899,20,"G231, BG468, BL17",32,VeryHigh,1,0,0,3,3,3,3,0,,,,,,,,
Platygyra,157,21,"OR157, BG161",3,High,2,2,0,0,2,0,0,8,,,,,,,,
Platygyra,371,22,2014-371,25,High,2,2,0,0,0,0,0,6,,,,,,,,
Platygyra,379,23,"OR379, BG404",25,High,2,2,0,0,2,0,0,8,,,,,,,,
Platygyra,402,24,"OR402, BG415",25,High,2,2,0,0,2,0,0,5,,,,,,,,
Platygyra,1036,25,2016a-261,40,High,2,0,0,0,0,3,3,3,,,,,,,,
Platygyra,1049,26,BL265,40,High,2,0,0,0,0,8,3,8,,,,,,,,
Platygyra,1055,27,BL272,40,High,2,0,0,0,0,3,3,0,,,,,,,,
Platygyra,410_893,28,"2014-410, 2015c-428",25,High,2,2,0,0,2,0,0,0,,,,,,,,
Platygyra,62,29,"OR62, P116, G167, 2015c-372, BL1",8,Medium,3,2,2,0,3,3,0,3,,,,,,,,
Platygyra,99,30,"OR99, P103, G23, 2015c-018, BL49",35,Medium,3,2,2,2,2,3,3,3,,,,,,,,
Platygyra,242,31,2014-242,8,Medium,3,3,0,0,0,0,0,0,,,,,,,,
Platygyra,253,32,"OR253, P113, G164, BG365",8,Medium,3,2,2,2,2,5,0,0,,,,,,,,
Platygyra,278,33,2014-278,14,Medium,3,2,0,0,0,6,0,0,,,,,,,,
Platygyra,289,34,"OR289, BL108",14,Medium,3,2,0,0,0,3,0,0,,,,,,,,
Platygyra,299,35,OR299,14,Medium,3,2,0,0,0,6,0,0,,,,,,,,
Platygyra,306,36,OR306,14,Medium,3,2,0,0,0,6,0,0,,,,,,,,
Platygyra,311,37,2014-311,34,Medium,3,9,0,0,0,0,0,0,,,,,,,,
Platygyra,328,38,"OR328, BL255, BG488, BL116",34,Medium,3,2,0,2,0,8,3,1,,,,,,,,
Platygyra,351,39,OR351,34,Medium,3,2,0,0,0,0,0,0,,,,,,,,
Platygyra,353,40,"OR353, BL263, BG496",34,Medium,3,9,0,2,2,5,0,0,,,,,,,,
Platygyra,504,41,OR504,14,Medium,3,3,0,0,0,5,0,0,,,,,,,,
Platygyra,637,42,"P97, G20, 2016a-047",35,Medium,3,0,2,2,0,3,0,0,,,,,,,,
Platygyra,783,43,"BL279, BL118",34,Medium,3,0,0,2,2,3,0,8,,,,,,,,
Platygyra,850,44,"BL346, 2015c-506, BL120",34,Medium,3,0,0,2,9,3,3,0,,,,,,,,
Platygyra,857,45,"BL353, BG504, BL113",34,Medium,3,0,0,2,10,3,3,0,,,,,,,,
Platygyra,919,46,BL38,8,Medium,3,0,0,0,0,3,3,3,,,,,,,,
Platygyra,928,47,2016a-057,35,Medium,3,0,0,0,0,3,0,0,,,,,,,,
Platygyra,933,48,2016a-062,35,Medium,3,0,0,0,0,3,3,3,,,,,,,,
Platygyra,248_696,49,"OR248, G179, BG385, BL4",8,Medium,3,2,0,2,2,3,0,0,,,,,,,,
Platygyra,338_1168,50,OR338,34,Medium,3,2,0,0,0,0,0,1,,,,,,,,
Platygyra,906,51,,8,Medium,3,0,0,0,0,3,3,3,,,,,,,,
Platygyra,909,52,,8,Medium,3,0,0,0,0,3,3,3,,,,,,,,
Platygyra,914,53,BL33,8,Medium,3,0,0,0,0,3,0,0,,,,,,,,
Platygyra,925,54,,35,Medium,3,0,0,0,0,3,3,3,,,,,,,,
Platygyra,161,55,"2014-161, BG159",3,Low,4,2,0,0,2,0,0,0,,,,,,,,
Platygyra,223,56,"OR223, 2015c-171",3,Low,4,2,0,0,2,0,0,3,,,,,,,,
Platygyra,234,57,"2014-234, 2015c-180",3,Low,4,2,0,0,2,0,0,1,,,,,,,,
Platygyra,164,58,CHECK,3,Low,4,8,0,0,0,0,0,8,,,,,,,,
Platygyra,19,59,OR19,38,Low,4,2,0,0,0,0,0,0,,,,,,,,
Platygyra,594,60,"P43, BG114, BL158",15,VeryLow,5,0,2,0,2,2,2,2,,,,,,,,
Platygyra,612_1270,61,"15-52, BG126, BL164",15,VeryLow,5,0,2,0,2,3,3,3,,,,,,,,
Platygyra,618,62,"P67, 2015c-129, BL169 [should be BL160?]",15,VeryLow,5,0,2,0,0,3,3,3,,,,,,,,
Platygyra,788,63,"2015b-284, BG253, BL88",5,VeryLow,5,0,0,2,2,3,3,8,,,,,,,,
Platygyra,792,64,"G288, 2015c-254, BL89",5,VeryLow,5,0,0,2,2,1,3,3,,,,,,,,
Platygyra,797,65,"G293, BG261, BL91",5,VeryLow,5,0,0,2,2,3,3,3,,,,,,,,
Platygyra,807,66,"G303, BG273, BL104",5,VeryLow,5,0,0,2,2,3,1,3,,,,,,,,
Platygyra,813,67,"G309, BG277, BL95",5,VeryLow,5,0,0,2,2,3,0,1,,,,,,,,
Platygyra,820,68,"2015b-316, BG278, BL96",5,VeryLow,5,0,0,2,2,3,8,1,,,,,,,,
Platygyra,824,69,"G320, 2015c-283, BL101",5,VeryLow,5,0,0,2,2,3,3,3,,,,,,,,
Platygyra,1020,70,BL212,37,VeryLow,5,0,0,0,0,3,3,3,,,,,,,,
Platygyra,1028,71,BL235,37,VeryLow,5,0,0,0,0,3,3,8,,,,,,,,
Platygyra,1030,72,BL237,37,VeryLow,5,0,0,0,0,3,0,0,,,,,,,,
Platygyra,1008,73,,37,VeryLow,5,0,0,0,0,3,3,8,,,,,,,,
Platygyra,1011b,74,,37,VeryLow,5,0,0,0,0,2,0,0,,,,,,,,
Platygyra,1013,75,,37,VeryLow,5,0,0,0,0,2,3,8,,,,,,,,
Platygyra,1017,76,,37,VeryLow,5,0,0,0,0,2,3,3,,,,,,,,
Platygyra,1022,77,,37,VeryLow,5,0,0,0,0,3,3,8,,,,,,,,
Platygyra,1023,78,,37,VeryLow,5,0,0,0,0,3,3,8,,,,,,,,
Platygyra,1024,79,,37,VeryLow,5,0,0,0,0,3,3,8,,,,,,,,
Platygyra,1031,80,,37,VeryLow,5,0,0,0,0,3,3,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
