Coral_Species,Coral_Tag,Site,Disturbance_Level,ProportionD_before,ProportionD_2015c,ProportionD_truebefore,Switch?,Survival_Status_conservative,ProposedSurvival_Status,Survival_Status_liberal,Bleached,Bleached_2015C,Bleached_2016A,ProportionC_before,ProportionC_after,Disturbance,Disturbance_sqrt
Favites,4,35,Medium,0,0,0,NA,NA,0,0,0,0,NA,1,NA,1212.82819,34.8256829
Favites,192,38,Low,0,0,0,NA,0,0,0,1,1,NA,1,NA,808.5521265,28.43505102
Favites,205,38,Low,0,0,0,1,1,1,1,1,1,1,1,0,808.5521265,28.43505102
Favites,213,38,Low,0,0,0,NA,1,1,1,0,1,NA,1,0,808.5521265,28.43505102
Favites,231,3,Low,0,0,0,NA,1,1,1,0,0,NA,1,0.36,808.5521265,28.43505102
Favites,245,8,Medium,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,1212.82819,34.8256829
Favites,249,8,Medium,0,0,0,NA,NA,NA,0,NA,NA,NA,1,NA,1212.82819,34.8256829
Favites,271,27,VeryHigh,1,1,1,NA,0,0,0,NA,NA,NA,0,NA,7275.908365,85.29893531
Favites,285,14,Medium,0,0,0,0,1,1,1,NA,NA,0,1,0.71,809,28.43505102
Favites,298,14,Medium,0,0,0,NA,0,0,0,NA,NA,NA,1,NA,809,28.43505102
Favites,341,34,Medium,0,0,0,NA,NA,0,0,1,1,NA,1,NA,1212.82819,34.8256829
Favites,352,34,Medium,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,1212.82819,34.8256829
Favites,373,25,High,0,0,0,NA,NA,NA,NA,0,0,NA,1,NA,0,0
Favites,386,30,VeryHigh,0.86,0.86,0.995,0,1,1,1,1,0,1,0.14,0,5085.684783,71.31398729
Favites,400,25,High,0,0,0,NA,1,1,1,NA,NA,NA,1,0,0,0
Favites,435,30,VeryHigh,0.22,0.22,0.08,NA,NA,0,0,0,0,NA,0.78,NA,5085.684783,71.31398729
Favites,439,30,VeryHigh,1,1,0.97,0,1,1,1,1,0,1,0,0,5085.684783,71.31398729
Favites,449,27,VeryHigh,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,NA,7275.908365,85.29893531
Favites,454,27,VeryHigh,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,NA,7275.908365,85.29893531
Favites,473,27,VeryHigh,0.87,0.87,0.87,NA,NA,NA,NA,NA,NA,NA,0.13,NA,7275.908365,85.29893531
Favites,487,32,VeryHigh,0.99,0.99,0.94,NA,NA,0,0,0,0,NA,0.99,NA,4860.745702,69.71904834
Favites,492,32,VeryHigh,0.99,0.99,0.78,NA,0,0,0,0,0,NA,0.99,NA,4860.745702,69.71904834
Favites,583,15,VeryLow,0,0,0,NA,1,1,1,1,1,NA,1,NA,0,0
Favites,588,15,VeryLow,0,NA,0,1,1,1,1,1,1,1,1,0.63,0,0
Favites,592,15,VeryLow,1,1,0,NA,1,1,1,0,0,NA,1,0,0,0
Favites,597,15,VeryLow,0,0,0,1,1,1,1,1,NA,1,1,0.29,0,0
Favites,605,15,VeryLow,0.01,0.01,0.01,NA,1,1,1,NA,NA,NA,0.99,0,0,0
Favites,623,15,VeryLow,0,0,0,NA,1,1,1,1,1,NA,1,NA,0,0
Favites,628,15,VeryLow,0.26,0.26,0.01,NA,1,1,1,1,1,NA,0.74,0.44,0,0
Favites,656,19,VeryLow,0.02,0.02,NA,NA,1,1,1,1,1,NA,0.98,NA,0,0
