"","sample_name","Symbiodinium_reads","Brevolium_reads","Cladocopium_reads","Durisdinium_read","F_reads","G_reads","Symbiodinium_proportion","Brevolium_proportion","Cladocopium_proportion","Durisdinium_proportion","Sequence_count"
"1","115_2019",95643,0,1346,98343,0,0,0.489643274015522,0,0.00689083201933119,0.503465893965147,195332
"2","189_2018",12550,0,114,164609,0,0,0.070794762879852,0,0.000643075933729333,0.928562161186419,177273
"3","149_2019",30966,0,0,133592,0,0,0.188176813038564,0,0,0.811823186961436,164558
"4","73_2019",0,0,0,142932,0,0,0,0,0,1,142932
"5","139_2018",0,0,44190,87440,0,0,0,0,0.33571374306769,0.66428625693231,131630
"6","106_2019",0,0,231,115580,0,0,0,0,0.00199462918030239,0.998005370819698,115811
"7","154_2019",24909,0,0,90890,0,0,0.21510548450332,0,0,0.78489451549668,115799
"8","105_2019",47621,0,0,66648,0,0,0.416744698912216,0,0,0.583255301087784,114269
"9","66_2019",0,0,521,100157,0,0,0,0,0.00517491408252051,0.99482508591748,100678
"10","44_2019",0,0,0,92244,0,0,0,0,0,1,92244
"11","153_2019",22050,0,0,66776,0,0,0.248238128475897,0,0,0.751761871524103,88826
"12","155_2019",3125,0,34616,49351,0,0,0.0358815964726955,0,0.397464749919625,0.566653653607679,87092
"13","57_2019",16990,0,89,69707,0,0,0.195768902818427,0,0.00102551102712419,0.803205586154449,86786
"14","249_2015b",0,0,83114,0,0,0,0,0,1,0,83114
"15","167_2019",2074,0,0,78166,0,0,0.0258474576271186,0,0,0.974152542372881,80240
"16","47_2019",0,0,628,75418,0,0,0,0,0.00825815953501828,0.991741840464982,76046
"17","341_2015c",0,0,74145,252,0,0,0,0,0.996612766643816,0.00338723335618372,74397
"18","56_2019",306,0,0,66762,0,0,0.00456253354804079,0,0,0.995437466451959,67068
"19","205_2014",0,0,66458,0,0,0,0,0,1,0,66458
"20","410_2014",0,0,62349,2924,0,0,0,0,0.955203529790265,0.0447964702097345,65273
"21","135_2019",11118,0,313,53613,0,0,0.170930447081975,0,0.00481212717545046,0.824257425742574,65044
"22","107_2019",13604,0,0,51122,0,0,0.210178290022557,0,0,0.789821709977443,64726
"23","34_2019",3904,0,0,60354,0,0,0.0607550810793987,0,0,0.939244918920601,64258
"24","101_2019",0,0,0,63445,0,0,0,0,0,1,63445
"25","133_2019",10743,0,0,52675,0,0,0.169399854930777,0,0,0.830600145069223,63418
