"","DIV","Color","ID","Alpha_ID"
"1","A5b-A5a-A5c-A5e-A5g","#DBF92D",1,14
"2","A5b-A5a-71099-A5g","#CAF644",2,11
"3","A5b/A5a","#EDFC16",3,17
"4","A5b-A5a-A5h-A5g","#E1FA25",4,15
"5","A5b-A5a-A5c","#D0F73C",5,12
"6","A5b-A5a-71099","#C4F64B",6,10
"7","A5b-A5j-A5k-A5l-A5i","#E7FB1E",7,16
"8","A5b","#BEF553",8,9
"9","A6b/A3g","#F9FE07",9,19
"10","A5a/69444/A2e-A2d","#B8F45A",10,8
"11","A5b-A5a-A5c-A5e","#D6F835",11,13
"12","A5b/A5f-A5a","#F3FD0F",12,18
"13","A5a","#B3F362",13,7
"14","A3","#A1F079",14,4
"15","A3f/A3-A3n","#A7F171",15,5
"16","A1es","#95EE88",16,2
"17","A2f","#9BEF80",17,3
"18","A1er","#90EE90",18,1
"19","A4y","#ADF26A",19,6
"20","B1-B1g","grey",20,20
"21","C15-C15ct-C15ch-C15cp-C15cq","#2D389A",21,45
"22","C31-C21-C31d-C31e-C21aj","#83A4CD",22,91
"23","C31-C21-71140-C21ac-noName","#81A2CC",23,90
"24","C42a/C42.2-C1-C1b-C42ad-C42b-C42ac-C42h-C42ai-C1az","#9DC5DD",24,105
"25","C42a/C42.2-C1-C1b-C42ad-C42ac-C1az-C1au-C42g-C1j","#9CC2DC",25,104
"26","C3-C3dc-C3di-C3a","#728FC3",26,82
"27","C15-C15ct-C15cy-C15cz-C15ch","#303D9C",27,47
"28","C42a/C1-C42.2-C42ad-C1b-C42ac-C42ah-C1az-C42b","#96BBD8",28,101
"29","C3/C3dc","#7896C6",29,85
"30","C15","#1F2792",30,38
"31","C3","#6B85BF",31,78
"32","C1b/C3-C1u-C1bo-C1bn","#5C73B6",32,70
"33","C50a/C3-C50l-C50m-C50n","#A9D3E3",33,111
"34","C15cu-C15cv-C15-C15cw-C15co-C15cx","#4B5DAC",34,61
"35","C42a/C1/C42.2/C1b","#9AC0DA",35,103
"36","C15/C15cs-C15cr-C15bb-C15eb-C15ec","#4152A6",36,56
"37","C1b/C3-C1u-C1bo-C3.2-C1bn","#5E75B7",37,71
"38","C15-C15ct-C15ch-C15cp","#2B3699",38,44
"39","C1","#000080",39,21
"40","C116-C116q-C116u-C116i","#181E8E",40,34
"41","C15/C15ch","#3E4DA4",41,54
"42","C1/C42.2/C1b","#12178B",42,31
"43","C15/C15cu/C50a","#4759AA",43,59
"44","C1/C42.2","#101589",44,30
"45","C15-C15cn","#293398",45,43
"46","C31/C21","#89ABD0",46,94
"47","C15-C15ar-C116f-C15ea-71068","#252E96",47,41
"48","C15-C116f-C15dz-C15cq-C15dl","#232C95",48,40
"49","C3-C3dc-C3a","#6E8AC1",49,80
"50","C15cu/C15-C15cv-C15co-C15cw","#4D60AD",50,62
"51","C3/C1b","#7491C4",51,83
"52","C3/C42.2-C42a-C3dc-C1b-C31","#7C9AC9",52,87
"53","C15/C15ct","#4556A9",53,58
"54","C116-C116q","#161C8D",54,33
"55","C3-C3dc-C3di","#708CC2",55,81
"56","C15h-C15dw-C15dx-C15dv-C15du","#5267B0",56,65
"57","C1-C1c-C1b-C1al-C42.2","#070984",57,25
"58","C3/C50a-C3dc-C50l","#7D9DCA",58,88
"59","C3-C1bp-C3dg-C3df-C3dh","#6D88C0",59,79
"60","C3/C1b-C31-C42a-C42.2-C1u","#7693C5",60,84
"61","C15/C116","#3A48A2",61,52
"62","C1/C1b","#0D1087",62,28
"63","C15m/C15db-C15","#566CB3",63,67
"64","C42g/C42a","#A1C9DF",64,107
"65","C15-C15dt","#34419F",65,49
"66","C1b/C3-C1u","#5A70B5",66,69
"67","C42ad","#9FC7DE",67,106
"68","C15cu","#495BAB",68,60
"69","C15/C15cs-C15cr-C15bb","#3F4FA5",69,55
"70","C15/C15cs-C15da-C15cr","#4354A7",70,57
"71","C3/C3dd","#7A98C8",71,86
"72","C1/C1c-C1b","#0F1288",72,29
"73","C1-C1c-C1al","#050783",73,24
"74","C31/C1-71140-C21-C42a","#85A6CE",74,92
"75","C116","#14198C",75,32
"76","C15-C116-C15ct-C15ch-C15cp","#212A93",76,39
"77","C15h/C15","#5469B1",77,66
"78","C15-C15m-C15ds","#3846A1",78,51
"79","C116a","#1C2390",79,36
"80","C42g/C42a/C42.2-C1-C42h-C1b-C42b-C1au","#A3CCE0",80,108
"81","C15-C15ct-C15ch-C15dl","#2F3A9B",81,46
"82","C42a/C1-C42.2-C42b-C1b-C1az","#98BED9",82,102
"83","C15h","#5064AF",83,64
"84","C15-C15dl","#323F9D",84,48
"85","C42.2","#8DB0D3",85,96
"86","C17d","#586EB4",86,68
"87","C15-C15bn-C15by","#273197",87,42
"88","C1-C1av-C3ct-C1aw-C1c","#010281",88,22
"89","C15-C15l-C15n-C15bb-C15.8","#3644A0",89,50
"90","C42a/C1-C42.2-C1b-C1j-C1au","#94B9D7",90,100
"91","C15dy","#4E62AE",91,63
"92","C42.2/C116/C1-C1b","#90B4D5",92,98
"93","C42.2/C1/C1b-C1au","#8EB2D4",93,97
"94","C42a-C42.2-C1b-C1-C42b","#92B7D6",94,99
"95","C21/C3","#6983BE",95,77
"96","C1n","#6781BC",96,76
"97","C116b","#1E2591",97,37
"98","C3dl","#8BADD2",98,95
"99","F3.1","#FFAAB4",99,154
"100","C1-C1c-C1b-C1w-C42.2","#090B85",100,26
"101","C1d-C1ba-C42.2-C1","#617AB9",101,73
"102","C66","#ABD5E4",102,112
"103","C1-C1c-C42.2","#0B0E86",103,27
"104","C31/C17d-C21-C21ac","#87A9CF",104,93
"105","C50a","#A5CEE1",105,109
"106","C91","#ADD8E6",106,113
"107","C1d/C1-C42.2-C1b-C3cg-C45c-C115k","#637CBA",107,74
"108","F3f","#FFAEB8",108,155
"109","F5.1a","#FFB3BD",109,156
"110","C1j","#657EBB",110,75
"111","C1cc","#5F77B8",111,72
"112","C50a/C3-C3ad-C50f","#A7D0E2",112,110
"113","C1-C1b-C1c-C42.2-C1br-C1bh-C1cb-C72k","#030482",113,23
"114","C31-C17d-C31.1-C21-C31a-C17e","#7F9FCB",114,89
"115","C15/C116-C15h","#3C4BA3",115,53
"116","C116/C1-C1b","#1A208F",116,35
"117","D1/D4-D4c-D6","#FF7379",117,141
"118","D1-D4-D1c-D1al-D2","#FF1D1F",118,121
"119","D1-D4-D4c-D6-D1h","#FF4043",119,129
"120","D1-D4-D4c-D6-D1c-D2-D10","#FF3B3F",120,128
"121","D1/D1as-D1ax-D1at-D4-D6-D1au-D1av-D1aw","#FF5155",121,133
"122","D1/D4/D4c","#FF7B82",122,143
"123","D1-D4-D4c-D6-D1c","#FF373A",123,127
"124","D1-D4-D4o-D1am","#FF484C",124,131
"125","D1-D4-D1c-D1al","#FF191B",125,120
"126","D1-D4-D4c-D1c-D2","#FF2A2D",126,124
"127","D1-D4-D4o-D1ay-D1am","#FF4C51",127,132
"128","D1/D4","#FF5D63",128,136
"129","D1-D4-D4c-D1h","#FF2E31",129,125
"130","D1-D4-D4c-D1c","#FF2628",130,123
"131","D1/D4/D6","#FF8087",131,144
"132","D1-D4-D17d-D17e-D4c-D6-D1r-D17c-D17j","#FF0C0D",132,117
"133","D1-D4-D4c-D6-D2-D4f","#FF4448",133,130
"134","D1-D4-D17d-D4c-D17e-D1r-D17c","#FF1112",134,118
"135","D1-D17d-D17e-D1r-D17c","#FF0404",135,115
"136","D1-D4-D17d-D17e-D17c-D1r-D4c-D1h-D17j-D17l-D17k","#FF0809",136,116
"137","D1/D4-D1c","#FF6267",137,137
"138","D1/D4-D4c-D1h-D1c-D2","#FF6E75",138,140
"139","D1-D4-D1c-D17d-D17e-D1r-D17c","#FF1516",139,119
"140","D1/D4/D1d-D6","#FF777E",140,142
"141","D1/D4-D2-D4c","#FF666C",141,138
"142","D1","#FF0000",142,114
"143","D4c","#FF9DA6",143,151
"144","D4","#FF99A2",144,150
"145","D6/D4","#FFA6AF",145,153
"146","D1az","#FF959D",146,149
"147","D1/D2-D4","#FF555A",147,134
"148","D1/D4/D6-D2.2","#FF848B",148,145
"149","D1/D2/D4-D2.2","#FF595E",149,135
"150","D1-D4-D2-D4c-D4f","#FF2224",150,122
"151","D1/D6-D4-D10","#FF8C94",151,147
"152","D5","#FFA2AB",152,152
"153","D1ab","#FF9199",153,148
"154","D1-D4-D4c-D4f-D1c","#FF3336",154,126
"155","D1/D4-D4c-D1c-D17d","#FF6A70",155,139
"156","D1/D6","#FF8890",156,146
"157","F5b","#FFB7C1",157,157
"158","G3x","#FFBBC6",158,158
