"","sample_name","fastq_fwd_file_name","fastq_rev_file_name","sample_type","host_phylum","host_class","host_order","host_family","host_genus","host_species","coral species","collection_latitude","collection_longitude","collection_date","collection_depth","coral_tag","site_name","Sequencing_run","expedition","ID","Disturbance","Disturbance_cat","El_nino","ID2","Porites_compare","DisturbanceFish","...27"
"1","4_2014","OR4_S333_L001_R1_001.fastq.gz","OR4_S333_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Favites","pentagona","Favites pentagona","1.89428 N","157.54276 W","2014 Aug","10-12 m","4",35,"run1","2014",467,1212.82818968762,"Medium","Before",2022,"NA",1212.82818968762,NA
"2","4_2015b","2015b-002_S27_L001_R1_001.fastq.gz","2015b-002_S27_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Favites","pentagona","Favites pentagona","1.89428 N","157.54276 W","2015 May","10-12 m","4",35,"run1","2015b",1615,1212.82818968762,"Medium","Before",2025,"NA",1212.82818968762,NA
"3","4_2015c","BG3_S117_L001_R1_001.fastq.gz","BG3_S117_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Favites","pentagona","Favites pentagona","1.89428 N","157.54276 W","2015 July","10-12 m","4",35,"run1","2015c",1410,1212.82818968762,"Medium","During",2026,"NA",1212.82818968762,NA
"4","19_2014","OR19_S307_L001_R1_001.fastq.gz","OR19_S307_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Platygyra","sp","Platygyra sp","2.04559 N","157.43419 W","2014 Aug","10-12 m","19",38,"run1","2014",441,808.552126458412,"Low","Before",2488,"NA",808.552126458412,NA
"5","29_2014","OR29_S317_L001_R1_001.fastq.gz","OR29_S317_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Favites","halicora","Favites halicora","2.04559 N","157.43419 W","2014 Aug","10-12 m","29",38,"run1","2014",451,808.552126458412,"Low","Before",2443,"NA",808.552126458412,NA
"6","29_2015b","BG190_S103_L001_R1_001.fastq.gz","BG190_S103_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Favites","halicora","Favites halicora","2.04559 N","157.43419 W","2015 May","10-12 m","29",38,"run1","2015b",1628,808.552126458412,"Low","Before",2444,"NA",808.552126458412,NA
"7","29_2016a","BL190_S187_L001_R1_001.fastq.gz","BL190_S187_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Favites","halicora","Favites halicora","2.04559 N","157.43419 W","2016 March","10-12 m","29",38,"run1","2016a",1930,808.552126458412,"Low","During",2445,"NA",808.552126458412,NA
"8","34_2014","34-14_S228_L001_R1_001.fastq.gz","34-14_S228_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Favites","halicora","Favites halicora","2.04559 N","157.43419 W","2014 Aug","10-12 m","34",38,"Bleaching3_run","2014",400,808.552126458412,"Low","Before",2446,"NA",808.552126458412,NA
"9","34_2015c","194-15C_S87_L001_R1_001.fastq.gz","194-15C_S87_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Favites","halicora","Favites halicora","2.04559 N","157.43419 W","2015 July","10-12 m","34",38,"Bleaching3_run","2015c",1171,808.552126458412,"Low","During",2447,"NA",808.552126458412,NA
"10","148_2014","OR148_S305_L001_R1_001.fastq.gz","OR148_S305_L001_R2_001.fastq.gz","coral_field","cnidaria","anthozoa","scleractinia","merulinidae","Platygyra","sp","Platygyra sp","2.02555 N","157.49788 W","2014 Aug","10-12 m","148",30,"run1","2014",439,5085.684783,"Very High","Before",1370,"NA",2021,NA
