"","Coral_Species","Coral_Tag"
"1","Favites","4"
"2","Favites","192"
"3","Favites","205_1258_1332"
"4","Favites","213_1333"
"5","Favites","231"
"6","Favites","245"
"7","Favites","249"
"8","Favites","271"
"9","Favites","285"
"10","Favites","298"
"11","Favites","341"
"12","Favites","352"
"13","Favites","373"
"14","Favites","386_1302"
"15","Favites","400_1102_1377"
"16","Favites","435"
"17","Favites","439"
"18","Favites","449"
"19","Favites","454"
"20","Favites","473"
"21","Favites","487"
"22","Favites","492"
"23","Favites","583"
"24","Favites","588_1227"
"25","Favites","592_1269"
"26","Favites","597_1228"
"27","Favites","605"
"28","Favites","623"
"29","Favites","628"
"30","Favites","656"
"31","Favites","685"
"32","Favites","719"
"33","Favites","722"
"34","Favites","726"
"35","Favites","729_1460"
"36","Favites","736"
"37","Favites","770"
"38","Favites","772"
"39","Favites","781"
"40","Favites","786_1424"
"41","Favites","800"
"42","Favites","810"
"43","Favites","844"
"44","Favites","856"
"45","Favites","902"
"46","Favites","911_1321_1355"
"47","Favites","929"
"48","Favites","937"
"49","Favites","1009"
"50","Favites","1032"
"51","Favites","1033"
"52","Favites","1034"
"53","Favites","1037"
"54","Favites","1050"
"55","Favites","412_892_1297"
"56","Favites","482_897"
"57","Favites","482_897b"
"58","Favites","497_745"
"59","Favites","631b"
"60","Platygyra","19"
"61","Platygyra","62_1260"
"62","Platygyra","99_1312_1360"
"63","Platygyra","148"
"64","Platygyra","157"
"65","Platygyra","161"
"66","Platygyra","164_1143"
"67","Platygyra","223"
"68","Platygyra","234"
"69","Platygyra","242"
"70","Platygyra","253"
"71","Platygyra","258"
"72","Platygyra","266"
"73","Platygyra","278"
"74","Platygyra","289"
"75","Platygyra","299"
"76","Platygyra","306"
"77","Platygyra","311"
"78","Platygyra","328"
"79","Platygyra","351"
"80","Platygyra","353"
"81","Platygyra","371"
"82","Platygyra","379"
"83","Platygyra","389"
"84","Platygyra","402"
"85","Platygyra","442"
"86","Platygyra","447"
"87","Platygyra","455"
"88","Platygyra","461"
"89","Platygyra","466"
"90","Platygyra","470"
"91","Platygyra","479"
"92","Platygyra","504"
"93","Platygyra","594"
"94","Platygyra","618"
"95","Platygyra","637"
"96","Platygyra","727"
"97","Platygyra","735"
"98","Platygyra","742"
"99","Platygyra","762"
"100","Platygyra","766"
"101","Platygyra","768"
"102","Platygyra","783"
"103","Platygyra","788_1279"
"104","Platygyra","792"
"105","Platygyra","797"
"106","Platygyra","807_1319"
"107","Platygyra","813"
"108","Platygyra","820"
"109","Platygyra","824"
"110","Platygyra","850"
"111","Platygyra","857"
"112","Platygyra","906"
"113","Platygyra","909"
"114","Platygyra","914"
"115","Platygyra","919"
"116","Platygyra","925"
"117","Platygyra","928"
"118","Platygyra","933_1427"
"119","Platygyra","1008"
"120","Platygyra","1013"
"121","Platygyra","1017"
"122","Platygyra","1020"
"123","Platygyra","1022"
"124","Platygyra","1023"
"125","Platygyra","1024_1341"
"126","Platygyra","1028"
"127","Platygyra","1030"
"128","Platygyra","1031_1344"
"129","Platygyra","1036"
"130","Platygyra","1049"
"131","Platygyra","1055"
"132","Platygyra","1011b"
"133","Platygyra","248_696"
"134","Platygyra","338_1168"
"135","Platygyra","410_893"
"136","Platygyra","486_740"
"137","Platygyra","612_1270"
"138","Platygyra","754_899_1060"
