field_season,site,coral_tag,species,tagcompare_year,partialmortality,living_tissue_status,notes_partialmortality
KI2016a,8,911,fpenta,new,1,h,
KI2016a,14,285,fpenta,2014,1,h,
KI2016a,15,588,fpenta,2015c,1,h,small bleachy spots (level 1)
KI2016a,15,592,fpenta,2015c,1,b,still pale
KI2016a,15,597,fpenta,2015c,4,h,
KI2016a,15,583b,fpenta,new,1,h,small bleachy spots (level 1)
KI2016a,27,937,fpenta,new,1,h,small bleachy spots (level 1)
KI2016a,30,386,fpenta,2015c,1,h,small bleachy spots (level 1)
KI2016a,30,439,fpenta,2015c,1,h,small bleachy spots (level 1)
KI2016a,32,770,fpenta,2015c,5,h,uh it healed; but also small bleachy spots (level 1)
KI2016a,32,902,fpenta,new,1,h,
KI2016a,32,482_897,fpenta,2015c,1,h,small bleachy spots (level 1)
KI2016a,32,497_745,fpenta,2015c,1,h,small bleachy spots (level 1)
KI2016a,34,786,fpenta,2015c,3,h,
KI2016a,34,844,fpenta,2015c,2,h,
KI2016a,35,929,fpenta,new,4,h,small bleachy spots (level 1)
KI2016a,37,1009,fpenta,new,1,b,still pale
KI2016a,37,1032,fpenta,new,1,b,still pale
KI2016a,38,205,fpenta,2015c,4,h,small bleachy spots (level 1)
KI2016a ,27,729,fpenta,2015c,0,h,small bleachy spots (level 1)
KI2016a ,40,1033,fpenta,new,0,h,
KI2016a ,40,1034,fpenta,new,1,h,
KI2016a ,40,1037,fpenta,new,0,h,small bleachy spots (level 1)
KI2016a ,40,1050,fpenta,new,0,h,small bleachy spots (level 1)
KI2016a ,40,1056,fpenta,new,0,h,small bleachy spots (level 1)
