"","info","site","Status","total"
"5","sampled_before","14","alive",2
"17","sampled_before","14","dead_or_gone",4
"6","sampled_before","15","alive",13
"7","sampled_before","25","alive",1
"22","sampled_before","25","UK",8
"14","sampled_before","27","dead",4
"18","sampled_before","27","gone",8
"23","sampled_before","27","UK",6
"8","sampled_before","3","alive",4
"15","sampled_before","3","dead",1
"24","sampled_before","3","UK",6
"19","sampled_before","30","gone",3
"25","sampled_before","30","UK",3
"9","sampled_before","32","alive",7
"16","sampled_before","32","dead",8
"26","sampled_before","32","UK",3
"10","sampled_before","34","alive",21
"20","sampled_before","34","gone",3
"27","sampled_before","34","UK",3
"1","after_only","35","alive",6
"11","sampled_before","35","alive",10
"2","after_only","37","alive",27
"28","sampled_before","38","UK",1
"3","after_only","40","alive",8
"12","sampled_before","5","alive",34
"4","after_only","8","alive",10
"13","sampled_before","8","alive",6
"21","sampled_before","8","gone",4
"29","sampled_before","8","UK",5
