Taxa,Site,Cover.BEFORE,Cover.AFTER,percent.change
FAVIA.SPP,site27,0.034096922,0,-100
FAVIA.SPP,site30,2.442148083,0.508107309,-79.19424653
FAVIA.SPP,site32,0.117522267,0,-100
FAVIA.SPP,site14,1.128825135,0.067340067,-94.03449965
FAVIA.SPP,site34,4.118403077,0.283649066,-93.11264439
FAVIA.SPP,site35,5.238534865,0.607661743,-88.40015847
FAVIA.SPP,site8,5.089513471,0.205893178,-95.9545607
FAVIA.SPP,site3,6.725962373,1.158931454,-82.76928431
FAVIA.SPP,site15,4.351736364,0.914034205,-78.99610342
FAVIA.SPP,site19,10.68997682,0.699874775,-93.45298136
FAVIA.SPP,site5,3.556913199,0.44433369,-87.50788491
