Taxa,Site,Cover.BEFORE,Cover.AFTER,percent.change
FAV.PENT,site27,0.008928571,0,-100
FAV.PENT,site30,0.986052105,0.580560287,-41.12275774
FAV.PENT,site32,0.134704397,0.05,-62.88168684
FAV.PENT,site14,1.027820141,0,-100
FAV.PENT,site34,0.219136674,0,-100
FAV.PENT,site35,0.703260646,0.226127032,-67.84591415
FAV.PENT,site8,0.575309042,0.086797932,-84.91281636
FAV.PENT,site3,1.065627688,0.360434239,-66.1763444
FAV.PENT,site15,1.050250516,0.357550045,-65.95573725
FAV.PENT,site19,0.05,0.076923077,53.84615385
FAV.PENT,site5,0.548235039,0.017182131,-96.86591893
