Taxa,Site,Cover.BEFORE,Cover.AFTER,percent.change
HYDNO,site27,0.052700131,0,-100
HYDNO,site30,1.506310259,0.235195599,-84.38597911
HYDNO,site32,0.05016835,0.050676836,1.013559786
HYDNO,site14,2.182077704,0.033333333,-98.47240393
HYDNO,site34,4.301586316,0.117774618,-97.26206545
HYDNO,site35,4.075120307,0.136188284,-96.65805488
HYDNO,site8,1.813277265,0.171309612,-90.55248662
HYDNO,site3,2.172786384,0.579614564,-73.32390481
HYDNO,site15,0.537254425,0.100340136,-81.32353474
HYDNO,site19,0.2,0,-100
HYDNO,site5,3.83476349,0.033673469,-99.12188928
