Taxa,Site,Cover.BEFORE,Cover.AFTER,percent.change
PLATYGYRA,site27,0.058925995,0.017182131,-70.84117003
PLATYGYRA,site30,0.612791114,0.034543242,-94.36296629
PLATYGYRA,site32,0.234715577,0,-100
PLATYGYRA,site14,0.20577042,0.168020339,-18.34572753
PLATYGYRA,site34,1.629992137,0.602028254,-63.0655731
PLATYGYRA,site35,2.460914002,1.175858348,-52.21863312
PLATYGYRA,site8,1.153436273,0.658354313,-42.92235053
PLATYGYRA,site3,0.952788193,0.722487361,-24.17125163
PLATYGYRA,site15,0.055455331,0.033848797,-38.96204986
PLATYGYRA,site5,1.218203115,1.57598526,29.3696626
