"","Site","Fish.Level","Cover.BEFORE","Cover.AFTER","percent.change"
"1","site27","A",1.74313892583039,0.0887977577553752,-94.9058702987156
"2","site30","A",32.7071385232874,10.0410061511634,-69.3002610301287
"3","site32","A",3.51315857056827,0.335041097559507,-90.4632514920807
"4","site1","B",46.2550224773519,6.09803680450196,-86.8164872096046
"5","site26","B",45.4621425418495,10.3659047477767,-77.198820451028
"6","site6","B",41.6008656688491,5.66177741887915,-86.3902413378895
"7","site14","C",25.8697579777494,0.671071469304165,-97.4059615483015
"8","site34","C",43.3296063810924,4.89734999256582,-88.6974510003791
"9","site35","C",47.4412176077737,5.48908782563004,-88.4297071145775
"10","site8","C",35.4240577133921,3.73659867016965,-89.4518050405134
"11","site23","D",62.6108087153711,3.43314409649283,-94.5166910203957
"12","site3","D",46.741736255916,6.63037005761737,-85.8148828248155
"13","site9","D",28.8248052756736,1.01169482146926,-96.4901937348972
"14","site15","E",60.8442171956784,3.4980802201536,-94.2507597576552
"15","site19","E",59.1359025973217,1.12923113337325,-98.0904474544633
"16","site20","E",32.7493075528532,1.78799640491518,-94.540353557004
"17","site5","E",56.9818147003665,5.27784284141917,-90.7376715375384
