#SampleID	InputFileName	CoralTag	SampleType	Year	TubeNumber	Coral_Species	Site	Status	Year_Pre_Post
KI14FSYM029	KI14FSYM029_MERGED-MAX-MISMATCH-3	29	coral	2014	29	Favites_halicora	38	alive	2014
KI15cFSYM190	KI15cFSYM190_MERGED-MAX-MISMATCH-3	29	coral	2015July	190	Favites_halicora	38	alive	2015July
KI16aFSYM190	KI16aFSYM190_MERGED-MAX-MISMATCH-3	29	coral	2016March	190	Favites_halicora	38	alive	2016March
KI14FSYM089	KI14FSYM089_MERGED-MAX-MISMATCH-3	89	coral	2014	89	Favia_matthai	35	alive	2014
KI15aFSYM015	KI15aFSYM015_MERGED-MAX-MISMATCH-3	89	coral	2015Jan	15	Favia_matthai	35	alive	2015Jan_Pre
KI15aFSYM096	KI15aFSYM096_MERGED-MAX-MISMATCH-3	89	coral	2015Jan	96	Favia_matthai	35	alive	2015Jan_Post
KI15bFSYM019	KI15bFSYM019_MERGED-MAX-MISMATCH-3	89	coral	2015May	19	Favia_matthai	35	alive	2015May
KI15cFSYM014	KI15cFSYM014_MERGED-MAX-MISMATCH-3	89	coral	2015July	14	Favia_matthai	35	alive	2015July
KI16aFSYM044	KI16aFSYM044_MERGED-MAX-MISMATCH-3	89	coral	2016March	44	Favia_matthai	35	alive	2016March
KI14FSYM127	KI14FSYM127_MERGED-MAX-MISMATCH-3	127	coral	2014	127	Favia_sp	30	alive	2014
KI15aFSYM123	KI15aFSYM123_MERGED-MAX-MISMATCH-3	127	coral	2015Jan	123	Favia_sp	30	alive	2015Jan_Post
KI15bFSYM038	KI15bFSYM038_MERGED-MAX-MISMATCH-3	127	coral	2015May	38	Favia_sp	30	alive	2015May
KI15cFSYM317	KI15cFSYM317_MERGED-MAX-MISMATCH-3	127	coral	2015July	317	Favia_sp	30	alive	2015July
KI16aFSYM077	KI16aFSYM077_MERGED-MAX-MISMATCH-3	127	coral	2016March	77	Favia_sp	30	alive	2016March
KI14FSYM146	KI14FSYM146_MERGED-MAX-MISMATCH-3	146	coral	2014	146	Favia_matthai	30	alive	2014
KI15aFSYM139	KI15aFSYM139_MERGED-MAX-MISMATCH-3	146	coral	2015Jan	139	Favia_matthai	30	alive	2015Jan_Post
KI15bFSYM050	KI15bFSYM050_MERGED-MAX-MISMATCH-3	146	coral	2015May	50	Favia_matthai	30	alive	2015May
KI15cFSYM328	KI15cFSYM328_MERGED-MAX-MISMATCH-3	146	coral	2015July	328	Favia_matthai	30	alive	2015July
KI16aFSYM080	KI16aFSYM080_MERGED-MAX-MISMATCH-3	146	coral	2016March	80	Favia_matthai	30	alive	2016March
KI14FSYM339	KI14FSYM339_MERGED-MAX-MISMATCH-3	339	coral	2014	339	Favia_sp	34	alive	2014
KI15bFSYM259	KI15bFSYM259_MERGED-MAX-MISMATCH-3	339	coral	2015May	259	Favia_sp	34	alive	2015May
KI15cFSYM493	KI15cFSYM493_MERGED-MAX-MISMATCH-3	339	coral	2015July	493	Favia_sp	34	alive	2015July
KI15cFSYM507	KI15cFSYM507_MERGED-MAX-MISMATCH-3	339	coral	2015July	507	Favia_sp	34	alive	2015July
KI16aFSYM121	KI16aFSYM121_MERGED-MAX-MISMATCH-3	339	coral	2016March	121	Favia_sp	34	alive	2016March
KI14FSYM388	KI14FSYM388_MERGED-MAX-MISMATCH-3	388	coral	2014	388	Favia_sp	30	alive	2014
KI15bFSYM132	KI15bFSYM132_MERGED-MAX-MISMATCH-3	388	coral	2015May	132	Favia_sp	30	alive	2015May
KI15cFSYM338	KI15cFSYM338_MERGED-MAX-MISMATCH-3	388	coral	2015July	338	Favia_sp	30	alive	2015July
KI16aFSYM083	KI16aFSYM083_MERGED-MAX-MISMATCH-3	388	coral	2016March	83	Favia_sp	30	alive	2016March
KI14FSYM500	KI14FSYM500_MERGED-MAX-MISMATCH-3	500	coral	2014	500	Favites_sp	32	alive	2014
KI15cFSYM455	KI15cFSYM455_MERGED-MAX-MISMATCH-3	500	coral	2015July	455	Favites_sp	32	alive	2015July
KI16aFSYM011	KI16aFSYM011_MERGED-MAX-MISMATCH-3	500	coral	2016March	11	Favites_sp	32	alive	2016March
KI15aFSYM014	KI15aFSYM014_MERGED-MAX-MISMATCH-3	575	coral	2015Jan	14	Favia_sp	35	UK	2015Jan_Pre
KI15bFSYM015	KI15bFSYM015_MERGED-MAX-MISMATCH-3	575	coral	2015May	15	Favia_sp	35	UK	2015May
KI16aFSYM043	KI16aFSYM043_MERGED-MAX-MISMATCH-3	575	coral	2016March	43	Favia_sp	35	UK	2016March
KI15bFSYM218	KI15bFSYM218_MERGED-MAX-MISMATCH-3	741	coral	2015May	218	Favia_sp	32	alive	2015May
KI15cFSYM435	KI15cFSYM435_MERGED-MAX-MISMATCH-3	741	coral	2015July	435	Favia_sp	32	alive	2015July
KI16aFSYM009	KI16aFSYM009_MERGED-MAX-MISMATCH-3	741	coral	2016March	9	Favia_sp	32	alive	2016March
KI15bFSYM283	KI15bFSYM283_MERGED-MAX-MISMATCH-3	787	coral	2015May	283	Favia_sp	5	alive	2015May
