site,fieldseason_site,field_season,geo_region,fpressure,flevel,nut_time_sample,nut_sample_id,nitrate_plus_nitrite_uM_mean,nitrate_plus_nitrite_uM_se,Flag.Nitrate_plus_Nitrite,silicate_uM_mean,silicate_uM_se,Flag.Silicate,phosphate_uM_mean,phosphate_uM_se,Flag.Phosphate,nutrient_comments,prod_aq_date_sample,prod_aq_time_sample,prod_mean_aq,prod_se_aq,rain_aq,wind_aq,notes_aquafluor,prod_f_date_collected,prod_f_time_sample,prod_f_packet_number,prod_f_sample_id,prod_mean_f,prod_se_f,turb_aq_date_sample,turb_aq_time_sample,turb_mean_aq,turb_se_aq,rain_turb_aq,wind_turb_aq,notes_turb_aquafluor,ysi_date_sample,ysi_temp_mean_1m,ysi_temp_se_1m,ysi_salinity_mean_1m,ysi_salinity_se_1m,ysi_DO_mean_1m,ysi_DO_se_1m,ysi_DO_mgL_mean_1m,ysi_DO_mgL_se_1m,ysi_pH_mean_1m,ysi_pH_se_1m,vis_date_observed,visibility_m,long,lat,npp_mean_sat,npp_min_sat,npp_max_sat,npp_sd_sat,npp_interann_sd_sat,npp_flag_sat,wave_mean_sat,wave_sd_sat,wave_interann_sd_sat,wave_wind_fetch_sat,wave_ww3_res_sat
3,2015c_3,2015c,nw,Low,2,16:30,KI15cNUT03_N1,2.395,NA,NA,9.665,NA,4,0.4725,NA,NA,SIL:  Samples collected in glass vials and therefore silicate values probably contaminated,NA,NA,NA,NA,NA,NA,NA,6/7/2015,16:30,10,KI15c_10,0.131777422,0.00870733,NA,NA,NA,NA,NA,NA,NA,7/7/2015,29.6,0,35.35666667,0.012018504,87.66666667,1.452966315,NA,NA,8.133333333,0.003333333,6-Jul-15,12.192,-157.45602,2.0519,888.9879861,754.7221924,1035.055786,64.270425,40.31235712,0,25.361499,7.320430966,2.643954544,0,1
3,2017_3,2017,nw,Low,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13-Jul-17,28.7,0,35.34,0.005773503,100.8333333,0.176383421,6.406666667,0.008819171,7.986666667,0.020275875,13-Jul-17,25,-157.45602,2.0519,888.9879861,754.7221924,1035.055786,64.270425,40.31235712,0,25.361499,7.320430966,2.643954544,0,1
3,2016a_3,2016a,nw,Low,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-157.45602,2.0519,888.9879861,754.7221924,1035.055786,64.270425,40.31235712,0,25.361499,7.320430966,2.643954544,0,1
3,2017_3,2017,nw,Low,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13-Jul-17,28.7,0,35.34,0.005773503,100.8333333,0.176383421,6.406666667,0.008819171,7.986666667,0.020275875,8-Jul-17,20,-157.45602,2.0519,888.9879861,754.7221924,1035.055786,64.270425,40.31235712,0,25.361499,7.320430966,2.643954544,0,1
3,2015c_3,2015c,nw,Low,2,16:30,KI15cNUT03_N1,2.395,NA,NA,9.665,NA,4,0.4725,NA,NA,SIL:  Samples collected in glass vials and therefore silicate values probably contaminated,NA,NA,NA,NA,NA,NA,NA,6/7/2015,16:30,10,KI15c_10,0.131777422,0.00870733,NA,NA,NA,NA,NA,NA,NA,6/7/2015,29.4,0,35.34333333,0.041766547,95,1,NA,NA,8.086666667,0.008819171,7-Jul-15,12.192,-157.45602,2.0519,888.9879861,754.7221924,1035.055786,64.270425,40.31235712,0,25.361499,7.320430966,2.643954544,0,1
3,2015c_3,2015c,nw,Low,2,16:30,KI15cNUT03_N1,2.395,NA,NA,9.665,NA,4,0.4725,NA,NA,SIL:  Samples collected in glass vials and therefore silicate values probably contaminated,NA,NA,NA,NA,NA,NA,NA,6/7/2015,16:30,10,KI15c_10,0.131777422,0.00870733,NA,NA,NA,NA,NA,NA,NA,7/7/2015,29.6,0,35.35666667,0.012018504,87.66666667,1.452966315,NA,NA,8.133333333,0.003333333,7-Jul-15,12.192,-157.45602,2.0519,888.9879861,754.7221924,1035.055786,64.270425,40.31235712,0,25.361499,7.320430966,2.643954544,0,1
3,2015c_3,2015c,nw,Low,2,16:30,KI15cNUT03_N1,2.395,NA,NA,9.665,NA,4,0.4725,NA,NA,SIL:  Samples collected in glass vials and therefore silicate values probably contaminated,NA,NA,NA,NA,NA,NA,NA,6/7/2015,16:30,10,KI15c_10,0.131777422,0.00870733,NA,NA,NA,NA,NA,NA,NA,6/7/2015,29.4,0,35.34333333,0.041766547,95,1,NA,NA,8.086666667,0.008819171,6-Jul-15,12.192,-157.45602,2.0519,888.9879861,754.7221924,1035.055786,64.270425,40.31235712,0,25.361499,7.320430966,2.643954544,0,1
3,2018_3,2018,nw,Low,2,9:30,KI18SW006_N1,4.513333333,NA,NA,1.37,NA,NA,0.382,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22-Jun-18,28,0.1,34.15333333,0.006666667,89.26666667,0.622718056,5.763333333,0.063333333,7.953333333,0.016666667,NA,NA,-157.45602,2.0519,888.9879861,754.7221924,1035.055786,64.270425,40.31235712,0,25.361499,7.320430966,2.643954544,0,1
3,2016b_3,2016b,nw,Low,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-157.45602,2.0519,888.9879861,754.7221924,1035.055786,64.270425,40.31235712,0,25.361499,7.320430966,2.643954544,0,1
3,2015b_3,2015b,nw,Low,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-157.45602,2.0519,888.9879861,754.7221924,1035.055786,64.270425,40.31235712,0,25.361499,7.320430966,2.643954544,0,1
3,2014_3,2014,nw,Low,2,10:30,K114SW05_N1,0.52,0.05033223,NA,10.42333333,0.30904872,NA,0.324,0.029103264,NA,NA,8/26/2014,NA,2.045333333,0.718540496,N,Y,,8/26/2014,14:00,19,KI14_19,0.890955313,0.014187093,8/26/2014,NA,2.236,1.107814214,N,Y,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28/08/2014,10.7,-157.45602,2.0519,888.9879861,754.7221924,1035.055786,64.270425,40.31235712,0,25.361499,7.320430966,2.643954544,0,1
3,2014_3,2014,nw,Low,2,10:30,K114SW05_N1,0.52,0.05033223,NA,10.42333333,0.30904872,NA,0.324,0.029103264,NA,NA,8/26/2014,NA,2.045333333,0.718540496,N,Y,,8/26/2014,14:00,19,KI14_19,0.890955313,0.014187093,8/26/2014,NA,2.236,1.107814214,N,Y,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26/08/2014,18.3,-157.45602,2.0519,888.9879861,754.7221924,1035.055786,64.270425,40.31235712,0,25.361499,7.320430966,2.643954544,0,1
3,2015a_3,2015a,nw,Low,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-157.45602,2.0519,888.9879861,754.7221924,1035.055786,64.270425,40.31235712,0,25.361499,7.320430966,2.643954544,0,1
