"fpressure","variable","mean","sd"
"High","lat","   2.02  ","    0.047 "
"High","long","-157.49  ","9e-04     "
"High","nitrate_plus_nitrite_uM_mean","   1.52  ","    0     "
"High","nitrate_plus_nitrite_uM_se","   0.12  ","    0     "
"High","npp_interann_sd_sat","  48.18  ","   10.77  "
"High","npp_max_sat","1084.46  ","   67.64  "
"High","npp_mean_sat"," 906.63  ","   24.15  "
"High","npp_min_sat"," 768.72  ","   19.17  "
"High","npp_sd_sat","  66     ","    2.37  "
"High","phosphate_uM_mean","   0.42  ","    0     "
"High","phosphate_uM_se","   0.014 ","    0     "
"High","prod_mean_aq","  14.91  ","    0     "
"High","prod_mean_f","   1.04  ","    0     "
"High","prod_se_aq","   0.31  ","    0     "
"High","prod_se_f","   0.11  ","    0     "
"High","silicate_uM_mean","  10.24  ","    0     "
"High","silicate_uM_se","   0.33  ","    0     "
"High","turb_mean_aq","   0.56  ","    0     "
"High","turb_se_aq","   0.069 ","    0     "
"High","visibility_m","  16     ","    1.13  "
"High","wave_interann_sd_sat","   1.59  ","    1.44  "
"High","wave_mean_sat","  15.24  ","   13.86  "
"High","wave_sd_sat","   4.4   ","    4     "
"High","ysi_DO_mean_1m"," NaN     ","   NA     "
"High","ysi_DO_mgL_mean_1m"," NaN     ","   NA     "
"High","ysi_DO_mgL_se_1m"," NaN     ","   NA     "
"High","ysi_DO_se_1m"," NaN     ","   NA     "
"High","ysi_pH_mean_1m"," NaN     ","   NA     "
"High","ysi_pH_se_1m"," NaN     ","   NA     "
"High","ysi_salinity_mean_1m"," NaN     ","   NA     "
"High","ysi_salinity_se_1m"," NaN     ","   NA     "
"High","ysi_temp_mean_1m"," NaN     ","   NA     "
"High","ysi_temp_se_1m"," NaN     ","   NA     "
"Low","lat","   2.05  ","    0.0034"
"Low","long","-157.44  ","    0.012 "
"Low","nitrate_plus_nitrite_uM_mean","   0.85  ","    0.38  "
"Low","nitrate_plus_nitrite_uM_se","   0.031 ","    0.022 "
