"fpressure","variable","mean","sd"
"High","lat","   2.01  "," 0.044  "
"High","long","-157.49  "," 0.00084"
"High","nitrate_plus_nitrite_uM_mean","   2.61  "," 1.61   "
"High","nitrate_plus_nitrite_uM_se","   0.12  "," 0      "
"High","npp_interann_sd_sat","  49.63  ","10.09   "
"High","npp_max_sat","1093.56  ","63.35   "
"High","npp_mean_sat"," 909.87  ","22.62   "
"High","npp_min_sat"," 771.3   ","17.95   "
"High","npp_sd_sat","  66.32  "," 2.22   "
"High","phosphate_uM_mean","   0.42  "," 0.087  "
"High","phosphate_uM_se","   0.014 "," 0      "
"High","prod_mean_aq","   6.87  "," 9.28   "
"High","prod_mean_f","   0.54  "," 0.4    "
"High","prod_se_aq","   0.56  "," 0.29   "
"High","prod_se_f","   0.059 "," 0.039  "
"High","silicate_uM_mean","   5.88  "," 3.89   "
"High","silicate_uM_se","   0.33  "," 0      "
"High","turb_mean_aq","   2.08  "," 1.75   "
"High","turb_se_aq","   0.11  "," 0.051  "
"High","visibility_m","  18.75  "," 5.54   "
"High","wave_interann_sd_sat","   1.4   "," 1.35   "
"High","wave_mean_sat","  13.38  ","12.98   "
"High","wave_sd_sat","   3.86  "," 3.75   "
"High","ysi_DO_mean_1m","  89.15  "," 3.92   "
"High","ysi_DO_mgL_mean_1m","   5.79  "," 0.19   "
"High","ysi_DO_mgL_se_1m","   0.041 "," 0.038  "
"High","ysi_DO_se_1m","   0.57  "," 0.37   "
"High","ysi_pH_mean_1m","   7.95  "," 0.054  "
"High","ysi_pH_se_1m","   0.017 "," 0.02   "
"High","ysi_salinity_mean_1m","  35.4   "," 0.45   "
"High","ysi_salinity_se_1m","   0.0038"," 0.0035 "
"High","ysi_temp_mean_1m","  28.22  "," 1      "
"High","ysi_temp_se_1m","   0.0042"," 0.012  "
"Low","lat","   2.05  "," 0.0031 "
"Low","long","-157.45  "," 0.011  "
"Low","nitrate_plus_nitrite_uM_mean","   2.04  "," 1.09   "
"Low","nitrate_plus_nitrite_uM_se","   0.031 "," 0.022  "
"Low","npp_interann_sd_sat","  41.11  "," 0.93   "
"Low","npp_max_sat","1016.57  ","21.55   "
"Low","npp_mean_sat"," 880.36  ","10.06   "
"Low","npp_min_sat"," 750.52  "," 4.89   "
"Low","npp_sd_sat","  60.99  "," 3.82   "
"Low","phosphate_uM_mean","   0.4   "," 0.056  "
"Low","phosphate_uM_se","   0.017 "," 0.014  "
"Low","prod_mean_aq","   1.98  "," 0.073  "
"Low","prod_mean_f","   0.35  "," 0.31   "
"Low","prod_se_aq","   0.44  "," 0.32   "
"Low","prod_se_f","   0.012 "," 0.0066 "
"Low","silicate_uM_mean","   8.08  "," 3.8    "
"Low","silicate_uM_se","   0.41  "," 0.11   "
"Low","turb_mean_aq","   1.29  "," 1.09   "
"Low","turb_se_aq","   0.63  "," 0.56   "
"Low","visibility_m","  14.64  "," 5.68   "
"Low","wave_interann_sd_sat","   2.66  "," 0.018  "
"Low","wave_mean_sat","  25.52  "," 0.19   "
"Low","wave_sd_sat","   7.35  "," 0.032  "
"Low","ysi_DO_mean_1m","  88.87  "," 9.29   "
