"","x"
"1","788"
"2","768"
"3","99"
"4","447"
"5","389"
"6","925"
"7","637"
"8","783"
"9","857"
"10","466"
"11","820"
"12","797"
"13","813"
"14","1036"
"15","850"
"16","62"
"17","242"
"18","754"
"19","289"
"20","379"
"21","442"
"22","792"
"23","234"
"24","504"
"25","351"
"26","824"
"27","306"
"28","735"
"29","807"
"30","161"
"31","353"
"32","470"
"33","1005"
"34","278"
"35","258"
"36","223"
"37","410_893"
"38","612"
"39","594"
"40","696"
"41","933"
"42","371"
"43","1023"
"44","1013"
"45","253"
"46","727"
"47","1020"
"48","486"
"49","455"
"50","328"
"51","766"
"52","1030"
"53","742"
"54","1049"
"55","299"
"56","914"
"57","148"
"58","618"
"59","1028"
"60","909"
"61","1011"
"62","1017"
"63","1031"
"64","311"
"65","762"
"66","19"
"67","164"
"68","461"
"69","157"
"70","754_899"
"71","266"
"72","410"
"73","479"
"74","402"
"75","906"
"76","919"
"77","928"
"78","1022"
"79","1024"
"80","1055"
"81","248"
"82","338"
