#SampleID	InputFileName	CoralTag	SampleType	Year	TubeNumber	Coral_Species	Site
KI14FSYM004	KI14FSYM004_MERGED-MAX-MISMATCH-3	4	coral	2014	4	Favites_pentagona	35
KI14FSYM019	KI14FSYM019_MERGED-MAX-MISMATCH-3	19	coral	2014	19	Platygyra_sp	38
KI14FSYM029	KI14FSYM029_MERGED-MAX-MISMATCH-3	29	coral	2014	29	Favites_halicora	38
KI14FSYM062	KI14FSYM062_MERGED-MAX-MISMATCH-3	62	coral	2014	62	Platygyra_sp	8
KI14FSYM089	KI14FSYM089_MERGED-MAX-MISMATCH-3	89	coral	2014	89	Favia_matthai	35
KI14FSYM099	KI14FSYM099_MERGED-MAX-MISMATCH-3	99	coral	2014	99	Platygyra_sp	35
KI14FSYM100	KI14FSYM100_MERGED-MAX-MISMATCH-3	100_638	coral	2014	100	Favia_matthai	35
KI14FSYM127	KI14FSYM127_MERGED-MAX-MISMATCH-3	127	coral	2014	127	Favia_sp	30
KI14FSYM146	KI14FSYM146_MERGED-MAX-MISMATCH-3	146	coral	2014	146	Favia_matthai	30
KI14FSYM148	KI14FSYM148_MERGED-MAX-MISMATCH-3	148	coral	2014	148	Platygyra_sp	30
KI14FSYM157	KI14FSYM157_MERGED-MAX-MISMATCH-3	157	coral	2014	157	Platygyra_sp	3
KI14FSYM161	KI14FSYM161_MERGED-MAX-MISMATCH-3	161	coral	2014	161	Platygyra_sp	3
KI14FSYM164	KI14FSYM164_MERGED-MAX-MISMATCH-3	164	coral	2014	164	Platygyra_sp	3
KI14FSYM192	KI14FSYM192_MERGED-MAX-MISMATCH-3	192	coral	2014	192	Favites_pentagona	38
KI14FSYM205	KI14FSYM205_MERGED-MAX-MISMATCH-3	205	coral	2014	205	Favites_pentagona	38
KI14FSYM213	KI14FSYM213_MERGED-MAX-MISMATCH-3	213	coral	2014	213	Favites_pentagona	38
KI14FSYM223	KI14FSYM223_MERGED-MAX-MISMATCH-3	223	coral	2014	223	Platygyra_sp	3
KI14FSYM231	KI14FSYM231_MERGED-MAX-MISMATCH-3	231	coral	2014	231	Favites_pentagona	3
KI14FSYM234	KI14FSYM234_MERGED-MAX-MISMATCH-3	234	coral	2014	234	Platygyra_sp	3
KI14FSYM242	KI14FSYM242_MERGED-MAX-MISMATCH-3	242	coral	2014	242	Platygyra_sp	8
KI14FSYM245	KI14FSYM245_MERGED-MAX-MISMATCH-3	245	coral	2014	245	Favites_pentagona	8
KI14FSYM248	KI14FSYM248_MERGED-MAX-MISMATCH-3	248	coral	2014	248	Platygyra_sp	8
KI14FSYM249	KI14FSYM249_MERGED-MAX-MISMATCH-3	249	coral	2014	249	Favites_pentagona	8
KI14FSYM253	KI14FSYM253_MERGED-MAX-MISMATCH-3	253	coral	2014	253	Platygyra_sp	8
KI14FSYM258	KI14FSYM258_MERGED-MAX-MISMATCH-3	258	coral	2014	258	Platygyra_sp	27
KI14FSYM266	KI14FSYM266_MERGED-MAX-MISMATCH-3	266	coral	2014	266	Platygyra_sp	27
KI14FSYM271	KI14FSYM271_MERGED-MAX-MISMATCH-3	271	coral	2014	271	Favites_pentagona	27
KI14FSYM273	KI14FSYM273_MERGED-MAX-MISMATCH-3	273	coral	2014	273	Favites_pentagona	14
KI14FSYM278	KI14FSYM278_MERGED-MAX-MISMATCH-3	278	coral	2014	278	Platygyra_sp	14
KI14FSYM285	KI14FSYM285_MERGED-MAX-MISMATCH-3	285	coral	2014	285	Favites_pentagona	14
KI14FSYM289	KI14FSYM289_MERGED-MAX-MISMATCH-3	289	coral	2014	289	Platygyra_sp	14
KI14FSYM298	KI14FSYM298_MERGED-MAX-MISMATCH-3	298	coral	2014	298	Favites_pentagona	14
KI14FSYM299	KI14FSYM299_MERGED-MAX-MISMATCH-3	299	coral	2014	299	Platygyra_sp	14
KI14FSYM306	KI14FSYM306_MERGED-MAX-MISMATCH-3	306	coral	2014	306	Platygyra_sp	14
KI14FSYM311	KI14FSYM311_MERGED-MAX-MISMATCH-3	311	coral	2014	311	Platygyra_sp	34
KI14FSYM328	KI14FSYM328_MERGED-MAX-MISMATCH-3	328	coral	2014	328	Platygyra_sp	34
KI14FSYM334	KI14FSYM334_MERGED-MAX-MISMATCH-3	334	coral	2014	334	Favites_pentagona	34
KI14FSYM338	KI14FSYM338_MERGED-MAX-MISMATCH-3	338	coral	2014	338	Platygyra_sp	34
KI14FSYM339	KI14FSYM339_MERGED-MAX-MISMATCH-3	339	coral	2014	339	Favia_sp	34
KI14FSYM341	KI14FSYM341_MERGED-MAX-MISMATCH-3	341	coral	2014	341	Favites_pentagona	34
KI14FSYM351	KI14FSYM351_MERGED-MAX-MISMATCH-3	351	coral	2014	351	Platygyra_sp	34
KI14FSYM352	KI14FSYM352_MERGED-MAX-MISMATCH-3	352	coral	2014	352	Favites_pentagona	34
KI14FSYM353	KI14FSYM353_MERGED-MAX-MISMATCH-3	353	coral	2014	353	Platygyra_sp	34
KI14FSYM371	KI14FSYM371_MERGED-MAX-MISMATCH-3	371	coral	2014	371	Platygyra_sp	25
KI14FSYM373	KI14FSYM373_MERGED-MAX-MISMATCH-3	373	coral	2014	373	Favites_pentagona	25
KI14FSYM379	KI14FSYM379_MERGED-MAX-MISMATCH-3	379	coral	2014	379	Platygyra_sp	25
KI14FSYM386	KI14FSYM386_MERGED-MAX-MISMATCH-3	386	coral	2014	386	Favites_pentagona	30
KI14FSYM388	KI14FSYM388_MERGED-MAX-MISMATCH-3	388	coral	2014	388	Favia_sp	30
KI14FSYM389	KI14FSYM389_MERGED-MAX-MISMATCH-3	389	coral	2014	389	Platygyra_sp	30
KI14FSYM400	KI14FSYM400_MERGED-MAX-MISMATCH-3	400	coral	2014	400	Favites_pentagona	25
KI14FSYM402	KI14FSYM402_MERGED-MAX-MISMATCH-3	402	coral	2014	402	Platygyra_sp	25
KI14FSYM410	KI14FSYM410_MERGED-MAX-MISMATCH-3	410	coral	2014	410	Platygyra_sp	25
KI14FSYM412	KI14FSYM412_MERGED-MAX-MISMATCH-3	412	coral	2014	412	Favites_pentagona	25
KI14FSYM435	KI14FSYM435_MERGED-MAX-MISMATCH-3	435	coral	2014	435	Favites_pentagona	30
KI14FSYM439	KI14FSYM439_MERGED-MAX-MISMATCH-3	439	coral	2014	439	Favites_pentagona	30
KI14FSYM442	KI14FSYM442_MERGED-MAX-MISMATCH-3	442	coral	2014	442	Platygyra_sp	30
KI14FSYM447	KI14FSYM447_MERGED-MAX-MISMATCH-3	447	coral	2014	447	Platygyra_sp	27
KI14FSYM449	KI14FSYM449_MERGED-MAX-MISMATCH-3	449	coral	2014	449	Favites_pentagona	27
KI14FSYM454	KI14FSYM454_MERGED-MAX-MISMATCH-3	454	coral	2014	454	Favites_pentagona	27
KI14FSYM455	KI14FSYM455_MERGED-MAX-MISMATCH-3	455	coral	2014	455	Platygyra_sp	27
KI14FSYM461	KI14FSYM461_MERGED-MAX-MISMATCH-3	461	coral	2014	461	Platygyra_sp	27
KI14FSYM466	KI14FSYM466_MERGED-MAX-MISMATCH-3	466	coral	2014	466	Platygyra_sp	27
KI14FSYM470	KI14FSYM470_MERGED-MAX-MISMATCH-3	470	coral	2014	470	Platygyra_sp	27
KI14FSYM473	KI14FSYM473_MERGED-MAX-MISMATCH-3	473	coral	2014	473	Favites_pentagona	27
KI14FSYM479	KI14FSYM479_MERGED-MAX-MISMATCH-3	479	coral	2014	479	Platygyra_sp	32
KI14FSYM482	KI14FSYM482_MERGED-MAX-MISMATCH-3	482	coral	2014	482	Favites_pentagona	32
KI14FSYM486	KI14FSYM486_MERGED-MAX-MISMATCH-3	486	coral	2014	486	Platygyra_sp	32
KI14FSYM487	KI14FSYM487_MERGED-MAX-MISMATCH-3	487	coral	2014	487	Favites_pentagona	32
KI14FSYM492	KI14FSYM492_MERGED-MAX-MISMATCH-3	492	coral	2014	492	Favites_pentagona	32
KI14FSYM497	KI14FSYM497_MERGED-MAX-MISMATCH-3	497_745	coral	2014	497	Favites_pentagona	32
KI14FSYM500	KI14FSYM500_MERGED-MAX-MISMATCH-3	500	coral	2014	500	Favites_sp	32
