* Block Type = 96well
* Chemistry = SYBR_GREEN
* Experiment File Name = E:\KIPlaty\KIPlaty_plate9.eds
* Experiment Run End Time = 2017-11-17 18:45:31 PM EST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	CT	CT Mean	CT SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	AMPNC	HIGHSD	NOAMP	EXPFAIL
A1																		N	N	N	N
A2	NTC	PaxC	NTC	SYBR	None	Undetermined						false	0.01	true	3	39		N	N	N	N
A3	NEC489	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y	Y
A3	NEC489	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y	Y
A4	NEC489	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y	Y
A4	NEC489	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y	Y
A5	KI15cFMD460	PaxC	UNKNOWN	SYBR	None	17.2334	17.5167	0.4005				false	0.01	true	3	15		N	N	N	N
A6	KI15cFMD460	PaxC	UNKNOWN	SYBR	None	17.7999	17.5167	0.4005				false	0.01	true	3	15		N	N	N	N
A7	KI15cFMD460	C	UNKNOWN	VIC	NFQ-MGB	37.2223	33.6225	5.0908				false	0.01	true	3	39		N	Y	N	Y
A7	KI15cFMD460	D	UNKNOWN	FAM	NFQ-MGB	24.2172	24.2272	0.0141				false	0.01	true	3	23		N	Y	N	Y
A8	KI15cFMD460	C	UNKNOWN	VIC	NFQ-MGB	30.0227	33.6225	5.0908				false	0.01	true	3	27		N	Y	N	N
A8	KI15cFMD460	D	UNKNOWN	FAM	NFQ-MGB	24.2371	24.2272	0.0141				false	0.01	true	3	23		N	Y	N	N
A9	NEC489	PaxC	UNKNOWN	SYBR	None	32.6607	34.2623	2.265				false	0.01	true	3	31		N	Y	N	N
A10	NEC489	PaxC	UNKNOWN	SYBR	None	35.8638	34.2623	2.265				false	0.01	true	3	35		N	Y	N	N
A11	NTC	C	NTC	VIC	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	N	N
A11	NTC	D	NTC	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	N	N
A12																		N	N	N	N
B1	KI17aFMD224	PaxC	UNKNOWN	SYBR	None	18.4325	18.225	0.2935				false	0.01	true	3	14		N	N	N	N
B2	KI17aFMD224	PaxC	UNKNOWN	SYBR	None	18.0175	18.225	0.2935				false	0.01	true	3	15		N	N	N	N
B3	KI17aFMD224	C	UNKNOWN	VIC	NFQ-MGB	37.1656	36.0402	1.5915				false	0.01	true	3	38		N	Y	N	Y
B3	KI17aFMD224	D	UNKNOWN	FAM	NFQ-MGB	23.7271	23.8275	0.1419				false	0.01	true	3	22		N	Y	N	Y
B4	KI17aFMD224	C	UNKNOWN	VIC	NFQ-MGB	34.9149	36.0402	1.5915				false	0.01	true	3	35		N	Y	N	N
B4	KI17aFMD224	D	UNKNOWN	FAM	NFQ-MGB	23.9279	23.8275	0.1419				false	0.01	true	3	23		N	Y	N	N
B5	KI17aFMD222	PaxC	UNKNOWN	SYBR	None	17.721	17.8922	0.2422				false	0.01	true	3	16		N	N	N	N
B6	KI17aFMD222	PaxC	UNKNOWN	SYBR	None	18.0635	17.8922	0.2422				false	0.01	true	3	15		N	N	N	N
B7	KI17aFMD222	C	UNKNOWN	VIC	NFQ-MGB	35.7961	35.7961					false	0.01	true	3	39		N	N	N	Y
B7	KI17aFMD222	D	UNKNOWN	FAM	NFQ-MGB	22.7782	22.807	0.0407				false	0.01	true	3	22		N	N	N	Y
B8	KI17aFMD222	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	35.7961					false	0.01	true	3	39		N	N	Y	Y
B8	KI17aFMD222	D	UNKNOWN	FAM	NFQ-MGB	22.8358	22.807	0.0407				false	0.01	true	3	22		N	N	Y	Y
B9	KI16aFMD223	PaxC	UNKNOWN	SYBR	None	35.928	36.6823	1.0667				false	0.01	true	3	34		N	Y	N	N
B10	KI16aFMD223	PaxC	UNKNOWN	SYBR	None	37.4365	36.6823	1.0667				false	0.01	true	3	35		N	Y	N	N
B11	KI16aFMD223	C	UNKNOWN	VIC	NFQ-MGB	38.7451	38.7451					false	0.01	true	3	35		N	N	Y	Y
