* Block Type = 96well
* Chemistry = SYBR_GREEN
* Experiment File Name = E:\KIPlaty\KIPlaty_fluornorm.eds
* Experiment Run End Time = 2017-11-18 15:09:43 PM EST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	CT	CT Mean	CT SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	HIGHSD	NOAMP	EXPFAIL
A1	P-D1	PaxC	STANDARD	SYBR	None	20.484	19.3515	1.5939	100000			false	0.01	true	3	19		Y	N	N
A2	P-D1	PaxC	STANDARD	SYBR	None	20.0416	19.3515	1.5939	100000			false	0.01	true	3	19		Y	N	N
A3	P-H9	PaxC	STANDARD	SYBR	None	21.3264	20.4547	1.2328	100000			false	0.01	true	3	21		Y	N	N
A4	P-H9	PaxC	STANDARD	SYBR	None	19.5829	20.4547	1.2328	100000			false	0.01	true	3	19		Y	N	N
A5	P-GP	PaxC	STANDARD	SYBR	None	20.1095	19.8734	0.3339	100000			false	0.01	true	3	19		N	N	N
A6	P-GP	PaxC	STANDARD	SYBR	None	19.6372	19.8734	0.3339	100000			false	0.01	true	3	19		N	N	N
A7	C-F3	C	STANDARD	VIC	NFQ-MGB	29.5856	29.2648	0.4537	100000			false	0.01	true	3	29		N	N	N
A8	C-F3	C	STANDARD	VIC	NFQ-MGB	28.9439	29.2648	0.4537	100000			false	0.01	true	3	28		N	N	N
A9	C-F7	C	STANDARD	VIC	NFQ-MGB	29.1906	28.774	0.5892	100000			false	0.01	true	3	28		Y	N	N
A10	C-F7	C	STANDARD	VIC	NFQ-MGB	28.3574	28.774	0.5892	100000			false	0.01	true	3	28		Y	N	N
A11	C-B11	C	STANDARD	VIC	NFQ-MGB	28.7413	27.9839	1.0711	100000			false	0.01	true	3	28		Y	N	N
A12	C-B11	C	STANDARD	VIC	NFQ-MGB							false	0.01	true	3	30		N	N	N
B1	P-D1	PaxC	STANDARD	SYBR	None	22.3386	22.9847	0.9137	10000			false	0.01	true	3	22		Y	N	N
B2	P-D1	PaxC	STANDARD	SYBR	None	23.6308	22.9847	0.9137	10000			false	0.01	true	3	23		Y	N	N
B3	P-H9	PaxC	STANDARD	SYBR	None	21.9993	22.112	0.1594	10000			false	0.01	true	3	22		N	N	N
B4	P-H9	PaxC	STANDARD	SYBR	None	22.2248	22.112	0.1594	10000			false	0.01	true	3	21		N	N	N
B5	P-GP	PaxC	STANDARD	SYBR	None	23.1081	22.9824	0.1779	10000			false	0.01	true	3	22		N	N	N
B6	P-GP	PaxC	STANDARD	SYBR	None	22.8566	22.9824	0.1779	10000			false	0.01	true	3	22		N	N	N
B7	C-F3	C	STANDARD	VIC	NFQ-MGB	32.0342	31.8611	0.2447	10000			false	0.01	true	3	31		N	N	N
B8	C-F3	C	STANDARD	VIC	NFQ-MGB	31.688	31.8611	0.2447	10000			false	0.01	true	3	31		N	N	N
B9	C-F7	C	STANDARD	VIC	NFQ-MGB	32.3166	32.2063	0.156	10000			false	0.01	true	3	32		N	N	N
B10	C-F7	C	STANDARD	VIC	NFQ-MGB	32.096	32.2063	0.156	10000			false	0.01	true	3	32		N	N	N
B11	C-B11	C	STANDARD	VIC	NFQ-MGB	32.0954	31.6397	0.6446	10000			false	0.01	true	3	31		Y	N	N
B12	C-B11	C	STANDARD	VIC	NFQ-MGB	31.1839	31.6397	0.6446	10000			false	0.01	true	3	31		Y	N	N
C1	P-D1	PaxC	STANDARD	SYBR	None	25.8767	26.5042	0.8875	1000			false	0.01	true	3	26		Y	N	N
C2	P-D1	PaxC	STANDARD	SYBR	None	27.1318	26.5042	0.8875	1000			false	0.01	true	3	27		Y	N	N
C3	P-H9	PaxC	STANDARD	SYBR	None	27.0869	26.2464	1.1886	1000			false	0.01	true	3	27		Y	N	N
C4	P-H9	PaxC	STANDARD	SYBR	None	25.406	26.2464	1.1886	1000			false	0.01	true	3	25		Y	N	N
C5	P-GP	PaxC	STANDARD	SYBR	None	26.9435	26.7736	0.2403	1000			false	0.01	true	3	26		N	N	N
C6	P-GP	PaxC	STANDARD	SYBR	None	26.6036	26.7736	0.2403	1000			false	0.01	true	3	26		N	N	N
C7	C-F3	C	STANDARD	VIC	NFQ-MGB	33.8785	34.5175	0.9038	1000			false	0.01	true	3	33		Y	N	N
C8	C-F3	C	STANDARD	VIC	NFQ-MGB	35.1566	34.5175	0.9038	1000			false	0.01	true	3	35		Y	N	N
C9	C-F7	C	STANDARD	VIC	NFQ-MGB	34.6022	34.5894	0.018	1000			false	0.01	true	3	34		N	N	N
C10	C-F7	C	STANDARD	VIC	NFQ-MGB	34.5766	34.5894	0.018	1000			false	0.01	true	3	34		N	N	N
C11	C-B11	C	STANDARD	VIC	NFQ-MGB	34.1265	35.0767	1.3437	1000			false	0.01	true	3	34		Y	N	N
C12	C-B11	C	STANDARD	VIC	NFQ-MGB	36.0269	35.0767	1.3437	1000			false	0.01	true	3	35		Y	N	N
D1	P-D1	PaxC	STANDARD	SYBR	None	28.3501	28.4743	0.1756	100			false	0.01	true	3	28		N	N	N
D2	P-D1	PaxC	STANDARD	SYBR	None	28.5984	28.4743	0.1756	100			false	0.01	true	3	28		N	N	N
D3	P-H9	PaxC	STANDARD	SYBR	None	28.5533	28.7061	0.216	100			false	0.01	true	3	29		N	N	N
D4	P-H9	PaxC	STANDARD	SYBR	None	28.8588	28.7061	0.216	100			false	0.01	true	3	28		N	N	N
D5	P-GP	PaxC	STANDARD	SYBR	None	29.4848	30.0724	0.831	100			false	0.01	true	3	29		Y	N	N
D6	P-GP	PaxC	STANDARD	SYBR	None	30.66	30.0724	0.831	100			false	0.01	true	3	30		Y	N	N
