,f.pressure,site,lat,lon,loc.year,region,site.simple
3,Low,3,2.0519,-157.45602,2009,Northshore,L1
5,Very Low,5,1.84,-157.481,2007,Vaskess,VL3
8,Medium,8,1.886,-157.552,2007,Southlagoon,M1
14,Medium,14,1.87482,-157.56383,2009,Southlagoon,M4
15,Very Low,15,1.82843,-157.32182,2009,Bayofwrecks,VL1
19,Very Low,19,1.80255,-157.27339,2009,Bayofwrecks,VL2
25,High,25,2.05002,-157.48611,2009,Northshore,M5
27,Very High,27,2.00973,-157.48941,2009,Northlagoon,VH1
30,Very High,30,2.02572,-157.498,2009,Northlagoon,VH3
32,Very High,32,1.984,-157.482,2009,Northlagoon,VH2
34,Medium,34,1.90992,-157.53456,2009,Southlagoon,M3
35,Medium,35,1.89417,-157.54283,2009,Southlagoon,M2
37,Very Low,37,1.82799,-157.47693,2009,Vaskess,VL4
38,Low,38,2.04572,-157.43373,2009,Northshore,L2
40,High,40,1.96364,-157.48775,2009,Lagoonface,H1
