f.pressure,site,region,lat,lon,f.level,site.simple
Low,3,NS,2.0519,-157.45602,5,L1
Very low,5,VB,1.84,-157.481,2,VL3
Medium,8,SL,1.886,-157.552,4,M1
Medium,14,SL,1.87482,-157.56383,4,M4
Very low,15,BOW,1.82843,-157.32182,1,VL1
Very low,19,BOW,1.80255,-157.27339,1,VL2
Medium,25,NS,2.05002,-157.48611,5,M5
Very high,27,NL,2.00973,-157.48941,6,VH1
Very high,30,NL,2.02572,-157.498,6,VH3
Very high,32,NL,1.984,-157.482,6,VH2
Medium,34,SL,1.90992,-157.53456,4,M3
Medium,35,SL,1.89417,-157.54283,4,M2
Very low,37,VB,1.82799,-157.47693,2,VL4
Low,38,NS,2.04572,-157.43373,5,L2
High,40,ML,1.96364,-157.48775,6,H1
