Coral_Species,Coral_Tag,Site,Disturbance_Level,ProposedSurvival_Status,Survival_Status_conservative,Survival_Status_liberal,ord_sample,Notes
F. pentagona,4,35,Medium,dead,unknown,dead,KI15bFSYM002,
P. ryukyuensis,19,38,Low,unknown,unknown,unknown,KI14FSYM019,"Only 500 reads, will get removed"
P. ryukyuensis,62,8,Medium,alive,alive,alive,KI15aFSYM116,
P. ryukyuensis,99,35,Medium,alive,alive,alive,KI15bFSYM023,
P. ryukyuensis,148,30,VeryHigh,unknown,unknown,unknown,KI14FSYM148,
P. ryukyuensis,157,3,High,alive,alive,alive,KI14FSYM157,
P. ryukyuensis,161,3,Low,unknown,unknown,unknown,KI14FSYM161,
P. ryukyuensis,164,3,Low,alive,alive,alive,KI14FSYM164,
F. pentagona,192,38,Low,dead,dead,dead,KI14FSYM192,
F. pentagona,205,38,Low,alive,alive,alive,KI14FSYM205,
F. pentagona,213,38,Low,alive,alive,alive,KI14FSYM213,
P. ryukyuensis,223,3,Low,alive,alive,alive,KI14FSYM223,
F. pentagona,231,3,Low,alive,alive,alive,KI14FSYM231,
P. ryukyuensis,234,3,Low,alive,alive,alive,KI14FSYM234,
P. ryukyuensis,242,8,Medium,unknown,unknown,unknown,KI14FSYM242,
F. pentagona,245,8,Medium,unknown,unknown,unknown,KI14FSYM245,
F. pentagona,249,8,Medium,unknown,unknown,dead,KI14FSYM249,
P. ryukyuensis,253,8,Medium,dead,unknown,dead,KI15bFSYM164,
P. ryukyuensis,258,27,VeryHigh,unknown,unknown,unknown,KI14FSYM258,
P. ryukyuensis,266,27,VeryHigh,unknown,unknown,unknown,KI14FSYM266,
F. pentagona,271,27,VeryHigh,dead,dead,dead,KI15bFSYM197,
P. ryukyuensis,278,14,Medium,dead,unknown,dead,KI14FSYM278,
F. pentagona,285,14,Medium,alive,alive,alive,KI14FSYM285,
P. ryukyuensis,289,14,Medium,alive,alive,alive,KI14FSYM289,
F. pentagona,298,14,Medium,dead,dead,dead,KI14FSYM298,
P. ryukyuensis,299,14,Medium,unknown,unknown,dead,KI14FSYM299,
P. ryukyuensis,306,14,Medium,unknown,unknown,dead,KI14FSYM306,
P. ryukyuensis,311,34,Medium,alive,alive,alive,KI14FSYM311,
P. ryukyuensis,328,34,Medium,alive,alive,alive,KI15bFSYM255,
F. pentagona,341,34,Medium,dead,unknown,dead,KI14FSYM341,
P. ryukyuensis,351,34,Medium,unknown,unknown,unknown,KI14FSYM351,
F. pentagona,352,34,Medium,unknown,unknown,unknown,KI14FSYM352,
P. ryukyuensis,353b,34,Medium,dead,unknown,dead,KI15bFSYM263,
P. ryukyuensis,353,34,Medium,unknown,unknown,dead,KI14FSYM353,
P. ryukyuensis,371,25,High,unknown,unknown,dead,KI14FSYM371,
F. pentagona,373,25,High,unknown,unknown,unknown,KI14FSYM373,
P. ryukyuensis,379,25,High,alive,alive,alive,KI14FSYM379,
F. pentagona,386,30,VeryHigh,alive,alive,alive,KI15aFSYM145,
P. ryukyuensis,389,30,VeryHigh,unknown,unknown,unknown,KI15bFSYM131,
P. ryukyuensis,402,25,High,unknown,unknown,dead,KI14FSYM402,
F. pentagona,435,30,VeryHigh,dead,unknown,dead,KI15bFSYM065,
F. pentagona,439,30,VeryHigh,alive,alive,alive,KI15bFSYM068,
P. ryukyuensis,442,30,VeryHigh,dead,unknown,dead,KI15bFSYM069,
P. ryukyuensis,447,27,VeryHigh,unknown,unknown,unknown,KI14FSYM447,
F. pentagona,449,27,VeryHigh,unknown,unknown,unknown,KI14FSYM449,
F. pentagona,454,27,VeryHigh,unknown,unknown,unknown,KI14FSYM454,
