"coral_tag","SampleType","Coral_Species","site","Dist","Status","sample_name.KI2014","sample_name.KI2015a","sample_name.KI2015b","sample_name.KI2015c","sample_name.KI2016a","dom.KI2014","dom.KI2015a","dom.KI2015b","dom.KI2015c","dom.KI2016a","have_before","have_duringafter","dom_before","dom_during","dom_after"
"62","coral","Platygyra_sp","8","Medium","alive","KI14FSYM062","KI15aFSYM116",NA,"KI15cFSYM372",NA,"C","C",NA,"D",NA,"Yes","Yes","C","D","NA"
"99","coral","Platygyra_sp","35","Medium","alive","KI14FSYM099","KI15aFSYM103","KI15bFSYM023","KI15cFSYM018","KI16aFSYM049","C","C","C","C","D","Yes","Yes","C","C","D"
"157","coral","Platygyra_sp","3","Low","alive","KI14FSYM157",NA,NA,"KI15cFSYM161",NA,"C",NA,NA,"C",NA,"Yes","Yes","C","C","NA"
"192","coral","Favites_pentagona","38","Low","dead","KI14FSYM192",NA,NA,"KI15cFSYM200",NA,"C",NA,NA,"C",NA,"Yes","Yes","C","C","NA"
"205","coral","Favites_pentagona","38","Low","alive","KI14FSYM205",NA,NA,"KI15cFSYM209","KI16aFSYM196","C",NA,NA,"C","D","Yes","Yes","C","C","D"
"223","coral","Platygyra_sp","3","Low","alive","KI14FSYM223",NA,NA,"KI15cFSYM171",NA,"C",NA,NA,"C",NA,"Yes","Yes","C","C","NA"
"234","coral","Platygyra_sp","3","Low","dead","KI14FSYM234",NA,NA,"KI15cFSYM180",NA,"C",NA,NA,"C",NA,"Yes","Yes","C","C","NA"
"271","coral","Favites_pentagona","27","VeryHigh","dead","KI14FSYM271","KI15aFSYM163","KI15bFSYM197","KI15cFSYM090",NA,"D","D","D","D",NA,"Yes","Yes","D","D","NA"
"285","coral","Favites_pentagona","14","Medium","alive","KI14FSYM285",NA,NA,NA,"KI16aFSYM107","C",NA,NA,NA,"C","Yes","Yes","C","NA","C"
"289","coral","Platygyra_sp","14","Medium","alive","KI14FSYM289",NA,NA,NA,"KI16aFSYM108","C",NA,NA,NA,"D","Yes","Yes","C","NA","D"
"298","coral","Favites_pentagona","14","Medium","dead","KI14FSYM298",NA,NA,NA,NA,"C",NA,NA,NA,NA,"Yes",NA,"C","NA","NA"
"311","coral","Platygyra_sp","34","Medium","alive","KI14FSYM311",NA,NA,NA,NA,"C",NA,NA,NA,NA,"Yes",NA,"C","NA","NA"
"328","coral","Platygyra_sp","34","Medium","alive","KI14FSYM328",NA,"KI15bFSYM255",NA,"KI16aFSYM116","C",NA,"C",NA,"D","Yes","Yes","C","NA","D"
"379","coral","Platygyra_sp","25","High","alive","KI14FSYM379",NA,NA,"KI15cFSYM404",NA,"C",NA,NA,"C",NA,"Yes","Yes","C","C","NA"
"386","coral","Favites_pentagona","30","VeryHigh","alive","KI14FSYM386","KI15aFSYM145",NA,"KI15cFSYM336","KI16aFSYM082","D","D",NA,"D","D","Yes","Yes","D","D","D"
"439","coral","Favites_pentagona","30","VeryHigh","alive","KI14FSYM439",NA,"KI15bFSYM068","KI15cFSYM350","KI16aFSYM086","D",NA,"D","D","D","Yes","Yes","D","D","D"
"466","coral","Platygyra_sp","27","VeryHigh","dead","KI14FSYM466","KI15aFSYM156","KI15bFSYM140","KI15cFSYM064",NA,"D","D","D","D",NA,"Yes","Yes","D","D","NA"
"482","coral","Favites_pentagona","32","VeryHigh","alive","KI14FSYM482",NA,NA,"KI15cFSYM432","KI16aFSYM010","D",NA,NA,"D","D","Yes","Yes","D","D","D"
"492","coral","Favites_pentagona","32","VeryHigh","dead",NA,NA,"KI15bFSYM191","KI15cFSYM439",NA,NA,NA,"D","D",NA,"Yes","Yes","D","D","NA"
