"","ref","coral_tag.x","field_season.x","site.x","Status.x","info.x","orig.x","coral_tag.y","field_season.y","site.y","Status.y","info.y","orig.y","coral_tag","info","Status"
"13","KI2014.tag278","278","KI2014","14","dead_or_gone","sampled_before","seq","278","KI2014","14","dead_or_gone","sampled_before","test","278","sampled_before","dead_or_gone"
"24","KI2014.tag379","379","KI2014","25","alive","sampled_before","seq","379","KI2014","25","UK","sampled_before","test","379","sampled_before","UK"
"52","KI2015b.tag253","253","KI2015b","8","gone","sampled_before","seq","253","KI2015b","8","gone","sampled_before","test","253","sampled_before","gone"
"54","KI2015b.tag353","353","KI2015b","34","gone","sampled_before","seq","353","KI2015b","34","gone","sampled_before","test","353","sampled_before","gone"
"55","KI2015b.tag389","389","KI2015b","30","UK","sampled_before","seq","389","KI2015b","30","UK","sampled_before","test","389","sampled_before","UK"
"57","KI2015b.tag466","466","KI2015b","27","dead","sampled_before","seq","466","KI2015b","27","dead","sampled_before","test","466","sampled_before","dead"
"58","KI2015b.tag470","470","KI2015b","27","gone","sampled_before","seq","470","KI2015b","27","gone","sampled_before","test","470","sampled_before","gone"
"60","KI2015b.tag637","637","KI2015b","35","alive","sampled_before","seq","637","KI2015b","35","alive","sampled_before","test","637","sampled_before","alive"
"62","KI2015b.tag727","727","KI2015b","27","gone","sampled_before","seq","727","KI2015b","27","gone","sampled_before","test","727","sampled_before","gone"
"64","KI2015b.tag742","742","KI2015b","32","dead","sampled_before","seq","742","KI2015b","32","dead","sampled_before","test","742","sampled_before","dead"
"67","KI2015b.tag762","762","KI2015b","32","dead","sampled_before","seq","762","KI2015b","32","dead","sampled_before","test","762","sampled_before","dead"
"69","KI2015b.tag768","768","KI2015b","32","dead","sampled_before","seq","768","KI2015b","32","dead","sampled_before","test","768","sampled_before","dead"
"72","KI2015b.tag792","792","KI2015b","5","alive","sampled_before","seq","792","KI2015b","5","alive","sampled_before","test","792","sampled_before","alive"
"74","KI2015b.tag807","807","KI2015b","5","alive","sampled_before","seq","807","KI2015b","5","alive","sampled_before","test","807","sampled_before","alive"
"75","KI2015b.tag813","813","KI2015b","5","alive","sampled_before","seq","813","KI2015b","5","alive","sampled_before","test","813","sampled_before","alive"
"76","KI2015b.tag820","820","KI2015b","5","alive","sampled_before","seq","820","KI2015b","5","alive","sampled_before","test","820","sampled_before","alive"
"77","KI2015b.tag824","824","KI2015b","5","alive","sampled_before","seq","824","KI2015b","5","alive","sampled_before","test","824","sampled_before","alive"
"78","KI2015b.tag850","850","KI2015b","34","alive","sampled_before","seq","850","KI2015b","34","alive","sampled_before","test","850","sampled_before","alive"
