"","ref","coral_tag.x","field_season.x","site.x","Status.x","info.x","orig.x","coral_tag.y","field_season.y","site.y","Status.y","info.y","orig.y","coral_tag","info","Status"
"20","KI2014.tag338_1168",NA,NA,NA,NA,NA,NA,"338_1168","KI2014","34","UK","sampled_before","test","338_1168","sampled_before","UK"
"28","KI2014.tag410_893",NA,NA,NA,NA,NA,NA,"410_893","KI2014","25","UK","sampled_before","test","410_893","sampled_before","UK"
"50","KI2015a_Pre.tag594",NA,NA,NA,NA,NA,NA,"594","KI2015a","15","alive","sampled_before","test","594","sampled_before","alive"
"51","KI2015a_Pre.tag618",NA,NA,NA,NA,NA,NA,"618","KI2015a","15","alive","sampled_before","test","618","sampled_before","alive"
"66","KI2015b.tag754_899_1060",NA,NA,NA,NA,NA,NA,"754_899_1060","KI2015b","32","alive","sampled_before","test","754_899_1060","sampled_before","alive"
"86","KI2015c.tag328",NA,NA,NA,NA,NA,NA,"328","KI2015c","34","alive","sampled_before","test","328","sampled_before","alive"
"96","KI2015c.tag618",NA,NA,NA,NA,NA,NA,"618","KI2015c","15","alive","sampled_before","test","618","sampled_before","alive"
"100","KI2015c.tag735",NA,NA,NA,NA,NA,NA,"735","KI2015c","27","gone","sampled_before","test","735","sampled_before","gone"
"103","KI2015c.tag754_899_1060",NA,NA,NA,NA,NA,NA,"754_899_1060","KI2015c","32","alive","sampled_before","test","754_899_1060","sampled_before","alive"
"107","KI2015c.tag783",NA,NA,NA,NA,NA,NA,"783","KI2015c","34","alive","sampled_before","test","783","sampled_before","alive"
"133","KI2016a.tag62",NA,NA,NA,NA,NA,NA,"62","KI2016a","8","alive","sampled_before","test","62","sampled_before","alive"
"137","KI2016a.tag754_899_1060",NA,NA,NA,NA,NA,NA,"754_899_1060","KI2016a","32","alive","sampled_before","test","754_899_1060","sampled_before","alive"
"140","KI2016a.tag792",NA,NA,NA,NA,NA,NA,"792","KI2016a","5","alive","sampled_before","test","792","sampled_before","alive"
"156","KI2016b.tag1005",NA,NA,NA,NA,NA,NA,"1005","KI2016b","37","alive","after_only","test","1005","after_only","alive"
"157","KI2016b.tag1011",NA,NA,NA,NA,NA,NA,"1011","KI2016b","37","alive","after_only","test","1011","after_only","alive"
"158","KI2016b.tag1017",NA,NA,NA,NA,NA,NA,"1017","KI2016b","37","alive","after_only","test","1017","after_only","alive"
"159","KI2016b.tag1020",NA,NA,NA,NA,NA,NA,"1020","KI2016b","37","alive","after_only","test","1020","after_only","alive"
"160","KI2016b.tag1022",NA,NA,NA,NA,NA,NA,"1022","KI2016b","37","alive","after_only","test","1022","after_only","alive"
"161","KI2016b.tag1023",NA,NA,NA,NA,NA,NA,"1023","KI2016b","37","alive","after_only","test","1023","after_only","alive"
"162","KI2016b.tag1024",NA,NA,NA,NA,NA,NA,"1024","KI2016b","37","alive","after_only","test","1024","after_only","alive"
"163","KI2016b.tag1028",NA,NA,NA,NA,NA,NA,"1028","KI2016b","37","alive","after_only","test","1028","after_only","alive"
"164","KI2016b.tag1031",NA,NA,NA,NA,NA,NA,"1031","KI2016b","37","alive","after_only","test","1031","after_only","alive"
"165","KI2016b.tag1036",NA,NA,NA,NA,NA,NA,"1036","KI2016b","40","alive","after_only","test","1036","after_only","alive"
"166","KI2016b.tag1049",NA,NA,NA,NA,NA,NA,"1049","KI2016b","40","alive","after_only","test","1049","after_only","alive"
"167","KI2016b.tag1055",NA,NA,NA,NA,NA,NA,"1055","KI2016b","40","alive","after_only","test","1055","after_only","alive"
"168","KI2016b.tag328",NA,NA,NA,NA,NA,NA,"328","KI2016b","34","alive","sampled_before","test","328","sampled_before","alive"
"169","KI2016b.tag594",NA,NA,NA,NA,NA,NA,"594","KI2016b","15","alive","sampled_before","test","594","sampled_before","alive"
"170","KI2016b.tag612",NA,NA,NA,NA,NA,NA,"612","KI2016b","15","alive","sampled_before","test","612","sampled_before","alive"
"171","KI2016b.tag62",NA,NA,NA,NA,NA,NA,"62","KI2016b","8","alive","sampled_before","test","62","sampled_before","alive"
"172","KI2016b.tag754_899_1060",NA,NA,NA,NA,NA,NA,"754_899_1060","KI2016b","32","alive","sampled_before","test","754_899_1060","sampled_before","alive"
"173","KI2016b.tag783",NA,NA,NA,NA,NA,NA,"783","KI2016b","34","alive","sampled_before","test","783","sampled_before","alive"
"174","KI2016b.tag788",NA,NA,NA,NA,NA,NA,"788","KI2016b","5","alive","sampled_before","test","788","sampled_before","alive"
"175","KI2016b.tag792",NA,NA,NA,NA,NA,NA,"792","KI2016b","5","alive","sampled_before","test","792","sampled_before","alive"
"176","KI2016b.tag797",NA,NA,NA,NA,NA,NA,"797","KI2016b","5","alive","sampled_before","test","797","sampled_before","alive"
"177","KI2016b.tag807",NA,NA,NA,NA,NA,NA,"807","KI2016b","5","alive","sampled_before","test","807","sampled_before","alive"
"178","KI2016b.tag820",NA,NA,NA,NA,NA,NA,"820","KI2016b","5","alive","sampled_before","test","820","sampled_before","alive"
"179","KI2016b.tag824",NA,NA,NA,NA,NA,NA,"824","KI2016b","5","alive","sampled_before","test","824","sampled_before","alive"
"180","KI2016b.tag850",NA,NA,NA,NA,NA,NA,"850","KI2016b","34","alive","sampled_before","test","850","sampled_before","alive"
"181","KI2016b.tag857",NA,NA,NA,NA,NA,NA,"857","KI2016b","34","alive","sampled_before","test","857","sampled_before","alive"
"182","KI2016b.tag906",NA,NA,NA,NA,NA,NA,"906","KI2016b","8","alive","after_only","test","906","after_only","alive"
"183","KI2016b.tag909",NA,NA,NA,NA,NA,NA,"909","KI2016b","8","alive","after_only","test","909","after_only","alive"
"184","KI2016b.tag919",NA,NA,NA,NA,NA,NA,"919","KI2016b","8","alive","after_only","test","919","after_only","alive"
"185","KI2016b.tag925",NA,NA,NA,NA,NA,NA,"925","KI2016b","35","alive","after_only","test","925","after_only","alive"
"186","KI2016b.tag933",NA,NA,NA,NA,NA,NA,"933","KI2016b","35","alive","after_only","test","933","after_only","alive"
"187","KI2016b.tag99",NA,NA,NA,NA,NA,NA,"99","KI2016b","35","alive","sampled_before","test","99","sampled_before","alive"
"188","KI2017a.tag1005",NA,NA,NA,NA,NA,NA,"1005","KI2017a","37","alive","after_only","test","1005","after_only","alive"
"189","KI2017a.tag1011",NA,NA,NA,NA,NA,NA,"1011","KI2017a","37","alive","after_only","test","1011","after_only","alive"
"190","KI2017a.tag1013",NA,NA,NA,NA,NA,NA,"1013","KI2017a","37","alive","after_only","test","1013","after_only","alive"
"191","KI2017a.tag1017",NA,NA,NA,NA,NA,NA,"1017","KI2017a","37","alive","after_only","test","1017","after_only","alive"
"192","KI2017a.tag1020",NA,NA,NA,NA,NA,NA,"1020","KI2017a","37","alive","after_only","test","1020","after_only","alive"
"193","KI2017a.tag1022",NA,NA,NA,NA,NA,NA,"1022","KI2017a","37","alive","after_only","test","1022","after_only","alive"
"194","KI2017a.tag1023",NA,NA,NA,NA,NA,NA,"1023","KI2017a","37","alive","after_only","test","1023","after_only","alive"
"195","KI2017a.tag1024",NA,NA,NA,NA,NA,NA,"1024","KI2017a","37","alive","after_only","test","1024","after_only","alive"
"196","KI2017a.tag1028",NA,NA,NA,NA,NA,NA,"1028","KI2017a","37","alive","after_only","test","1028","after_only","alive"
"197","KI2017a.tag1031",NA,NA,NA,NA,NA,NA,"1031","KI2017a","37","alive","after_only","test","1031","after_only","alive"
"198","KI2017a.tag1036",NA,NA,NA,NA,NA,NA,"1036","KI2017a","40","alive","after_only","test","1036","after_only","alive"
"199","KI2017a.tag1049",NA,NA,NA,NA,NA,NA,"1049","KI2017a","40","alive","after_only","test","1049","after_only","alive"
"200","KI2017a.tag157",NA,NA,NA,NA,NA,NA,"157","KI2017a","3","alive","sampled_before","test","157","sampled_before","alive"
"201","KI2017a.tag223",NA,NA,NA,NA,NA,NA,"223","KI2017a","3","alive","sampled_before","test","223","sampled_before","alive"
"202","KI2017a.tag328",NA,NA,NA,NA,NA,NA,"328","KI2017a","34","alive","sampled_before","test","328","sampled_before","alive"
"203","KI2017a.tag379",NA,NA,NA,NA,NA,NA,"379","KI2017a","25","alive","sampled_before","test","379","sampled_before","alive"
"204","KI2017a.tag62",NA,NA,NA,NA,NA,NA,"62","KI2017a","8","alive","sampled_before","test","62","sampled_before","alive"
"205","KI2017a.tag783",NA,NA,NA,NA,NA,NA,"783","KI2017a","34","alive","sampled_before","test","783","sampled_before","alive"
"206","KI2017a.tag788",NA,NA,NA,NA,NA,NA,"788","KI2017a","5","alive","sampled_before","test","788","sampled_before","alive"
"207","KI2017a.tag792",NA,NA,NA,NA,NA,NA,"792","KI2017a","5","alive","sampled_before","test","792","sampled_before","alive"
"208","KI2017a.tag797",NA,NA,NA,NA,NA,NA,"797","KI2017a","5","alive","sampled_before","test","797","sampled_before","alive"
"209","KI2017a.tag807",NA,NA,NA,NA,NA,NA,"807","KI2017a","5","alive","sampled_before","test","807","sampled_before","alive"
"210","KI2017a.tag813",NA,NA,NA,NA,NA,NA,"813","KI2017a","5","alive","sampled_before","test","813","sampled_before","alive"
"211","KI2017a.tag820",NA,NA,NA,NA,NA,NA,"820","KI2017a","5","alive","sampled_before","test","820","sampled_before","alive"
"212","KI2017a.tag824",NA,NA,NA,NA,NA,NA,"824","KI2017a","5","alive","sampled_before","test","824","sampled_before","alive"
"213","KI2017a.tag857",NA,NA,NA,NA,NA,NA,"857","KI2017a","34","alive","sampled_before","test","857","sampled_before","alive"
"214","KI2017a.tag906",NA,NA,NA,NA,NA,NA,"906","KI2017a","8","alive","after_only","test","906","after_only","alive"
"215","KI2017a.tag909",NA,NA,NA,NA,NA,NA,"909","KI2017a","8","alive","after_only","test","909","after_only","alive"
"216","KI2017a.tag919",NA,NA,NA,NA,NA,NA,"919","KI2017a","8","alive","after_only","test","919","after_only","alive"
"217","KI2017a.tag925",NA,NA,NA,NA,NA,NA,"925","KI2017a","35","alive","after_only","test","925","after_only","alive"
"218","KI2017a.tag99",NA,NA,NA,NA,NA,NA,"99","KI2017a","35","alive","sampled_before","test","99","sampled_before","alive"
