,ref,coral_tag.x,field_season.x,site.x,Status.x,info.x,From
1,KI2014.tag148,148,KI2014,30,UK,sampled_before,seq_only
2,KI2014.tag157,157,KI2014,3,alive,sampled_before,seq_only
3,KI2014.tag161,161,KI2014,3,UK,sampled_before,seq_only
4,KI2014.tag164,164,KI2014,3,UK,sampled_before,seq_only
5,KI2014.tag19,19,KI2014,38,UK,sampled_before,seq_only
6,KI2014.tag223,223,KI2014,3,alive,sampled_before,seq_only
7,KI2014.tag234,234,KI2014,3,dead,sampled_before,seq_only
8,KI2014.tag242,242,KI2014,8,UK,sampled_before,seq_only
9,KI2014.tag248,248,KI2014,8,UK,sampled_before,seq_only
10,KI2014.tag253,253,KI2014,8,gone,sampled_before,seq_only
11,KI2014.tag258,258,KI2014,27,UK,sampled_before,seq_only
12,KI2014.tag266,266,KI2014,27,UK,sampled_before,seq_only
14,KI2014.tag289,289,KI2014,14,alive,sampled_before,seq_only
15,KI2014.tag299,299,KI2014,14,dead_or_gone,sampled_before,seq_only
16,KI2014.tag306,306,KI2014,14,dead_or_gone,sampled_before,seq_only
17,KI2014.tag311,311,KI2014,34,alive,sampled_before,seq_only
18,KI2014.tag328,328,KI2014,34,alive,sampled_before,seq_only
19,KI2014.tag338,338,KI2014,34,UK,sampled_before,seq_only
21,KI2014.tag351,351,KI2014,34,UK,sampled_before,seq_only
22,KI2014.tag353,353,KI2014,34,gone,sampled_before,seq_only
23,KI2014.tag371,371,KI2014,25,UK,sampled_before,seq_only
25,KI2014.tag389,389,KI2014,30,UK,sampled_before,seq_only
26,KI2014.tag402,402,KI2014,25,UK,sampled_before,seq_only
27,KI2014.tag410,410,KI2014,25,UK,sampled_before,seq_only
29,KI2014.tag442,442,KI2014,30,gone,sampled_before,seq_only
30,KI2014.tag447,447,KI2014,27,UK,sampled_before,seq_only
31,KI2014.tag455,455,KI2014,27,UK,sampled_before,seq_only
32,KI2014.tag461,461,KI2014,27,UK,sampled_before,seq_only
33,KI2014.tag466,466,KI2014,27,dead,sampled_before,seq_only
34,KI2014.tag470,470,KI2014,27,gone,sampled_before,seq_only
35,KI2014.tag479,479,KI2014,32,UK,sampled_before,seq_only
36,KI2014.tag486,486,KI2014,32,UK,sampled_before,seq_only
37,KI2014.tag504,504,KI2014,14,dead_or_gone,sampled_before,seq_only
38,KI2014.tag62,62,KI2014,8,alive,sampled_before,seq_only
39,KI2014.tag99,99,KI2014,35,alive,sampled_before,seq_only
40,KI2015a.tag253,253,KI2015a,8,gone,sampled_before,seq_only
41,KI2015a.tag455,455,KI2015a,27,UK,sampled_before,seq_only
42,KI2015a.tag466,466,KI2015a,27,dead,sampled_before,seq_only
43,KI2015a.tag470,470,KI2015a,27,gone,sampled_before,seq_only
44,KI2015a.tag594,594,KI2015a,15,alive,sampled_before,seq_only
45,KI2015a.tag612,612,KI2015a,15,alive,sampled_before,seq_only
46,KI2015a.tag618,618,KI2015a,15,alive,sampled_before,seq_only
47,KI2015a.tag62,62,KI2015a,8,alive,sampled_before,seq_only
48,KI2015a.tag637,637,KI2015a,35,alive,sampled_before,seq_only
49,KI2015a.tag99,99,KI2015a,35,alive,sampled_before,seq_only
53,KI2015b.tag328,328,KI2015b,34,alive,sampled_before,seq_only
56,KI2015b.tag442,442,KI2015b,30,gone,sampled_before,seq_only
59,KI2015b.tag486,486,KI2015b,32,UK,sampled_before,seq_only
61,KI2015b.tag696,696,KI2015b,8,UK,sampled_before,seq_only
63,KI2015b.tag735,735,KI2015b,27,gone,sampled_before,seq_only
65,KI2015b.tag754,754,KI2015b,32,alive,sampled_before,seq_only
68,KI2015b.tag766,766,KI2015b,32,dead,sampled_before,seq_only
70,KI2015b.tag783,783,KI2015b,34,alive,sampled_before,seq_only
71,KI2015b.tag788,788,KI2015b,5,alive,sampled_before,seq_only
73,KI2015b.tag797,797,KI2015b,5,alive,sampled_before,seq_only
82,KI2015c.tag161,161,KI2015c,3,UK,sampled_before,seq_only
89,KI2015c.tag402,402,KI2015c,25,UK,sampled_before,seq_only
98,KI2015c.tag696,696,KI2015c,8,UK,sampled_before,seq_only
102,KI2015c.tag754,754,KI2015c,32,alive,sampled_before,seq_only
110,KI2015c.tag797,797,KI2015c,5,alive,sampled_before,seq_only
135,KI2016a.tag696,696,KI2016a,8,UK,sampled_before,seq_only
136,KI2016a.tag754_899,754_899,KI2016a,32,alive,sampled_before,seq_only
142,KI2016a.tag807,807,KI2016a,5,alive,sampled_before,seq_only
145,KI2016a.tag824,824,KI2016a,5,alive,sampled_before,seq_only
147,KI2016a.tag857,857,KI2016a,34,alive,sampled_before,seq_only
