otu	sim	del	ins	mis	len	score	hit
1	denovo457	78.75	7	15	39	287	183.5	E100_DQ011618
2	denovo662	77	12	14	40	287	184.5	E100_DQ011618
3	denovo825	79.09	8	15	37	287	185.5	E100_DQ011618
4	denovo744	74.9	12	15	37	255	193	A112_AF184949
5	denovo51	69.57	13	19	80	368	205	D1.1_AM748564
6	denovo201	66.24	18	13	49	237	207.5	A123_EF378618
7	denovo616	80.95	15	15	26	294	209.5	F5.2g_JN558072
8	denovo495	75.51	14	13	45	294	209.5	F5.2g_JN558072
9	denovo313	69.8	16	20	41	255	210.5	A105_AB207202
10	denovo768	73.54	8	18	42	257	210.5	A133_DQ174725
11	denovo516	78.47	10	16	50	353	210.5	D1.1_AM748564
12	denovo130	71.37	15	19	39	255	212.5	A106_AB207200
13	denovo135	79	8	18	33	281	212.5	C1098_DQ182641
14	denovo97	75	17	15	39	284	212.5	E111_EU074915
15	denovo383	78.19	6	24	52	376	213	D1.2_AM748617
16	denovo29	74.56	15	14	43	283	213.5	B18a_AY258472
17	denovo29	73.14	14	15	47	283	213.5	B18_AY258471
18	denovo996	75	13	15	45	292	214	F2_AJ830908
19	denovo45	72.37	14	17	40	257	214.5	A133_DQ174725
20	denovo710	75	10	17	44	284	214.5	C1187_AB294627
21	denovo841	70.77	13	13	57	284	214.5	E109_EU074913
22	denovo312	76.33	13	19	57	376	214.5	D1.2_AM748617
23	denovo362	70.04	14	10	53	257	215	A2_AF333506
24	denovo958	77.78	7	14	47	306	215	I1_FN561559
25	denovo58	76.53	14	13	42	294	215.5	F5.2e_AJ291533
26	denovo58	75.85	14	14	43	294	215.5	F5.2g_JN558072
27	denovo823	76.53	12	14	43	294	217	F1_JN558066
28	denovo178	72.82	15	19	44	287	217.5	F5.2g_JN558072
29	denovo703	72.79	15	12	53	294	218	F5.2d_AJ291530
30	denovo948	74.83	11	15	48	294	218.5	F5.2d_AJ291530
31	denovo311	85.01	4	27	57	587	221	H6_AJ291520
32	denovo934	75.51	13	20	39	294	222.5	F1_JN558066
33	denovo717	70.59	11	12	52	255	223	A128_EF656430;A12_EU792883
34	denovo260	74.83	14	12	48	294	224	F5.2g_JN558072
35	denovo800	79.89	12	23	39	368	224	D1.1_AM748564
36	denovo681	72.11	13	13	56	294	225	F5.2e_AJ291533;F5.2g_JN558072
37	denovo818	74.15	14	15	47	294	225.5	F5.2g_JN558072
38	denovo576	75.85	14	14	43	294	226	F5.2g_JN558072
39	denovo299	77.12	11	19	40	306	227.5	I1_FN561559
40	denovo299	72.88	12	21	50	306	227.5	I2_FN561560
41	denovo554	67.25	9	11	74	287	230	E107_EU074910
42	denovo298	75.93	14	12	45	295	231	F3.4_AM748570;F3.4a_AM748571
43	denovo680	73.47	11	18	49	294	232	F5.1d_JN558069
44	denovo177	75.17	15	16	42	294	233	F5.1_AM748592
45	denovo754	75.09	5	17	49	285	233.5	E1_AF334659
46	denovo304	79.52	12	22	43	376	233.5	D1.2_AM748617
47	denovo969	73.22	15	18	46	295	238	F3.4a_AM748571
48	denovo1003	73.91	12	15	51	299	238	F3.2_AM748567
49	denovo588	75.29	14	15	34	255	238.5	A1.4_HE578977
50	denovo98	78.43	10	20	36	306	238.5	I1_FN561559
51	denovo559	76.63	9	20	57	368	238.5	D1.1_AM748564
52	denovo804	78.49	17	17	46	372	238.5	D1.2_AM748617
53	denovo895	82.28	6	31	67	587	238.5	H6_AJ291520
54	denovo53	74.56	8	16	48	283	239	C33.1_AY258498
55	denovo795	75	20	14	37	284	239	E105_EU074921
56	denovo39	73.47	16	13	49	294	239.5	F5.2e_AJ291533
57	denovo778	85.52	10	28	47	587	240.5	H6_AJ291520
58	denovo452	82.45	9	32	62	587	240.5	H6_AJ291520
59	denovo943	71.6	12	16	45	257	241.5	A4.3_FN429763
60	denovo324	69.26	15	15	57	283	241.5	B33_GU907648
61	denovo240	80.05	14	17	44	376	242	D1.2_AM748617
62	denovo425	78.53	13	17	49	368	244.5	D1.1_AM748564
63	denovo232	83.48	13	22	62	587	244.5	H6_AJ291520
