otu	sim	del	ins	mis	len	score	hit
1	denovo2896	85.52	6	30	49	587	179	H6_AJ291520
2	denovo2474	78.75	7	15	39	287	183.5	E100_DQ011618
3	denovo3365	77	12	14	40	287	184.5	E100_DQ011618
4	denovo1786	79.09	8	15	37	287	185.5	E100_DQ011618
5	denovo4311	74.32	10	17	48	292	185.5	F2b_AJ291521
6	denovo2153	74.9	12	15	37	255	193	A112_AF184949
7	denovo4494	72.55	17	12	41	255	197	A1a_EU449030
8	denovo1605	73.52	7	18	51	287	201	E100_DQ011618
9	denovo3534	70.59	16	13	46	255	201.5	A1a_EU449030
10	denovo1561	71.37	18	13	42	255	204	A1a_EU449030
11	denovo836	69.57	13	19	80	368	205	D1.1_AM748564
12	denovo5172	81.55	14	33	60	580	205	H6_AJ291520
13	denovo2378	66.24	18	13	49	237	207.5	A123_EF378618
14	denovo788	75.59	14	16	43	299	207.5	F3.2_AM748567
15	denovo1691	80.95	15	15	26	294	209.5	F5.2g_JN558072
16	denovo3425	75.51	14	13	45	294	209.5	F5.2g_JN558072
17	denovo3210	69.8	16	20	41	255	210.5	A105_AB207202
18	denovo5702	73.54	8	18	42	257	210.5	A133_DQ174725
19	denovo3012	80.14	10	20	26	282	210.5	C8b_AY258475
20	denovo2031	78.47	10	16	50	353	210.5	D1.1_AM748564
21	denovo1995	79.6	13	18	40	348	211.5	D1.1_AM748564
22	denovo635	71.37	15	19	39	255	212.5	A106_AB207200
23	denovo3137	79	8	18	33	281	212.5	C1098_DQ182641
24	denovo4251	75	17	15	39	284	212.5	E111_EU074915
25	denovo786	69.8	15	12	50	255	213	A1a_EU449030
26	denovo2842	78.19	6	24	52	376	213	D1.2_AM748617
27	denovo4238	74.56	15	14	43	283	213.5	B18a_AY258472
28	denovo4238	73.14	14	15	47	283	213.5	B18_AY258471
29	denovo3381	70.98	17	12	45	255	214	A1a_EU449030
30	denovo3076	75	13	15	45	292	214	F2_AJ830908
31	denovo3100	72.37	14	17	40	257	214.5	A133_DQ174725
32	denovo5285	75	10	17	44	284	214.5	C1187_AB294627
33	denovo1124	70.77	13	13	57	284	214.5	E109_EU074913
34	denovo4340	76.33	13	19	57	376	214.5	D1.2_AM748617
35	denovo4678	70.04	14	10	53	257	215	A2_AF333506
36	denovo4594	77.78	7	14	47	306	215	I1_FN561559
37	denovo1135	76.53	14	13	42	294	215.5	F5.2e_AJ291533
38	denovo1135	75.85	14	14	43	294	215.5	F5.2g_JN558072
39	denovo3692	70.2	15	13	48	255	216.5	A1a_EU449030
40	denovo2179	76.53	12	14	43	294	217	F1_JN558066
41	denovo3555	72.82	15	19	44	287	217.5	F5.2g_JN558072
42	denovo5981	76.36	14	19	54	368	217.5	D1.1_AM748564
43	denovo5691	72.79	15	12	53	294	218	F5.2d_AJ291530
44	denovo2647	74.83	11	15	48	294	218.5	F5.2d_AJ291530
45	denovo491	71.74	13	17	74	368	220.5	D1.1_AM748564
46	denovo2206	78.91	12	16	34	294	221	F5.2_AM748594;F5.2b_AM748595
47	denovo4339	85.01	4	27	57	587	221	H6_AJ291520
48	denovo3437	73.72	13	19	45	293	221.5	C21.18_HE579030
49	denovo5156	75.85	11	22	38	294	222.5	F5.1d_JN558069
50	denovo5349	75.51	13	20	39	294	222.5	F1_JN558066
51	denovo2581	70.59	11	12	52	255	223	A128_EF656430;A12_EU792883
52	denovo833	74.83	14	12	48	294	224	F5.2g_JN558072
53	denovo270	79.89	12	23	39	368	224	D1.1_AM748564
54	denovo2956	72.11	13	13	56	294	225	F5.2e_AJ291533;F5.2g_JN558072
55	denovo2180	74.15	14	15	47	294	225.5	F5.2g_JN558072
56	denovo2910	75.85	14	14	43	294	226	F5.2g_JN558072
57	denovo1152	77.12	11	19	40	306	227.5	I1_FN561559
58	denovo1152	72.88	12	21	50	306	227.5	I2_FN561560
59	denovo3648	76.68	17	18	31	283	228.5	F4.7_AM748587
60	denovo5497	76.68	17	18	31	283	228.5	F4.7_AM748587
61	denovo2591	83.82	9	26	60	587	229	H6_AJ291520
62	denovo1150	67.25	9	11	74	287	230	E107_EU074910
63	denovo5112	75.93	14	12	45	295	231	F3.4_AM748570;F3.4a_AM748571
64	denovo1229	79.41	13	21	29	306	231.5	I4_FN561562
65	denovo457	79.41	13	21	29	306	231.5	I4_FN561562
66	denovo5406	79.41	13	21	29	306	231.5	I4_FN561562
67	denovo5286	73.47	11	18	49	294	232	F5.1d_JN558069
68	denovo4841	79.08	12	20	32	306	232	I4_FN561562
69	denovo6015	73.47	13	20	45	294	232.5	F5.1d_JN558069
70	denovo6015	72.11	10	17	55	294	232.5	F5.1c_AM748593
71	denovo3556	75.17	15	16	42	294	233	F5.1_AM748592
72	denovo2384	75.09	5	17	49	285	233.5	E1_AF334659
73	denovo3429	79.52	12	22	43	376	233.5	D1.2_AM748617
74	denovo1168	75.93	5	20	46	295	235	F3.3_AM748569
75	denovo3498	80.77	10	28	57	494	237	H6_AJ291520
76	denovo4605	73.22	15	18	46	295	238	F3.4a_AM748571
77	denovo4610	73.91	12	15	51	299	238	F3.2_AM748567
78	denovo5236	75.29	14	15	34	255	238.5	A1.4_HE578977
79	denovo4252	78.43	10	20	36	306	238.5	I1_FN561559
80	denovo5241	76.63	9	20	57	368	238.5	D1.1_AM748564
81	denovo903	78.49	17	17	46	372	238.5	D1.2_AM748617
82	denovo5373	82.28	6	31	67	587	238.5	H6_AJ291520
83	denovo4544	77.22	9	11	34	237	239	A123_EF378618
84	denovo5010	74.56	8	16	48	283	239	C33.1_AY258498
85	denovo5037	75	20	14	37	284	239	E105_EU074921
86	denovo4442	77.04	14	14	31	257	239.5	A133_DQ174725
87	denovo1592	69.72	18	13	55	284	239.5	E104_EU074922
88	denovo3859	73.47	16	13	49	294	239.5	F5.2e_AJ291533
89	denovo1592	83.48	14	34	49	587	239.5	H6_AJ291520
90	denovo5685	85.52	10	28	47	587	240.5	H6_AJ291520
91	denovo5169	82.45	9	32	62	587	240.5	H6_AJ291520
92	denovo2952	71.6	12	16	45	257	241.5	A4.3_FN429763
93	denovo4741	69.26	15	15	57	283	241.5	B33_GU907648
94	denovo3882	80.05	14	17	44	376	242	D1.2_AM748617
95	denovo4496	69.41	12	15	51	255	242.5	A106_AB207200
96	denovo5122	80.71	13	17	41	368	243.5	D1.1_AM748564
97	denovo5610	78.53	13	17	49	368	244.5	D1.1_AM748564
98	denovo3189	83.48	13	22	62	587	244.5	H6_AJ291520
99	denovo980	76.39	7	14	47	288	245	B14_AY239362
100	denovo357	73.76	14	17	43	282	246	C1107_DQ335359
101	denovo2387	80.32	8	18	48	376	246	D1.2_AM748617
102	denovo2044	68.09	16	14	52	257	247	A133_DQ174725
103	denovo4079	75.69	14	15	33	255	247.5	A1.4_HE578977
104	denovo6024	77.93	12	20	51	376	249	D1.2_AM748617
105	denovo3552	74.49	14	14	47	294	249.5	F5.1_AM748592
106	denovo2698	74.2	9	19	45	283	250	C33.1_AY258498
107	denovo1196	77.08	9	13	44	288	250	B14_AY239362
108	denovo1822	81.38	13	37	58	580	251	H6_AJ291520
109	denovo3331	80.75	15	28	70	587	251.5	H6_AJ291520
110	denovo2092	72.84	13	19	56	324	252	C49_AY589754
111	denovo4144	75.27	11	20	60	368	252.5	D1.1_AM748564
112	denovo1575	76.06	16	18	56	376	252.5	D1.2_AM748617
113	denovo1244	75.65	14	12	40	271	253	D124_EU074897
114	denovo518	75.65	14	12	40	271	253	D124_EU074897
115	denovo4418	74.91	9	10	52	283	253	C35.1_AY765401
116	denovo5611	74.91	9	10	52	283	253	C35.1_AY765401
117	denovo5239	77.99	15	25	41	368	253	D1.1_AM748564
118	denovo5962	78.8	8	19	51	368	253	D1.1_AM748564
119	denovo570	76.86	14	23	50	376	253	D1.2_AM748617
120	denovo2588	76.06	10	22	58	376	253	D1.2_AM748617
121	denovo3104	75.27	9	11	50	283	253.5	C35.1_AY765401
122	denovo1591	74.49	14	14	47	294	253.5	F5.1b_AJ291535
123	denovo3283	73.08	16	15	46	286	254	E113_EU074908
124	denovo273	73.2	19	16	47	306	255	I1_FN561559
125	denovo1358	78.72	11	19	50	376	255	D1.2_AM748617
126	denovo352	85.34	16	26	43	580	255	H6_AJ291520
127	denovo4679	82.11	13	31	61	587	255	H6_AJ291520
128	denovo4530	75.7	10	15	44	284	255.5	E112_EU074916
129	denovo1884	81.26	14	34	62	587	255.5	H6_AJ291520
130	denovo2582	79.62	11	16	48	368	256	D1.1_AM748564
131	denovo2812	78.99	11	21	47	376	256	D1.2_AM748617
132	denovo1669	73.12	12	13	43	253	256.5	H4a_AM748608
133	denovo6197	73.26	25	12	36	273	256.5	E110_EU074914
134	denovo2152	82.11	7	32	66	587	256.5	H6_AJ291520
135	denovo174	77.39	9	18	37	283	257	C15.29_KC597690
136	denovo4343	82.45	12	32	59	587	257	H6_AJ291520
137	denovo2385	77.66	12	19	53	376	257.5	D1.2_AM748617
138	denovo2027	81.9	11	28	66	580	257.5	H6_AJ291520
139	denovo1589	83.45	12	27	57	580	258	H6_AJ291520
140	denovo4491	75.27	11	10	49	283	258.5	C35.1_AY765401
141	denovo3250	75.35	10	15	45	284	258.5	E112_EU074916
142	denovo4062	75.35	10	15	45	284	258.5	E112_EU074916
143	denovo1577	76.06	18	20	52	376	258.5	D1.2_AM748617
144	denovo5412	76.06	20	27	43	376	259	D1.2_AM748617
145	denovo69	74.22	13	18	43	287	259.5	B31a_GU907646
146	denovo5915	73.4	10	23	67	376	259.5	D1.2_AM748617
147	denovo3619	85.01	11	26	51	587	260.5	H6_AJ291520
148	denovo1671	70.11	14	14	56	281	261	F4.1_AM748572
149	denovo258	74.2	12	15	46	283	261	C45a_AY765404
150	denovo3211	78.46	11	21	49	376	261	D1.2_AM748617
151	denovo3760	78.46	11	21	49	376	261	D1.2_AM748617
152	denovo4159	85.69	9	30	45	587	261	H6_AJ291520
153	denovo5362	82.79	12	33	56	587	261	H6_AJ291520
154	denovo1220	77.74	10	11	42	283	261.5	C35.1_AY765401
155	denovo1558	77.74	10	11	42	283	261.5	C35.1_AY765401
156	denovo4492	77.74	10	11	42	283	261.5	C35.1_AY765401
157	denovo769	77.74	10	11	42	283	261.5	C35.1_AY765401
158	denovo4545	75.62	10	11	48	283	261.5	C35.1_AY765401
159	denovo2122	70.46	22	14	47	281	262	F4.1a_AM748573
160	denovo2967	75.27	9	10	51	283	262	C35.1_AY765401
161	denovo3647	75.27	9	10	51	283	262	C35.1_AY765401
162	denovo3880	74.23	10	12	53	291	262	C1195_EU099821
163	denovo630	74.56	14	18	40	283	262.5	C1124_DQ335323
164	denovo2688	75.62	9	11	49	283	262.5	C35.1_AY765401
165	denovo753	75.62	9	11	49	283	262.5	C35.1_AY765401
166	denovo5096	71.83	10	15	55	284	262.5	F4.5_AM748585
167	denovo1467	73.56	15	14	49	295	262.5	F3.4_AM748570
168	denovo5303	75	19	20	42	324	262.5	C49_AY589754
169	denovo2525	70.43	12	12	52	257	263	A133_DQ174725
170	denovo1870	79.08	10	17	50	368	263	D1.1_AM748564
171	denovo1360	79.66	14	36	68	580	263	H6_AJ291520
172	denovo3428	79.66	14	36	68	580	263	H6_AJ291520
173	denovo4831	85.01	13	29	46	587	263	H6_AJ291520
174	denovo1599	82.11	6	32	67	587	263.5	H6_AJ291520
175	denovo1195	72.86	10	16	50	280	264	C31.1_HQ630876
176	denovo2118	74.15	20	18	53	352	264	D1.1_AM748564
177	denovo60	76.6	17	24	47	376	264	D1.2_AM748617
178	denovo1041	79.9	14	32	71	582	264	H6_AJ291520
179	denovo1198	79.35	13	18	45	368	264.5	D1.1_AM748564
180	denovo1885	77	9	15	42	287	265	E100_DQ011618
181	denovo1980	77.63	12	23	33	304	265	F3.1_AM748565
182	denovo3330	73.37	15	23	60	368	265	D1.1_AM748564
183	denovo6020	80.59	12	19	42	376	265	D1.2_AM748617
184	denovo1883	69.04	23	13	51	281	265.5	F4.1a_AM748573
185	denovo5339	75.25	13	16	44	295	265.5	F3.4_AM748570;F3.4b_AM748616
186	denovo1920	68.14	21	15	58	295	266.5	F3.3_AM748569
187	denovo4239	75.93	16	22	40	324	266.5	C49_AY589754
