otu	sim	del	ins	mis	len	score	hit
1	denovo196047	78.75	7	15	39	287	183.5	E100_DQ011618
2	denovo240019	77	12	14	40	287	184.5	E100_DQ011618
3	denovo224312	74.32	10	17	48	292	185.5	F2b_AJ291521
4	denovo185115	74.9	12	15	37	255	193	A112_AF184949
5	denovo207267	81.55	14	33	60	580	205	H6_AJ291520
6	denovo158266	75.51	14	13	45	294	209.5	F5.2g_JN558072
7	denovo13835	79	8	18	33	281	212.5	C1098_DQ182641
8	denovo175971	69.8	15	12	50	255	213	A1a_EU449030
9	denovo238863	78.19	6	24	52	376	213	D1.2_AM748617
10	denovo63572	75	10	17	44	284	214.5	C1187_AB294627
11	denovo120276	70.77	13	13	57	284	214.5	E109_EU074913
12	denovo86661	72.11	13	13	56	294	225	F5.2e_AJ291533;F5.2g_JN558072
13	denovo154831	76.68	17	18	31	283	228.5	F4.7_AM748587
14	denovo102723	75.93	14	12	45	295	231	F3.4_AM748570;F3.4a_AM748571
15	denovo206306	79.41	13	21	29	306	231.5	I4_FN561562
16	denovo230595	79.41	13	21	29	306	231.5	I4_FN561562
17	denovo72069	75.09	5	17	49	285	233.5	E1_AF334659
18	denovo197976	75.29	14	15	34	255	238.5	A1.4_HE578977
19	denovo199808	73.47	16	13	49	294	239.5	F5.2e_AJ291533
20	denovo79446	71.6	12	16	45	257	241.5	A4.3_FN429763
21	denovo121304	74.49	14	14	47	294	249.5	F5.1_AM748592
22	denovo103198	77.39	10	11	43	283	252.5	C35.1_AY765401
23	denovo75208	74.91	9	10	52	283	253	C35.1_AY765401
24	denovo135117	75.27	9	11	50	283	253.5	C35.1_AY765401
25	denovo190824	75.27	9	11	50	283	253.5	C35.1_AY765401
26	denovo197319	75.27	9	11	50	283	253.5	C35.1_AY765401
27	denovo223451	75.27	9	11	50	283	253.5	C35.1_AY765401
28	denovo79893	75.35	10	15	45	284	258.5	E112_EU074916
29	denovo108077	75.27	9	10	51	283	260.5	C35.1_AY765401
30	denovo268510	75.27	9	10	51	283	260.5	C35.1_AY765401
31	denovo80582	75.27	9	10	51	283	260.5	C35.1_AY765401
32	denovo90011	75.27	9	10	51	283	260.5	C35.1_AY765401
33	denovo35855	70.11	14	14	56	281	261	F4.1_AM748572
34	denovo27018	78.46	11	21	49	376	261	D1.2_AM748617
35	denovo122619	77.74	10	11	42	283	261.5	C35.1_AY765401
36	denovo14207	77.74	10	11	42	283	261.5	C35.1_AY765401
37	denovo123313	75.62	10	11	48	283	261.5	C35.1_AY765401
38	denovo123482	75.27	9	10	51	283	262	C35.1_AY765401
39	denovo6928	75.27	9	10	51	283	262	C35.1_AY765401
40	denovo73062	75.27	9	10	51	283	262	C35.1_AY765401
41	denovo15855	74.56	14	18	40	283	262.5	C1124_DQ335323
42	denovo204176	75.62	9	11	49	283	262.5	C35.1_AY765401
43	denovo260187	75.62	9	11	49	283	262.5	C35.1_AY765401
44	denovo261373	75.62	9	11	49	283	262.5	C35.1_AY765401
45	denovo88179	75.62	9	11	49	283	262.5	C35.1_AY765401
46	denovo92449	75.62	9	11	49	283	262.5	C35.1_AY765401
47	denovo34470	79.08	10	17	50	368	263	D1.1_AM748564
48	denovo109795	79.66	14	36	68	580	263	H6_AJ291520
49	denovo204414	79.66	14	36	68	580	263	H6_AJ291520
50	denovo213628	72.86	10	16	50	280	264	C31.1_HQ630876
51	denovo193873	74.15	20	18	53	352	264	D1.1_AM748564
52	denovo104053	76.6	17	24	47	376	264	D1.2_AM748617
53	denovo109431	79.9	14	32	71	582	264	H6_AJ291520
54	denovo184580	79.35	13	18	45	368	264.5	D1.1_AM748564
55	denovo176472	77.63	12	23	33	304	265	F3.1_AM748565
56	denovo93414	73.37	15	23	60	368	265	D1.1_AM748564
57	denovo16521	73.22	7	13	59	295	271	F3.4_AM748570
58	denovo223904	73.14	14	21	66	376	271	D1.2_AM748617
59	denovo58213	78.79	14	37	72	580	271	H6_AJ291520
60	denovo159823	75.97	9	11	48	283	271.5	C35.1_AY765401
61	denovo246530	79.52	9	23	45	376	271.5	D1.2_AM748617
62	denovo261628	76.06	10	20	60	376	271.5	D1.2_AM748617
63	denovo119144	76.95	12	15	41	295	272	F3.4b_AM748616
64	denovo72071	72.45	15	12	54	294	272.5	F5.1c_AM748593
65	denovo47764	72.28	16	19	44	285	274.5	E101_AY160123
66	denovo1312	78.99	13	22	44	376	276	D1.2_AM748617
67	denovo149297	75.97	9	12	47	283	276.5	C35.1_AY765401;C35.3_EF541145
68	denovo119984	77.13	21	22	43	376	276.5	D1.2_AM748617
69	denovo217765	82.96	9	36	55	587	277.5	H6_AJ291520
70	denovo21385	71.77	9	19	55	294	278.5	F1_JN558066
71	denovo208363	73.9	9	17	51	295	278.5	F3.4a_AM748571
72	denovo220063	73.9	9	17	51	295	278.5	F3.4a_AM748571
73	denovo66150	73.9	9	17	51	295	278.5	F3.4a_AM748571
74	denovo106914	73.4	14	21	65	376	280	D1.2_AM748617
75	denovo140295	76.33	9	11	47	283	280.5	C35.1_AY765401
76	denovo256458	70.77	15	12	56	284	280.5	F110_AJ291526
77	denovo124206	76.03	10	11	49	292	280.5	F2a_AJ830911
78	denovo256458	75.59	13	18	42	299	280.5	F3.2_AM748567
79	denovo11895	74.47	12	25	59	376	281	D1.2_AM748617
80	denovo38713	81.41	13	28	67	581	281	H6_AJ291520
81	denovo37282	73.94	11	21	42	284	282	C1193_EU099827
82	denovo37282	75	15	24	42	324	282	C49_AY589754
83	denovo120250	78.99	11	21	47	376	283	D1.2_AM748617
84	denovo3566	78.99	11	21	47	376	283	D1.2_AM748617
85	denovo231381	78.02	20	32	77	587	284.5	H6_AJ291520
86	denovo151962	70.48	12	21	78	376	285	D1.2_AM748617
87	denovo98492	71.47	17	18	70	368	288.5	D1.1_AM748564
88	denovo192685	79.72	12	15	30	281	289	F4.1a_AM748573
89	denovo93617	76.53	9	17	43	294	289	F5.1c_AM748593
90	denovo199310	78.4	14	16	40	324	290	C49_AY589754
91	denovo193882	73.47	15	12	51	294	291	F5.2c_AM748596
92	denovo117540	69.39	23	14	53	294	291	F1_JN558066
