"","ASV29","ASV72","ASV137","ASV192","ASV242","ASV249","ASV274","ASV364","ASV507","ASV635","ASV701","ASV958","ASV1111","ASV1120","ASV1260"
"ASV29",0,0.00371747211895911,0.00371747211895911,0.0111524163568773,0.00743494423791821,0.00371747211895911,0.00371747211895911,0.0075187969924812,0.00743494423791821,0.0446096654275093,0.0483271375464684,0.567669172932331,0.0373134328358209,0.00743494423791821,0.0335820895522388
"ASV72",0.00371747211895911,0,0.00743494423791821,0.00743494423791821,0.00371747211895911,0.00743494423791821,0.00743494423791821,0.0112781954887218,0.0111524163568773,0.0408921933085502,0.0446096654275093,0.571428571428571,0.0335820895522388,0.00371747211895911,0.0298507462686567
"ASV137",0.00371747211895911,0.00743494423791821,0,0.00743494423791821,0.0111524163568773,0.00743494423791821,0.00743494423791821,0.0112781954887218,0.00371747211895911,0.0483271375464684,0.0520446096654275,0.567669172932331,0.041044776119403,0.00371747211895911,0.0373134328358209
"ASV192",0.0111524163568773,0.00743494423791821,0.00743494423791821,0,0.0111524163568773,0.0148698884758364,0.0148698884758364,0.018796992481203,0.0111524163568773,0.0483271375464684,0.0520446096654275,0.571428571428571,0.041044776119403,0.00371747211895911,0.0373134328358209
"ASV242",0.00743494423791821,0.00371747211895911,0.0111524163568773,0.0111524163568773,0,0.0111524163568773,0.0111524163568773,0.0150375939849624,0.0148698884758364,0.0446096654275093,0.0483271375464684,0.567669172932331,0.0373134328358209,0.00743494423791821,0.0335820895522388
"ASV249",0.00371747211895911,0.00743494423791821,0.00743494423791821,0.0148698884758364,0.0111524163568773,0,0.00743494423791821,0.0112781954887218,0.0111524163568773,0.0483271375464684,0.0520446096654275,0.571428571428571,0.041044776119403,0.0111524163568773,0.0373134328358209
"ASV274",0.00371747211895911,0.00743494423791821,0.00743494423791821,0.0148698884758364,0.0111524163568773,0.00743494423791821,0,0.0112781954887218,0.0111524163568773,0.0483271375464684,0.0520446096654275,0.56390977443609,0.041044776119403,0.0111524163568773,0.0373134328358209
"ASV364",0.0075187969924812,0.0112781954887218,0.0112781954887218,0.018796992481203,0.0150375939849624,0.0112781954887218,0.0112781954887218,0,0.0150375939849624,0.0526315789473684,0.056390977443609,0.570342205323194,0.0452830188679245,0.0150375939849624,0.0415094339622641
"ASV507",0.00743494423791821,0.0111524163568773,0.00371747211895911,0.0111524163568773,0.0148698884758364,0.0111524163568773,0.0111524163568773,0.0150375939849624,0,0.0520446096654275,0.0557620817843866,0.571428571428571,0.0447761194029851,0.00743494423791821,0.041044776119403
"ASV635",0.0446096654275093,0.0408921933085502,0.0483271375464684,0.0483271375464684,0.0446096654275093,0.0483271375464684,0.0483271375464684,0.0526315789473684,0.0520446096654275,0,0.00367647058823529,0.565055762081784,0.0298507462686567,0.0446096654275093,0.0261194029850746
"ASV701",0.0483271375464684,0.0446096654275093,0.0520446096654275,0.0520446096654275,0.0483271375464684,0.0520446096654275,0.0520446096654275,0.056390977443609,0.0557620817843866,0.00367647058823529,0,0.565055762081784,0.0335820895522388,0.0483271375464684,0.0298507462686567
"ASV958",0.567669172932331,0.571428571428571,0.567669172932331,0.571428571428571,0.567669172932331,0.571428571428571,0.56390977443609,0.570342205323194,0.571428571428571,0.565055762081784,0.565055762081784,0,0.581132075471698,0.571428571428571,0.577358490566038
"ASV1111",0.0373134328358209,0.0335820895522388,0.041044776119403,0.041044776119403,0.0373134328358209,0.041044776119403,0.041044776119403,0.0452830188679245,0.0447761194029851,0.0298507462686567,0.0335820895522388,0.581132075471698,0,0.0373134328358209,0.00373134328358209
"ASV1120",0.00743494423791821,0.00371747211895911,0.00371747211895911,0.00371747211895911,0.00743494423791821,0.0111524163568773,0.0111524163568773,0.0150375939849624,0.00743494423791821,0.0446096654275093,0.0483271375464684,0.571428571428571,0.0373134328358209,0,0.0335820895522388
"ASV1260",0.0335820895522388,0.0298507462686567,0.0373134328358209,0.0373134328358209,0.0335820895522388,0.0373134328358209,0.0373134328358209,0.0415094339622641,0.041044776119403,0.0261194029850746,0.0298507462686567,0.577358490566038,0.00373134328358209,0.0335820895522388,0
