otu sim del ins mis len score hit clade
denovo37892 denovo37892  99.29  0  0   2 283 1397.0 C3_AB778606;C65a_AY589770;C1p_GU907652;C1.v1a_FJ919243 C
denovo37760 denovo37760  96.68  0  1   8 271 1251.0 D1a_JN558078;D120_EU074900 D
denovo15589 denovo15589  98.94  0  0   3 283 1388.0 C42_AY258487 C
denovo16908 denovo16908  99.29  0  0   2 283 1397.0 C42_AY258487 C
denovo2616 denovo2616  99.65  0  0   1 283 1406.0 C3_AB778606;C65a_AY589770;C1p_GU907652 C
denovo20108 denovo20108  98.59  1  0   3 283 1376.5 C15.6_FN563472 C
denovo13788 denovo13788 100.00  0  0   0 280 1400.0 C31_AY258496 C
denovo9069 denovo9069  99.29  0  0   2 283 1397.0 C3k_AY589737 C
denovo7513 denovo7513  99.64  0  0   1 280 1391.0 C31_AY258496 C
denovo14054 denovo14054  98.23  0  0   5 283 1370.0 C15_AY239369 C
denovo7719 denovo7719  98.59  0  0   4 283 1379.0 C15_AY239369 C
denovo16841 denovo16841  98.94  0  0   3 283 1388.0 C3_AB778606;C65a_AY589770;C1p_GU907652;C1.v1a_FJ919243 C
denovo3281 denovo3281  99.65  0  0   1 287 1426.0 G100_AB253788 G
denovo13194 denovo13194  98.23  0  0   5 283 1370.0 C15_AY239369 C
denovo31321 denovo31321  98.59  0  0   4 283 1379.0 C15_AY239369 C
denovo30056 denovo30056  98.94  0  0   3 283 1388.0 C3_AB778606;C1.v1a_FJ919243 C
denovo25019 denovo25019  99.64  0  0   1 280 1391.0 C31_AY258496 C
denovo10478 denovo10478  98.59  0  0   4 283 1379.0 C15_AY239369 C
denovo9464 denovo9464  98.94  0  1   2 283 1304.5 C3_AB778606;C3.7_FJ461502;C1114_AB207196;C1190_EU099841;C1182_AB294649 C
denovo3099 denovo3099 100.00  0  0   0 283 1415.0 C1060_DQ480600 C
denovo33916 denovo33916 100.00  0  0   0 283 1415.0 C1_JN558041 C
denovo19334 denovo19334 100.00  0  0   0 283 1415.0 C15_AY239369 C
denovo19336 denovo19336  98.94  0  0   3 283 1388.0 C42_AY258487 C
denovo28934 denovo28934  98.94  0  0   3 283 1388.0 C3_AB778606;C65a_AY589770;C1p_GU907652;C1.v1a_FJ919243 C
denovo11618 denovo11618  98.23  1  0   4 283 1367.5 C15_AY239369 C
denovo28412 denovo28412  98.59  0  0   4 283 1379.0 C15_AY239369 C
denovo3545 denovo3545  99.29  0  0   2 283 1397.0 C42_AY258487 C
denovo10270 denovo10270  99.29  0  0   2 283 1397.0 C42_AY765402 C
denovo4515 denovo4515 100.00  0  0   0 271 1355.0 D1a_JN558078 D
denovo24184 denovo24184  98.59  0  0   4 283 1379.0 C15_AY239369 C
denovo39947 denovo39947  98.23  0  0   5 282 1365.0 C3b_AF499791 C
denovo4598 denovo4598  99.63  0  0   1 271 1346.0 D1a_JN558078 D
denovo18529 denovo18529  99.64  0  0   1 280 1391.0 C31_AY258496 C
denovo28321 denovo28321  97.79  0  1   5 271 1278.0 D1_AF334660 D
denovo631 denovo631  99.63  0  0   1 271 1346.0 D1_AF334660 D
denovo1080 denovo1080  99.63  0  0   1 271 1346.0 D1a_JN558078 D
denovo7602 denovo7602 100.00  0  0   0 280 1400.0 C31.1_HQ630876 C
denovo3632 denovo3632  98.94  0  0   3 283 1388.0 C3_AB778606;C65a_AY589770;C1p_GU907652;C1.v1a_FJ919243 C
denovo3171 denovo3171  98.59  0  0   4 283 1379.0 C42_AY258487 C
