otu sim del ins mis len score hit clade
denovo37892 denovo37892  99.29  0  0   2 283 1397.0 C3_AB778606;C65a_AY589770;C1p_GU907652;C1.v1a_FJ919243 C
denovo37760 denovo37760  96.68  0  1   8 271 1251.0 D1a_JN558078;D120_EU074900 D
denovo12304 denovo12304  99.29  0  1   1 283 1390.5 C42_AY258487 C
denovo21739 denovo21739  98.82  0  0   3 255 1248.0 A113_AF184948 A
denovo29254 denovo29254 100.00  0  0   0 294 1470.0 F5.2d_AJ291530 F
denovo15589 denovo15589  98.94  0  0   3 283 1388.0 C42_AY258487 C
denovo14237 denovo14237  99.29  0  0   2 283 1397.0 C15_AY239369 C
denovo36024 denovo36024  98.59  0  0   4 283 1379.0 C42_AY258487 C
denovo24637 denovo24637  98.59  0  0   4 283 1379.0 C42_AY258487 C
denovo40430 denovo40430  99.63  0  0   1 271 1346.0 D1_AF334660 D
denovo33526 denovo33526  98.59  0  0   4 283 1379.0 C42_AY258487 C
denovo24435 denovo24435  98.59  0  0   4 283 1379.0 C42_AY258487 C
denovo16908 denovo16908  99.29  0  0   2 283 1397.0 C42_AY258487 C
denovo15280 denovo15280  99.28  0  0   2 278 1372.0 C1139_DQ182639 C
denovo13144 denovo13144 100.00  0  0   0 280 1400.0 C31.2_JF683332 C
denovo16793 denovo16793  99.28  1  0   1 276 1360.0 C21/3d/C3k_AY239372 C
denovo2699 denovo2699  91.30  3  4  19 299 1208.0 F3.2a_AM748568 F
denovo2966 denovo2966  98.59  0  0   4 283 1379.0 C42_AY258487 C
denovo4520 denovo4520  98.23  1  0   4 283 1367.5 C15.6_FN563472 C
denovo33309 denovo33309 100.00  0  0   0 283 1415.0 C1.v1a_FJ919243 C
denovo11974 denovo11974  98.59  0  0   4 283 1379.0 C3k_AY589737 C
denovo15672 denovo15672  97.87  0  1   5 282 1305.5 C1b/C1e_AY239363 C
denovo1358 denovo1358  98.94  0  0   3 283 1388.0 C1233_EU118166 C
denovo1353 denovo1353  99.63  0  0   1 271 1346.0 D1_AF334660 D
denovo14703 denovo14703  98.59  0  0   4 283 1379.0 C15_AY239369 C
denovo8536 denovo8536  97.53  0  0   7 283 1352.0 C1_JN558041;C45.3_FJ461522 C
denovo8534 denovo8534  97.88  0  0   6 283 1361.0 C1j_AY589732 C
denovo3446 denovo3446  98.23  0  0   5 283 1370.0 C3_AB778606 C
denovo17200 denovo17200  98.94  0  0   3 283 1388.0 C42_AY258487 C
denovo18132 denovo18132  97.05  1  2   5 271 1119.5 D1_AF334660;D108_AF174567 D
denovo34847 denovo34847  99.20  0  0   2 251 1237.0 A6_AF186058;A148_EU074938;A116_AF183575 A
denovo14371 denovo14371  99.29  0  0   2 283 1397.0 C42_AY258487 C
denovo2616 denovo2616  99.65  0  0   1 283 1406.0 C3_AB778606;C65a_AY589770;C1p_GU907652 C
denovo13355 denovo13355  99.29  0  0   2 283 1397.0 C15_AY239369 C
denovo11678 denovo11678  98.94  1  0   2 283 1385.5 C15_AY239369 C
denovo9718 denovo9718  98.95  1  0   2 287 1406.5 G100_AB253788;G3.3_LK392377 G
denovo29868 denovo29868  99.64  0  0   1 280 1391.0 C31_AY258496 C
denovo33011 denovo33011  92.64  1  2  19 299 1271.5 F3.2_AM748567 F
denovo7411 denovo7411  98.23  0  1   4 283 1363.5 C1198_EU099810;C1a_AF499788 C
denovo20108 denovo20108  98.59  1  0   3 283 1376.5 C15.6_FN563472 C
denovo34963 denovo34963 100.00  0  0   0 287 1435.0 G3.1_KC597688 G
